epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,129.621619,1.568639,0.266883,0.267778,0.270807,0.262084,1.703385,0.289835,0.404324,0.276116,0.213192,0.298901,0.492532,0.284642,0.216407,7280,455,1.786607,0.268703,0.337922,0.248624,0.171099,0.270833,0.363434,0.252165,0.177298,8448,96,1
2,0.000100,101.281843,1.375011,0.418082,0.414700,0.417479,0.408978,1.701167,0.347253,0.401226,0.330247,0.304772,0.345055,0.402671,0.329602,0.301690,7280,455,1.828307,0.302675,0.298816,0.277366,0.231043,0.291667,0.278571,0.266154,0.216356,8448,96,1
3,0.000100,103.217639,1.265334,0.495330,0.489667,0.493226,0.486254,1.425949,0.458242,0.475254,0.443652,0.428623,0.461538,0.483104,0.445492,0.426144,7280,455,1.505381,0.431345,0.412343,0.402084,0.373629,0.437500,0.369154,0.399635,0.357036,8448,96,1
4,0.000099,104.183954,1.193308,0.545554,0.540093,0.545582,0.537994,1.504004,0.451099,0.480794,0.424987,0.419889,0.481319,0.512120,0.451691,0.445313,7280,455,1.540131,0.423532,0.396709,0.391338,0.365180,0.395833,0.320260,0.362269,0.325432,8448,96,0
5,0.000098,103.869966,1.134950,0.584740,0.577255,0.582621,0.576576,1.340918,0.532555,0.568178,0.528170,0.512334,0.560440,0.616634,0.557992,0.538993,7280,455,1.472635,0.470762,0.491973,0.448751,0.428098,0.500000,0.537544,0.464046,0.433226,8448,96,1
6,0.000097,103.806778,1.086192,0.618182,0.611582,0.618135,0.611609,1.068366,0.635165,0.635591,0.620262,0.623580,0.703297,0.710987,0.684777,0.690870,7280,455,1.222868,0.559659,0.553727,0.533819,0.533863,0.572917,0.575508,0.539702,0.540091,8448,96,1
7,0.000096,104.026896,1.045861,0.644580,0.637650,0.644489,0.638348,0.991542,0.685989,0.687094,0.680866,0.681768,0.751648,0.758623,0.750349,0.752359,7280,455,1.208810,0.578480,0.559154,0.555677,0.553522,0.666667,0.645582,0.638141,0.637222,8448,96,1
8,0.000094,103.979488,1.012370,0.665509,0.658735,0.665901,0.659948,0.936500,0.712225,0.714388,0.699612,0.703621,0.784615,0.801147,0.770683,0.778992,7280,455,1.170953,0.610914,0.604739,0.590570,0.592185,0.666667,0.672222,0.654830,0.655782,8448,96,1
9,0.000092,102.779452,0.986336,0.680245,0.673457,0.680647,0.674932,0.957122,0.696978,0.715070,0.702115,0.695613,0.753846,0.784256,0.760606,0.756765,7280,455,1.263324,0.568537,0.580650,0.559454,0.556977,0.604167,0.630722,0.606721,0.598935,8448,96,0
10,0.000090,103.236649,0.956311,0.699401,0.692384,0.699599,0.694124,0.996563,0.685027,0.689997,0.680860,0.682335,0.753846,0.766828,0.752487,0.755028,7280,455,1.312552,0.574100,0.561108,0.552127,0.551043,0.635417,0.623318,0.607599,0.601313,8448,96,0
11,0.000087,105.178606,0.932352,0.715135,0.708452,0.715221,0.710480,0.923831,0.723077,0.730665,0.721514,0.720999,0.793407,0.803919,0.793915,0.794268,7280,455,1.265686,0.566525,0.569401,0.543117,0.543495,0.572917,0.587608,0.545272,0.536398,8448,96,0
12,0.000084,104.049823,0.910552,0.727747,0.721229,0.728161,0.723262,0.931650,0.720604,0.718642,0.715922,0.717088,0.806593,0.809250,0.809323,0.809160,7280,455,1.285220,0.573627,0.555993,0.551049,0.552509,0.625000,0.625579,0.609490,0.612615,8448,96,0
13,0.000081,102.507630,0.885260,0.741908,0.735607,0.742329,0.737788,0.922130,0.725000,0.736437,0.707153,0.711997,0.797802,0.817311,0.775528,0.781977,7280,455,1.270969,0.589015,0.553023,0.558546,0.549032,0.614583,0.549627,0.570529,0.554865,8448,96,0
14,0.000078,102.843988,0.870559,0.749675,0.743348,0.750524,0.745648,0.949747,0.728709,0.749084,0.727425,0.730326,0.800000,0.830254,0.798519,0.802274,7280,455,1.310774,0.585701,0.579095,0.562331,0.559061,0.625000,0.616541,0.597072,0.590769,8448,96,0
15,0.000074,101.806601,0.856074,0.757767,0.751539,0.758064,0.753776,0.954043,0.717033,0.747077,0.717258,0.717269,0.773626,0.820753,0.775585,0.775310,7280,455,1.298555,0.586648,0.604846,0.567277,0.564326,0.614583,0.626741,0.586979,0.583533,8448,96,0
16,0.000070,102.852182,0.838424,0.766508,0.760374,0.767522,0.762660,0.872523,0.755082,0.769397,0.757175,0.752464,0.830769,0.843554,0.836691,0.828135,7280,455,1.330488,0.568892,0.580848,0.549253,0.546075,0.593750,0.639113,0.570631,0.570546,8448,96,0
17,0.000067,102.843061,0.824466,0.777173,0.771097,0.777755,0.773374,0.815699,0.785165,0.796538,0.783272,0.785366,0.876923,0.886003,0.876889,0.877226,7280,455,1.238293,0.605350,0.583390,0.574853,0.571897,0.625000,0.565309,0.580052,0.568422,8448,96,0
18,0.000063,103.354081,0.809644,0.784191,0.778774,0.785755,0.781372,0.821608,0.781731,0.790148,0.780804,0.783046,0.892308,0.899492,0.890734,0.893963,7280,455,1.302400,0.572798,0.565311,0.548471,0.550973,0.593750,0.567782,0.557052,0.556101,8448,96,0
