epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,128.350570,1.492246,0.330919,0.302669,0.303619,0.290760,1.900865,0.301236,0.362840,0.268771,0.190531,0.307692,0.456452,0.274600,0.194343,7280,455,2.005322,0.308357,0.290822,0.275644,0.190809,0.302083,0.329048,0.270130,0.187949,8448,96,1
2,0.000100,101.176709,1.255717,0.494131,0.471612,0.460422,0.453455,1.987586,0.291896,0.470585,0.259540,0.186837,0.305495,0.507857,0.268885,0.185579,7280,455,2.115115,0.297585,0.223935,0.263193,0.161806,0.312500,0.130676,0.276190,0.166344,8448,96,0
3,0.000100,100.038073,1.147859,0.563736,0.548311,0.534488,0.533870,1.149444,0.579945,0.558309,0.551278,0.550094,0.621978,0.606919,0.590089,0.588992,7280,455,1.184750,0.542969,0.507009,0.507524,0.502948,0.604167,0.572741,0.569549,0.566114,8448,96,1
4,0.000099,100.032931,1.072073,0.615160,0.604311,0.590276,0.592311,1.796112,0.350687,0.308482,0.319160,0.273704,0.349451,0.302621,0.314264,0.258324,7280,455,1.908152,0.305990,0.252198,0.291112,0.229712,0.302083,0.242161,0.280519,0.219516,8448,96,0
5,0.000098,100.118083,1.010766,0.654346,0.645295,0.632547,0.635565,1.137536,0.582005,0.574797,0.559218,0.561717,0.621978,0.624365,0.593859,0.596974,7280,455,1.255544,0.544389,0.507629,0.506209,0.499742,0.562500,0.525429,0.523172,0.516873,8448,96,0
6,0.000097,98.078988,0.957819,0.688561,0.680597,0.671403,0.674379,1.182665,0.554533,0.574551,0.529861,0.529847,0.593407,0.621971,0.561254,0.556670,7280,455,1.243107,0.527699,0.510277,0.490666,0.483959,0.562500,0.541905,0.519196,0.507810,8448,96,0
7,0.000096,100.481527,0.917017,0.712288,0.706402,0.697601,0.700715,1.035247,0.639698,0.649531,0.619470,0.624130,0.696703,0.730572,0.677564,0.686068,7280,455,1.210934,0.531250,0.506234,0.493504,0.487612,0.531250,0.488330,0.487321,0.475165,8448,96,0
8,0.000094,100.431599,0.877691,0.738237,0.733454,0.725305,0.728390,1.128429,0.600824,0.628420,0.583649,0.583322,0.617582,0.668473,0.600747,0.600160,7280,455,1.324001,0.529830,0.517594,0.494613,0.487869,0.541667,0.545092,0.499578,0.486343,8448,96,0
9,0.000092,99.557393,0.850561,0.754770,0.750961,0.742226,0.745564,1.157051,0.597665,0.593189,0.575348,0.577765,0.643956,0.641037,0.615953,0.618530,7280,455,1.292784,0.533854,0.497861,0.499956,0.495868,0.541667,0.489912,0.503156,0.493645,8448,96,0
10,0.000090,102.271611,0.820326,0.773252,0.769993,0.762407,0.765475,1.064169,0.635027,0.622234,0.610658,0.612404,0.714286,0.696795,0.683244,0.684170,7280,455,1.309234,0.533617,0.504634,0.505219,0.502031,0.531250,0.491852,0.492629,0.489952,8448,96,0
