epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,343.042873,1.448514,0.365421,0.346388,0.336877,0.326147,1.788666,0.330907,0.418499,0.301453,0.267110,0.327473,0.416852,0.298756,0.261732,7280,455,1.878401,0.326941,0.316168,0.291528,0.235121,0.312500,0.236984,0.277056,0.215212,8448,96,1
2,0.000100,317.877471,1.187746,0.546850,0.535403,0.518769,0.518641,1.158330,0.567995,0.568238,0.530535,0.519980,0.582418,0.590800,0.542319,0.529501,7280,455,1.248301,0.534328,0.511491,0.494715,0.484430,0.541667,0.547551,0.501982,0.490212,8448,96,1
3,0.000100,307.348835,1.037071,0.645795,0.640675,0.627408,0.631081,0.995260,0.663736,0.683967,0.645944,0.650362,0.707692,0.745788,0.684971,0.695248,7280,455,1.268877,0.556226,0.545067,0.519958,0.517190,0.583333,0.551129,0.532638,0.525882,8448,96,1
4,0.000099,315.716809,0.933851,0.707165,0.704203,0.693318,0.697134,1.155594,0.616758,0.668978,0.603779,0.596827,0.639560,0.720761,0.627142,0.618983,7280,455,1.371746,0.502486,0.521775,0.474400,0.460347,0.479167,0.511154,0.450308,0.428155,8448,96,0
5,0.000098,316.259675,0.864459,0.747429,0.746168,0.736996,0.740551,0.987365,0.692995,0.707510,0.677975,0.685126,0.771429,0.794752,0.752647,0.762020,7280,455,1.326719,0.558594,0.545953,0.534100,0.531257,0.593750,0.579167,0.562657,0.551448,8448,96,1
6,0.000097,313.757061,0.811885,0.776762,0.775719,0.767819,0.771051,0.823021,0.770055,0.782796,0.763025,0.768093,0.854945,0.863985,0.847478,0.852905,7280,455,1.208477,0.595999,0.588670,0.568841,0.569684,0.614583,0.605477,0.586945,0.587011,8448,96,1
7,0.000096,313.374420,0.772333,0.799839,0.798818,0.791965,0.794865,0.761738,0.804396,0.809685,0.799579,0.802335,0.905495,0.914606,0.903209,0.907159,7280,455,1.245366,0.596117,0.573703,0.567061,0.563223,0.625000,0.614189,0.595637,0.594154,8448,96,0
8,0.000094,311.095256,0.739873,0.818637,0.818043,0.811811,0.814499,0.871370,0.752060,0.771145,0.741252,0.747222,0.821978,0.852410,0.807317,0.816244,7280,455,1.325541,0.558120,0.559042,0.532005,0.531664,0.604167,0.621324,0.570711,0.562832,8448,96,0
9,0.000092,312.995834,0.715228,0.832755,0.832384,0.826741,0.829226,0.724196,0.824451,0.839028,0.814714,0.822520,0.907692,0.920782,0.900397,0.907526,7280,455,1.236157,0.587240,0.577934,0.557027,0.557763,0.635417,0.628553,0.599989,0.602580,8448,96,0
10,0.000090,313.242827,0.692769,0.844498,0.844029,0.839210,0.841378,0.706935,0.833242,0.844490,0.825112,0.832425,0.936264,0.945740,0.930578,0.936661,7280,455,1.219717,0.601207,0.583049,0.575481,0.576196,0.677083,0.653463,0.642527,0.640206,8448,96,1
