epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,339.888196,1.377051,0.408220,0.386112,0.377707,0.367922,1.814629,0.309890,0.398682,0.280214,0.223256,0.305495,0.479498,0.275842,0.217787,7280,455,1.875384,0.320549,0.337004,0.286287,0.210980,0.333333,0.328736,0.295671,0.219481,8448,96,1
2,0.000100,315.927525,1.096415,0.599956,0.587509,0.573964,0.575407,1.298410,0.520467,0.496992,0.489422,0.480083,0.567033,0.530688,0.526259,0.510075,7280,455,1.348670,0.500000,0.469256,0.461987,0.448295,0.500000,0.447799,0.451606,0.427864,8448,96,1
3,0.000100,314.838281,0.936373,0.701414,0.695968,0.685203,0.688710,1.137796,0.612775,0.619457,0.591744,0.597267,0.659341,0.685232,0.632048,0.639734,7280,455,1.378743,0.497396,0.461487,0.464949,0.459282,0.510417,0.461470,0.470848,0.458747,8448,96,1
4,0.000099,315.242257,0.825829,0.770659,0.767153,0.759897,0.762787,1.472131,0.479808,0.462786,0.448038,0.440398,0.505495,0.490683,0.471712,0.465354,7280,455,1.583804,0.437263,0.413632,0.409344,0.398681,0.437500,0.408559,0.406778,0.393984,8448,96,0
5,0.000098,317.310327,0.751176,0.812183,0.809965,0.804257,0.806703,0.970919,0.695192,0.721676,0.681372,0.686901,0.769231,0.805984,0.753538,0.762602,7280,455,1.306869,0.535511,0.539420,0.507233,0.504745,0.604167,0.629088,0.571679,0.571004,8448,96,1
6,0.000097,314.480164,0.702241,0.838864,0.836775,0.832078,0.834170,0.797260,0.772390,0.779263,0.762841,0.767520,0.852747,0.866420,0.842102,0.849145,7280,455,1.197689,0.564749,0.544767,0.526825,0.521455,0.583333,0.564855,0.539485,0.531469,8448,96,1
7,0.000096,314.076336,0.660961,0.862161,0.860830,0.857110,0.858797,0.842191,0.764835,0.771134,0.759345,0.759182,0.846154,0.858201,0.841712,0.844106,7280,455,1.208588,0.604640,0.581948,0.568276,0.565362,0.645833,0.618413,0.597505,0.588053,8448,96,1
8,0.000094,310.869576,0.631227,0.878484,0.877025,0.873939,0.875365,0.764863,0.797390,0.802873,0.794889,0.794300,0.885714,0.894433,0.883214,0.885767,7280,455,1.158153,0.598248,0.603553,0.575346,0.574210,0.645833,0.667280,0.624766,0.621199,8448,96,1
9,0.000092,314.056659,0.611135,0.888696,0.887474,0.884678,0.885985,0.791281,0.782143,0.803401,0.773709,0.779339,0.859341,0.897987,0.850171,0.862402,7280,455,1.320418,0.541312,0.539693,0.507580,0.503021,0.562500,0.553052,0.516860,0.495863,8448,96,0
10,0.000090,314.799056,0.593393,0.898769,0.897918,0.895255,0.896504,0.762184,0.798489,0.816914,0.781042,0.791012,0.894505,0.914753,0.875918,0.887144,7280,455,1.230166,0.585938,0.575712,0.552158,0.551484,0.593750,0.600236,0.548872,0.540341,8448,96,0
11,0.000087,316.915462,0.576710,0.907099,0.906141,0.903657,0.904826,0.637228,0.869780,0.870882,0.864841,0.867249,0.953846,0.958457,0.950527,0.953740,7280,455,1.121471,0.636955,0.617431,0.609945,0.610369,0.677083,0.662544,0.644065,0.644819,8448,96,1
12,0.000084,315.530615,0.561535,0.914835,0.913866,0.912110,0.912947,0.581626,0.902610,0.905549,0.899844,0.902012,0.973626,0.976495,0.970639,0.973263,7280,455,1.169334,0.640270,0.617965,0.616257,0.616298,0.687500,0.645176,0.651185,0.645931,8448,96,1
13,0.000081,314.361823,0.547578,0.922696,0.922177,0.920073,0.921078,0.589737,0.895192,0.901302,0.886888,0.892275,0.969231,0.974920,0.960255,0.966052,7280,455,1.186543,0.619673,0.598974,0.585413,0.585995,0.697917,0.679148,0.663112,0.664646,8448,96,0
14,0.000078,311.328408,0.539993,0.925788,0.925018,0.923356,0.924159,0.596561,0.891346,0.899292,0.886657,0.891358,0.971429,0.975500,0.970452,0.972576,7280,455,1.225854,0.613991,0.594126,0.583019,0.582608,0.635417,0.592250,0.592117,0.584581,8448,96,0
15,0.000074,313.285271,0.529236,0.931458,0.930978,0.929306,0.930109,0.546422,0.923352,0.924986,0.922352,0.922731,0.982418,0.984032,0.982783,0.983105,7280,455,1.190347,0.638731,0.613015,0.612703,0.610643,0.687500,0.662298,0.659330,0.655810,8448,96,0
16,0.000070,316.301190,0.519610,0.936498,0.935971,0.934351,0.935132,0.546098,0.921566,0.922820,0.916801,0.919182,0.982418,0.985287,0.980089,0.982330,7280,455,1.259305,0.615767,0.602553,0.590421,0.591262,0.687500,0.675285,0.660595,0.663324,8448,96,0
17,0.000067,310.977320,0.511678,0.941150,0.940197,0.939421,0.939804,0.558009,0.915385,0.917367,0.909517,0.912116,0.971429,0.971991,0.968973,0.969993,7280,455,1.191030,0.648201,0.620434,0.620952,0.619309,0.687500,0.647750,0.649316,0.647266,8448,96,1
18,0.000063,313.815823,0.504492,0.944242,0.943587,0.942539,0.943050,0.553558,0.914560,0.911974,0.916147,0.913770,0.980220,0.980577,0.980565,0.980522,7280,455,1.182615,0.644413,0.628263,0.621421,0.623566,0.729167,0.715012,0.702267,0.706178,8448,96,1
19,0.000059,313.311287,0.495818,0.949355,0.948809,0.947739,0.948261,0.587211,0.902060,0.909290,0.890920,0.897451,0.958242,0.964844,0.947789,0.954133,7280,455,1.218179,0.647609,0.638882,0.618341,0.620690,0.718750,0.725525,0.691570,0.695958,8448,96,0
20,0.000055,311.333558,0.490852,0.951744,0.951258,0.950366,0.950801,0.516687,0.935989,0.936115,0.935907,0.935839,0.991209,0.991005,0.991800,0.991353,7280,455,1.235582,0.630800,0.617034,0.605772,0.607820,0.697917,0.692471,0.670255,0.673559,8448,96,0
