epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,337.284617,1.543944,0.295018,0.264679,0.267031,0.248155,1.628053,0.301511,0.328610,0.264558,0.188302,0.303297,0.362779,0.265922,0.187871,7280,455,1.710609,0.312500,0.336879,0.275961,0.199513,0.312500,0.339448,0.275758,0.204484,8448,96,1
2,0.000100,311.234149,1.322516,0.448425,0.421292,0.411297,0.395118,1.917777,0.307967,0.424840,0.273589,0.205559,0.312088,0.388821,0.275346,0.198531,7280,455,2.079797,0.309659,0.426911,0.276286,0.198642,0.302083,0.269048,0.267532,0.194310,8448,96,0
3,0.000100,311.639115,1.214946,0.519245,0.497005,0.484247,0.477575,1.727233,0.351648,0.393454,0.325309,0.282128,0.362637,0.412443,0.335358,0.286202,7280,455,1.803070,0.347893,0.363535,0.316538,0.253781,0.333333,0.301347,0.302814,0.222671,8448,96,1
4,0.000099,311.264992,1.148874,0.563875,0.545653,0.532706,0.530930,1.573676,0.406456,0.424020,0.375723,0.349394,0.424176,0.442187,0.388405,0.355407,7280,455,1.622210,0.409446,0.382163,0.368448,0.328457,0.395833,0.284429,0.350216,0.290330,8448,96,1
5,0.000098,312.451691,1.094810,0.599810,0.587104,0.572898,0.574035,1.468503,0.436264,0.430245,0.401619,0.376334,0.463736,0.459687,0.421208,0.388489,7280,455,1.546053,0.431463,0.391968,0.388955,0.351680,0.468750,0.434652,0.419458,0.378582,8448,96,1
6,0.000097,309.077556,1.054818,0.625604,0.615122,0.601431,0.603683,1.381388,0.464835,0.457160,0.438647,0.424817,0.505495,0.503429,0.475758,0.462370,7280,455,1.439968,0.461529,0.424156,0.421105,0.398213,0.500000,0.454504,0.453475,0.433620,8448,96,1
7,0.000096,310.028410,1.014818,0.652498,0.644642,0.630749,0.633977,1.293814,0.515934,0.506816,0.484666,0.473678,0.556044,0.553293,0.520196,0.507788,7280,455,1.374650,0.482481,0.448282,0.442267,0.423515,0.489583,0.427582,0.441513,0.415766,8448,96,1
8,0.000094,313.117192,0.984593,0.671480,0.664829,0.651749,0.655304,1.270984,0.532692,0.520063,0.500339,0.493032,0.564835,0.549607,0.524867,0.512555,7280,455,1.341669,0.516217,0.476456,0.475960,0.461602,0.541667,0.507671,0.500148,0.487949,8448,96,1
9,0.000092,310.200269,0.955487,0.688659,0.682208,0.670657,0.674146,1.195093,0.559890,0.542233,0.525151,0.518249,0.602198,0.568466,0.554941,0.537267,7280,455,1.293341,0.519768,0.468407,0.477737,0.463717,0.541667,0.482559,0.497277,0.479590,8448,96,1
10,0.000090,311.443045,0.931157,0.704989,0.699668,0.688801,0.692366,1.234886,0.544093,0.542029,0.517383,0.515180,0.569231,0.577360,0.537713,0.535096,7280,455,1.328910,0.505563,0.469838,0.469083,0.458707,0.520833,0.461085,0.475689,0.452492,8448,96,0
11,0.000087,310.155872,0.904917,0.721978,0.717716,0.706993,0.710679,1.245530,0.544368,0.545723,0.517677,0.516226,0.593407,0.603848,0.563789,0.563277,7280,455,1.342511,0.519650,0.489632,0.485053,0.476179,0.572917,0.528405,0.531157,0.518718,8448,96,1
12,0.000084,312.901772,0.887356,0.732850,0.728782,0.719295,0.722706,1.212549,0.559341,0.565120,0.531034,0.528113,0.608791,0.630736,0.573263,0.566964,7280,455,1.358655,0.510298,0.475038,0.470918,0.457473,0.552083,0.489076,0.504397,0.477606,8448,96,0
13,0.000081,312.642466,0.869076,0.742564,0.738781,0.729585,0.732973,1.075770,0.625275,0.626044,0.603529,0.606067,0.698901,0.690963,0.667930,0.669193,7280,455,1.308255,0.520952,0.482485,0.485669,0.476621,0.572917,0.496362,0.526020,0.502692,8448,96,1
14,0.000078,311.030865,0.852672,0.754806,0.750943,0.742340,0.745581,1.117694,0.607967,0.614167,0.578429,0.578847,0.665934,0.673136,0.627876,0.625244,7280,455,1.288497,0.522254,0.469313,0.480808,0.467309,0.562500,0.490335,0.513488,0.488969,8448,96,0
15,0.000074,312.835833,0.839947,0.761136,0.757845,0.749514,0.752720,1.081225,0.626786,0.620359,0.601735,0.603557,0.687912,0.671631,0.655091,0.654544,7280,455,1.295751,0.537405,0.488824,0.500217,0.489497,0.583333,0.522981,0.539815,0.525574,8448,96,1
16,0.000070,311.782606,0.824065,0.770410,0.767383,0.759145,0.762331,1.089937,0.626236,0.631245,0.603826,0.606865,0.679121,0.686364,0.647871,0.650732,7280,455,1.343825,0.524148,0.490368,0.489396,0.482678,0.541667,0.505510,0.502449,0.490824,8448,96,0
17,0.000067,311.389484,0.810670,0.777751,0.774358,0.767008,0.769932,1.072223,0.633379,0.640010,0.612444,0.615636,0.698901,0.714940,0.674209,0.680292,7280,455,1.340493,0.519295,0.484659,0.484156,0.477335,0.541667,0.475274,0.494874,0.476436,8448,96,0
18,0.000063,310.339239,0.802239,0.783619,0.780777,0.772970,0.776033,1.075073,0.642170,0.637361,0.617410,0.619964,0.687912,0.685401,0.654901,0.656160,7280,455,1.329845,0.525568,0.469095,0.485490,0.472713,0.520833,0.452103,0.475826,0.459073,8448,96,0
