epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000015,336.064746,1.483751,0.336176,0.307065,0.306810,0.290642,1.803042,0.306868,0.382323,0.272960,0.196070,0.314286,0.378419,0.279603,0.197038,7280,455,1.907258,0.312027,0.304819,0.278168,0.192211,0.322917,0.346296,0.287446,0.201280,8448,96,1
2,0.000030,311.126645,1.228130,0.510615,0.489055,0.476710,0.470511,1.877459,0.326374,0.419749,0.301685,0.251424,0.340659,0.435229,0.313181,0.256905,7280,455,1.984159,0.321733,0.355792,0.292663,0.219402,0.343750,0.415388,0.311905,0.228300,8448,96,1
3,0.000030,311.798799,1.090022,0.603963,0.592524,0.577952,0.579532,1.387941,0.476786,0.462152,0.447965,0.426009,0.507692,0.496443,0.475601,0.446140,7280,455,1.468649,0.439039,0.397492,0.399228,0.370063,0.479167,0.447502,0.429118,0.396590,8448,96,1
4,0.000030,313.066784,0.995576,0.666168,0.658056,0.646469,0.649563,1.324136,0.508791,0.512989,0.477261,0.471483,0.536264,0.548500,0.497654,0.488106,7280,455,1.389521,0.492543,0.447040,0.449757,0.430602,0.552083,0.487500,0.502666,0.479701,8448,96,1
5,0.000030,311.556998,0.923344,0.710147,0.705206,0.695723,0.698945,1.066166,0.615522,0.653406,0.591752,0.591345,0.648352,0.722238,0.624316,0.624866,7280,455,1.280368,0.524621,0.509845,0.486872,0.476065,0.531250,0.482584,0.483914,0.463183,8448,96,1
6,0.000029,311.236052,0.872392,0.741626,0.737111,0.729103,0.732101,1.038026,0.648214,0.663380,0.630894,0.634947,0.716484,0.742668,0.697687,0.705770,7280,455,1.298398,0.523793,0.506720,0.489546,0.486662,0.552083,0.513851,0.504933,0.493217,8448,96,1
7,0.000029,309.938869,0.827844,0.768681,0.765682,0.758049,0.761013,1.028679,0.660027,0.686946,0.646804,0.651874,0.723077,0.759658,0.707891,0.715769,7280,455,1.305519,0.526278,0.513506,0.495477,0.493914,0.562500,0.551728,0.524903,0.523332,8448,96,1
8,0.000028,313.165176,0.793354,0.787861,0.785003,0.778003,0.780844,0.961955,0.695330,0.707895,0.683013,0.688526,0.762637,0.781718,0.745190,0.753993,7280,455,1.238840,0.555753,0.536284,0.520712,0.518840,0.572917,0.549664,0.524983,0.514692,8448,96,1
9,0.000028,310.854355,0.764188,0.805070,0.802936,0.796262,0.799049,0.977067,0.687912,0.705245,0.666750,0.674034,0.760440,0.797219,0.735001,0.746187,7280,455,1.273300,0.545691,0.525055,0.510573,0.508027,0.531250,0.509585,0.487753,0.481024,8448,96,0
10,0.000027,311.222525,0.738343,0.820784,0.818734,0.813073,0.815490,0.946744,0.700824,0.713820,0.683674,0.690752,0.795604,0.812650,0.775842,0.785217,7280,455,1.244334,0.564039,0.545739,0.530558,0.529457,0.552083,0.536825,0.516815,0.514646,8448,96,1
11,0.000026,310.223484,0.713431,0.834725,0.833320,0.827604,0.830078,0.926316,0.717582,0.726263,0.705216,0.708677,0.791209,0.805679,0.777640,0.783806,7280,455,1.188268,0.580729,0.568357,0.553286,0.553229,0.625000,0.623821,0.593199,0.593988,8448,96,1
12,0.000025,314.625143,0.691091,0.846755,0.845490,0.840566,0.842739,0.859427,0.762088,0.767254,0.753473,0.757557,0.868132,0.877260,0.862659,0.867568,7280,455,1.215499,0.580729,0.556535,0.548134,0.547350,0.635417,0.585101,0.588710,0.576230,8448,96,0
13,0.000024,314.791379,0.672881,0.855553,0.854359,0.849542,0.851692,0.808215,0.782692,0.784087,0.772480,0.776902,0.872527,0.883183,0.863917,0.870699,7280,455,1.163526,0.602273,0.577233,0.572723,0.572890,0.656250,0.632782,0.625883,0.626138,8448,96,1
14,0.000023,313.074141,0.658958,0.863692,0.862330,0.858183,0.860062,0.787578,0.790385,0.790935,0.777506,0.782059,0.890110,0.900900,0.877863,0.884798,7280,455,1.143052,0.628670,0.598564,0.597732,0.596684,0.697917,0.655556,0.659843,0.654521,8448,96,1
15,0.000022,315.700117,0.645455,0.871355,0.870258,0.866057,0.867958,0.818190,0.778297,0.774587,0.770636,0.771984,0.868132,0.873127,0.862098,0.865466,7280,455,1.167335,0.608310,0.575039,0.579500,0.576195,0.677083,0.637277,0.643096,0.638363,8448,96,0
16,0.000021,311.738515,0.629420,0.879985,0.878749,0.875313,0.876884,0.713557,0.830495,0.827016,0.826475,0.826530,0.927473,0.926735,0.920882,0.923500,7280,455,1.152983,0.629853,0.604546,0.605049,0.604018,0.718750,0.684006,0.685897,0.682175,8448,96,1
17,0.000020,309.391223,0.617950,0.886029,0.884665,0.881715,0.883083,0.697760,0.839423,0.840563,0.832546,0.835409,0.927473,0.931544,0.922742,0.925303,7280,455,1.136144,0.629498,0.602166,0.597905,0.597493,0.687500,0.660117,0.655457,0.655176,8448,96,0
18,0.000019,310.249932,0.606468,0.891905,0.891049,0.887541,0.889160,0.683313,0.847115,0.845471,0.843858,0.844397,0.949451,0.950931,0.945715,0.947786,7280,455,1.139562,0.625947,0.606365,0.598880,0.600806,0.687500,0.671813,0.654454,0.658436,8448,96,0
19,0.000018,310.697270,0.598175,0.897267,0.896325,0.893228,0.894670,0.685288,0.847527,0.850660,0.838403,0.843142,0.938462,0.943647,0.929285,0.934601,7280,455,1.120980,0.635417,0.618857,0.607250,0.609264,0.708333,0.707142,0.681214,0.686750,8448,96,1
20,0.000017,315.362733,0.588452,0.901158,0.900390,0.897530,0.898865,0.682452,0.849863,0.854198,0.839542,0.844770,0.942857,0.946426,0.933711,0.938620,7280,455,1.158804,0.622159,0.605618,0.589298,0.591557,0.718750,0.715523,0.681727,0.686344,8448,96,0
21,0.000016,310.011103,0.581745,0.905143,0.904229,0.901051,0.902534,0.619777,0.883791,0.884317,0.879329,0.881380,0.978022,0.979980,0.974610,0.976892,7280,455,1.100987,0.650095,0.630340,0.622624,0.624593,0.750000,0.726506,0.713306,0.714813,8448,96,1
22,0.000014,312.202960,0.572538,0.910593,0.910009,0.906974,0.908398,0.611280,0.895330,0.894359,0.892265,0.892952,0.973626,0.975513,0.971553,0.973128,7280,455,1.145588,0.628433,0.608187,0.602177,0.603860,0.729167,0.703664,0.694258,0.693853,8448,96,0
23,0.000013,313.193707,0.566469,0.913055,0.912372,0.909933,0.911086,0.619101,0.887637,0.889676,0.882068,0.884669,0.960440,0.965310,0.952560,0.957378,7280,455,1.158738,0.627723,0.611872,0.597230,0.599888,0.739583,0.731327,0.709490,0.713252,8448,96,0
24,0.000012,310.889057,0.560735,0.917238,0.916686,0.914282,0.915413,0.593833,0.899451,0.900879,0.896232,0.898075,0.978022,0.980820,0.972964,0.976398,7280,455,1.141624,0.632931,0.617268,0.604278,0.607453,0.750000,0.733172,0.720449,0.723471,8448,96,0
25,0.000011,309.818432,0.557503,0.918410,0.917381,0.915434,0.916367,0.607592,0.892033,0.892752,0.888056,0.889873,0.971429,0.974021,0.966770,0.969760,7280,455,1.143047,0.628433,0.610229,0.598435,0.600952,0.687500,0.680632,0.661734,0.663877,8448,96,0
26,0.000010,312.547639,0.550254,0.922154,0.921465,0.919247,0.920301,0.590210,0.901648,0.902269,0.897664,0.899471,0.980220,0.983165,0.977590,0.980085,7280,455,1.154828,0.626539,0.606092,0.596983,0.598775,0.697917,0.673682,0.664115,0.665287,8448,96,0
27,0.000009,309.096994,0.546236,0.924286,0.923595,0.921438,0.922467,0.570601,0.911538,0.910683,0.910119,0.910025,0.984615,0.986903,0.983253,0.984902,7280,455,1.125308,0.647846,0.619287,0.619492,0.618921,0.750000,0.717987,0.715744,0.714175,8448,96,0
28,0.000008,309.200984,0.539219,0.928095,0.927444,0.925378,0.926367,0.570453,0.910852,0.910884,0.908200,0.909129,0.986813,0.988538,0.985218,0.986699,7280,455,1.112711,0.651989,0.625615,0.621636,0.621708,0.760417,0.735714,0.721964,0.721921,8448,96,0
29,0.000007,311.962208,0.538746,0.927971,0.927358,0.925030,0.926139,0.557450,0.922390,0.921212,0.919608,0.920314,0.995604,0.995884,0.994668,0.995246,7280,455,1.104469,0.646070,0.622068,0.615434,0.616202,0.750000,0.727170,0.711438,0.711995,8448,96,0
30,0.000006,312.968209,0.534752,0.929326,0.928899,0.926622,0.927707,0.547239,0.923626,0.924344,0.921821,0.922617,0.986813,0.988826,0.986643,0.987607,7280,455,1.138932,0.641454,0.613912,0.610778,0.610004,0.729167,0.694148,0.688118,0.683400,8448,96,0
31,0.000005,314.002808,0.530664,0.931560,0.930860,0.928972,0.929875,0.544993,0.924451,0.923970,0.922210,0.922866,0.989011,0.990481,0.987293,0.988802,7280,455,1.119081,0.648201,0.619445,0.617676,0.617447,0.739583,0.709032,0.705218,0.705402,8448,96,0
