epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,335.632788,1.303973,0.409253,0.388275,0.379139,0.369957,1.836357,0.339148,0.416353,0.307901,0.257618,0.345055,0.432883,0.313599,0.258726,7280,455,2.001684,0.333688,0.356585,0.299186,0.234425,0.343750,0.379866,0.311472,0.245491,8448,96,1
2,0.000100,310.076652,0.934708,0.598652,0.585622,0.574025,0.575637,1.521077,0.447115,0.408680,0.411756,0.381268,0.472527,0.449265,0.433196,0.398175,7280,455,1.627581,0.413234,0.376053,0.384436,0.350504,0.427083,0.366634,0.394076,0.350025,8448,96,1
3,0.000100,312.050900,0.725223,0.700842,0.694640,0.685615,0.688668,0.858128,0.658654,0.667790,0.644969,0.648977,0.707692,0.726597,0.690137,0.697471,7280,455,1.252843,0.516572,0.491320,0.480242,0.474045,0.510417,0.463718,0.462531,0.436713,8448,96,1
4,0.000099,307.372122,0.579796,0.767516,0.763341,0.757211,0.759687,1.174537,0.578709,0.554349,0.545422,0.539883,0.619780,0.596835,0.584168,0.578595,7280,455,1.469647,0.526634,0.487301,0.496083,0.485454,0.552083,0.510274,0.520825,0.511200,8448,96,1
5,0.000098,311.076272,0.481198,0.808615,0.805804,0.800929,0.803038,0.833504,0.678709,0.707877,0.665675,0.667164,0.749451,0.802048,0.733876,0.737786,7280,455,1.289854,0.529001,0.540747,0.500595,0.498175,0.520833,0.588999,0.487970,0.478409,8448,96,1
6,0.000097,310.096046,0.413499,0.837897,0.835497,0.831571,0.833328,0.662884,0.736126,0.734290,0.724126,0.727167,0.819780,0.824579,0.806820,0.812857,7280,455,1.205851,0.551610,0.541505,0.522776,0.522848,0.583333,0.585667,0.551766,0.543774,8448,96,1
7,0.000096,307.804649,0.359331,0.859978,0.857867,0.855112,0.856384,0.524256,0.789011,0.787142,0.785881,0.785733,0.876923,0.877530,0.873666,0.874125,7280,455,1.109906,0.597893,0.575666,0.570723,0.571863,0.666667,0.650681,0.638278,0.641473,8448,96,1
8,0.000094,311.291224,0.321007,0.876007,0.873924,0.871383,0.872569,0.514537,0.792995,0.801949,0.780073,0.785962,0.857143,0.879514,0.844299,0.852950,7280,455,1.122435,0.599195,0.600838,0.577864,0.577475,0.645833,0.679685,0.631909,0.630976,8448,96,1
9,0.000092,310.844583,0.294559,0.887172,0.885555,0.883309,0.884366,0.374932,0.851648,0.865339,0.839771,0.847865,0.931868,0.945442,0.920569,0.929163,7280,455,1.141560,0.614702,0.608128,0.581941,0.583101,0.645833,0.639194,0.604910,0.603534,8448,96,1
10,0.000090,307.797844,0.266398,0.899370,0.897934,0.896006,0.896920,0.477567,0.817033,0.824350,0.812498,0.817124,0.923077,0.929514,0.920315,0.923589,7280,455,1.483684,0.581321,0.571598,0.560097,0.562314,0.625000,0.606939,0.597608,0.598977,8448,96,0
11,0.000087,306.908136,0.245642,0.907128,0.905991,0.903978,0.904930,0.382932,0.847115,0.851480,0.841222,0.843946,0.940659,0.948582,0.936040,0.940185,7280,455,1.222734,0.602865,0.596523,0.578431,0.577854,0.666667,0.678940,0.645249,0.646322,8448,96,0
12,0.000084,310.678046,0.224575,0.914440,0.913178,0.911962,0.912548,0.268841,0.902198,0.906554,0.894647,0.899270,0.969231,0.972543,0.963923,0.967475,7280,455,1.260154,0.616122,0.592929,0.583220,0.583323,0.635417,0.599096,0.593985,0.588176,8448,96,1
13,0.000081,307.984604,0.207194,0.922315,0.921532,0.919895,0.920683,0.315511,0.883104,0.884320,0.880055,0.881442,0.958242,0.963184,0.956535,0.959081,7280,455,1.202435,0.644531,0.633398,0.626686,0.627003,0.708333,0.701321,0.695500,0.691719,8448,96,1
14,0.000078,310.226467,0.194245,0.927941,0.926759,0.925577,0.926152,0.222817,0.914835,0.918931,0.907065,0.911513,0.975824,0.980026,0.968190,0.973020,7280,455,1.292204,0.659920,0.636248,0.630651,0.630220,0.729167,0.696117,0.694258,0.691404,8448,96,1
15,0.000074,306.410602,0.180762,0.932132,0.931248,0.930182,0.930695,0.174284,0.934753,0.934344,0.934524,0.934279,0.989011,0.989482,0.990323,0.989823,7280,455,1.278996,0.670455,0.653214,0.652563,0.652571,0.770833,0.752317,0.746070,0.747776,8448,96,1
16,0.000070,308.723906,0.168034,0.937451,0.936582,0.935572,0.936060,0.163187,0.939011,0.939401,0.939182,0.939183,0.993407,0.994495,0.993939,0.994132,7280,455,1.377649,0.647372,0.629237,0.632668,0.630079,0.718750,0.698052,0.702620,0.699313,8448,96,0
17,0.000067,308.340801,0.155695,0.942440,0.941459,0.940789,0.941118,0.184016,0.931731,0.933283,0.928728,0.930493,0.986813,0.987816,0.986799,0.987254,7280,455,1.499382,0.636482,0.611152,0.614163,0.611291,0.687500,0.658010,0.661198,0.655485,8448,96,0
18,0.000063,308.028639,0.147750,0.945582,0.944716,0.943783,0.944240,0.163244,0.936538,0.931596,0.937952,0.934329,0.995604,0.996093,0.996093,0.996093,7280,455,1.299768,0.663234,0.656399,0.650355,0.650082,0.750000,0.748187,0.746480,0.739490,8448,96,0
19,0.000059,307.908437,0.139628,0.949128,0.948302,0.947910,0.948102,0.238153,0.917033,0.919734,0.913277,0.916134,0.980220,0.979654,0.978841,0.979149,7280,455,1.661418,0.620857,0.603719,0.595426,0.595704,0.677083,0.659402,0.642060,0.641409,8448,96,0
20,0.000055,310.562003,0.130203,0.952974,0.952307,0.951642,0.951968,0.116552,0.956456,0.956679,0.955784,0.956149,1.000000,1.000000,1.000000,1.000000,7280,455,1.462670,0.667732,0.652954,0.643543,0.645747,0.770833,0.755773,0.746639,0.748850,8448,96,0
21,0.000051,309.491200,0.124310,0.955560,0.955117,0.954230,0.954665,0.132495,0.952335,0.954583,0.947567,0.950518,0.995604,0.996190,0.993220,0.994629,7280,455,1.515652,0.650568,0.643005,0.624863,0.628044,0.708333,0.709267,0.677774,0.683172,8448,96,0
22,0.000046,309.315219,0.115804,0.958234,0.957713,0.956812,0.957254,0.161111,0.942995,0.943964,0.943352,0.943062,0.986813,0.989286,0.987879,0.988245,7280,455,1.624735,0.656842,0.645916,0.644093,0.642606,0.760417,0.750037,0.753839,0.745458,8448,96,0
23,0.000042,308.408241,0.108197,0.961648,0.961221,0.960729,0.960971,0.161788,0.939560,0.940653,0.937424,0.938855,0.993407,0.994495,0.993939,0.994132,7280,455,1.508881,0.677083,0.661557,0.657489,0.658728,0.770833,0.746154,0.738631,0.739164,8448,96,1
24,0.000038,311.126761,0.102680,0.963495,0.963022,0.962742,0.962879,0.135406,0.953159,0.954025,0.952290,0.953036,0.995604,0.996296,0.995707,0.995973,7280,455,1.597189,0.672112,0.659543,0.653952,0.654882,0.750000,0.739440,0.734165,0.733940,8448,96,0
25,0.000034,309.590172,0.095972,0.965883,0.965515,0.964894,0.965201,0.143946,0.948901,0.947966,0.947279,0.947546,0.993407,0.992963,0.994018,0.993434,7280,455,1.636076,0.652817,0.646759,0.635694,0.636796,0.750000,0.747373,0.733732,0.734660,8448,96,0
26,0.000031,313.016104,0.090054,0.968205,0.967722,0.967447,0.967583,0.186982,0.939011,0.941180,0.934537,0.937401,0.991209,0.992487,0.990297,0.991315,7280,455,1.705612,0.665720,0.650594,0.642265,0.643764,0.729167,0.709127,0.693256,0.694415,8448,96,0
27,0.000027,308.277631,0.085616,0.970930,0.970427,0.970181,0.970303,0.081925,0.970604,0.971481,0.969912,0.970635,1.000000,1.000000,1.000000,1.000000,7280,455,1.733961,0.666548,0.650998,0.647258,0.647690,0.760417,0.747582,0.737116,0.738970,8448,96,0
28,0.000023,310.015399,0.077376,0.973626,0.973224,0.972902,0.973062,0.132178,0.960440,0.962446,0.960265,0.960912,0.995604,0.996296,0.995707,0.995973,7280,455,1.882264,0.664654,0.654235,0.647368,0.647023,0.697917,0.691858,0.677831,0.678767,8448,96,0
29,0.000020,309.987265,0.074525,0.974366,0.973962,0.973720,0.973839,0.115775,0.961126,0.960837,0.961156,0.960968,1.000000,1.000000,1.000000,1.000000,7280,455,1.762904,0.665956,0.656739,0.647325,0.648816,0.739583,0.738906,0.723639,0.725412,8448,96,0
30,0.000017,306.663731,0.068995,0.976286,0.975847,0.975530,0.975687,0.080682,0.972390,0.973338,0.971341,0.972309,1.000000,1.000000,1.000000,1.000000,7280,455,1.902084,0.674716,0.659914,0.652832,0.654217,0.760417,0.751895,0.743256,0.745076,8448,96,0
31,0.000014,304.477222,0.067004,0.977451,0.977191,0.976886,0.977037,0.062851,0.978434,0.978260,0.978788,0.978487,1.000000,1.000000,1.000000,1.000000,7280,455,1.827613,0.681463,0.661276,0.660517,0.660740,0.750000,0.729820,0.729893,0.729610,8448,96,1
32,0.000011,311.604451,0.061810,0.979150,0.978748,0.978499,0.978623,0.078779,0.973214,0.973098,0.973047,0.973063,0.997802,0.998131,0.997980,0.998046,7280,455,1.812542,0.681581,0.667677,0.661665,0.663214,0.802083,0.790982,0.781488,0.783547,8448,96,1
33,0.000009,306.928955,0.057482,0.980330,0.980077,0.979732,0.979903,0.084894,0.973352,0.973644,0.972945,0.973249,1.000000,1.000000,1.000000,1.000000,7280,455,1.843205,0.670928,0.657294,0.652417,0.653088,0.781250,0.769466,0.764308,0.763971,8448,96,0
