epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,341.512045,1.425490,0.374667,0.345879,0.344546,0.332588,1.839968,0.278022,0.315039,0.247734,0.183440,0.265934,0.257648,0.236152,0.169857,7280,455,1.886167,0.291312,0.278505,0.259744,0.189818,0.302083,0.260525,0.268831,0.199273,8448,96,1
2,0.000100,314.041667,1.152927,0.562513,0.544851,0.531342,0.529660,1.252639,0.537225,0.522214,0.509639,0.505675,0.569231,0.558436,0.538847,0.536214,7280,455,1.326256,0.512074,0.477727,0.479456,0.468842,0.520833,0.486689,0.489246,0.477516,8448,96,1
3,0.000100,313.598680,1.011780,0.655165,0.646278,0.633301,0.636263,1.083116,0.633791,0.636260,0.616245,0.619225,0.670330,0.680732,0.653769,0.657983,7280,455,1.322282,0.513849,0.495322,0.483547,0.480674,0.510417,0.496100,0.480121,0.472728,8448,96,1
4,0.000099,312.855034,0.904932,0.721978,0.716536,0.706851,0.710175,1.282508,0.551648,0.536514,0.520531,0.514593,0.584615,0.569319,0.550041,0.540013,7280,455,1.424565,0.517519,0.485765,0.489304,0.479003,0.520833,0.489037,0.493256,0.482030,8448,96,0
5,0.000098,313.038439,0.830685,0.766549,0.763007,0.755554,0.758492,0.982392,0.681456,0.695365,0.660786,0.667913,0.756044,0.777112,0.736150,0.746691,7280,455,1.229723,0.559304,0.547250,0.530307,0.530472,0.562500,0.549759,0.521736,0.516579,8448,96,1
6,0.000097,312.415829,0.778456,0.796205,0.793264,0.786987,0.789610,1.020304,0.672802,0.687390,0.665568,0.666647,0.716484,0.738351,0.705211,0.707523,7280,455,1.363081,0.502131,0.491096,0.473836,0.474460,0.520833,0.496409,0.485373,0.481309,8448,96,0
7,0.000096,313.761887,0.733148,0.822872,0.820955,0.815082,0.817596,0.835201,0.760989,0.768568,0.747097,0.752546,0.832967,0.843179,0.821640,0.827024,7280,455,1.222099,0.574219,0.544441,0.540029,0.536792,0.625000,0.600000,0.588733,0.584633,8448,96,1
8,0.000094,315.629607,0.699705,0.840586,0.838759,0.833888,0.836031,0.798446,0.788599,0.797379,0.783504,0.787680,0.879121,0.891581,0.876059,0.881087,7280,455,1.217218,0.574219,0.572415,0.548851,0.549990,0.645833,0.644005,0.609478,0.604869,8448,96,1
9,0.000092,314.006685,0.672490,0.856051,0.854287,0.850145,0.852028,0.765615,0.793544,0.812415,0.785515,0.790986,0.898901,0.915765,0.894531,0.900400,7280,455,1.194812,0.584399,0.585042,0.553006,0.552153,0.635417,0.622229,0.595386,0.590848,8448,96,1
10,0.000090,315.667084,0.648926,0.869304,0.867980,0.864191,0.865919,0.729793,0.819231,0.821789,0.815252,0.817560,0.914286,0.922212,0.912138,0.915910,7280,455,1.216818,0.589252,0.559599,0.560156,0.557623,0.614583,0.550931,0.571098,0.554067,8448,96,1
11,0.000087,315.136654,0.630523,0.878271,0.877134,0.873775,0.875322,0.780837,0.795467,0.788826,0.792116,0.789632,0.901099,0.901139,0.899779,0.899206,7280,455,1.181209,0.616359,0.598702,0.593829,0.595282,0.677083,0.655833,0.649806,0.649571,8448,96,1
12,0.000084,315.344187,0.614335,0.888161,0.886793,0.884112,0.885367,0.617368,0.883242,0.888050,0.876185,0.881061,0.962637,0.968713,0.953211,0.959168,7280,455,1.080598,0.657670,0.639534,0.628295,0.630480,0.729167,0.690299,0.686546,0.684451,8448,96,1
13,0.000081,314.436862,0.599094,0.895341,0.894600,0.891751,0.893085,0.651360,0.863599,0.867138,0.858308,0.861424,0.945055,0.953179,0.936977,0.942574,7280,455,1.106184,0.638968,0.616082,0.614118,0.614107,0.739583,0.713091,0.712224,0.711711,8448,96,0
14,0.000078,312.358056,0.586609,0.901722,0.900408,0.898301,0.899295,0.610208,0.883242,0.888759,0.876533,0.880030,0.947253,0.954127,0.942398,0.946100,7280,455,1.177019,0.643466,0.622528,0.615301,0.612455,0.666667,0.644557,0.627968,0.620915,8448,96,0
15,0.000074,311.383967,0.574437,0.908234,0.907251,0.905081,0.906107,0.655666,0.859203,0.871528,0.857098,0.858642,0.945055,0.956697,0.948265,0.949130,7280,455,1.167077,0.628551,0.612789,0.606739,0.601690,0.677083,0.671536,0.649510,0.636736,8448,96,0
16,0.000070,314.283443,0.562210,0.914608,0.913670,0.911736,0.912658,0.593096,0.896016,0.896411,0.897606,0.896397,0.984615,0.984835,0.983276,0.983883,7280,455,1.229314,0.613281,0.592045,0.595075,0.592586,0.697917,0.669192,0.674858,0.669684,8448,96,0
17,0.000067,317.566993,0.552672,0.919846,0.918871,0.917567,0.918195,0.597631,0.890934,0.888417,0.889914,0.888653,0.969231,0.972374,0.967899,0.969461,7280,455,1.192634,0.630919,0.604504,0.604060,0.602468,0.656250,0.627251,0.624482,0.621178,8448,96,0
