epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,343.004342,1.352076,0.425055,0.402523,0.394051,0.385305,1.533937,0.345192,0.369988,0.316122,0.286140,0.338462,0.365933,0.307336,0.269721,7280,455,1.528477,0.395241,0.383383,0.359766,0.323288,0.406250,0.403247,0.367783,0.335247,8448,96,1
2,0.000100,316.299729,1.048126,0.631377,0.620438,0.607121,0.609148,1.101316,0.608379,0.595782,0.581449,0.582120,0.654945,0.653184,0.623460,0.625319,7280,455,1.263425,0.545455,0.519128,0.516890,0.513491,0.593750,0.578018,0.565163,0.563530,8448,96,1
3,0.000100,314.899780,0.883345,0.734857,0.730036,0.720612,0.723920,1.089619,0.628709,0.624602,0.606353,0.607578,0.663736,0.673257,0.639031,0.642308,7280,455,1.276256,0.540365,0.516546,0.512214,0.507598,0.562500,0.547829,0.535623,0.534931,8448,96,0
4,0.000099,321.924198,0.776103,0.796571,0.793530,0.786906,0.789623,1.089990,0.621291,0.635909,0.609541,0.604691,0.687912,0.723680,0.676944,0.674660,7280,455,1.260270,0.527225,0.503532,0.501108,0.487377,0.583333,0.563423,0.561085,0.546750,8448,96,0
5,0.000098,321.640558,0.710309,0.834872,0.832772,0.827697,0.829916,0.881646,0.738462,0.752090,0.721868,0.728075,0.821978,0.839164,0.799988,0.808109,7280,455,1.163876,0.605705,0.555556,0.567029,0.555872,0.645833,0.576090,0.599670,0.583153,8448,96,1
6,0.000097,323.030944,0.665562,0.858799,0.857293,0.852901,0.854883,0.801733,0.779670,0.780864,0.772251,0.775451,0.883516,0.891561,0.877584,0.882741,7280,455,1.082327,0.625592,0.606475,0.588779,0.588614,0.708333,0.700654,0.659490,0.654521,8448,96,1
7,0.000096,319.958852,0.631196,0.877941,0.876349,0.873260,0.874687,0.886680,0.736401,0.743649,0.730681,0.726099,0.819780,0.829458,0.815526,0.812467,7280,455,1.143297,0.618371,0.624682,0.591075,0.591174,0.656250,0.661966,0.619879,0.617563,8448,96,1
8,0.000094,321.674054,0.606296,0.891670,0.890445,0.887164,0.888680,0.720589,0.825412,0.825754,0.825692,0.823892,0.925275,0.929853,0.925658,0.925707,7280,455,1.153755,0.601089,0.578915,0.572665,0.571786,0.697917,0.675263,0.661985,0.650974,8448,96,0
9,0.000092,320.320408,0.585558,0.902630,0.901697,0.899092,0.900325,0.738970,0.816484,0.815408,0.816719,0.814361,0.909890,0.910029,0.910977,0.909062,7280,455,1.145899,0.618490,0.593146,0.588127,0.587865,0.656250,0.621625,0.615903,0.614819,8448,96,0
10,0.000090,318.062900,0.569872,0.910286,0.909299,0.907118,0.908154,0.648449,0.867995,0.873162,0.857198,0.862988,0.951648,0.956607,0.942283,0.947860,7280,455,1.057252,0.656723,0.628437,0.624986,0.625230,0.729167,0.693353,0.687548,0.687734,8448,96,1
11,0.000087,321.245832,0.553944,0.919172,0.918433,0.916371,0.917353,0.642575,0.868407,0.874930,0.864958,0.868706,0.938462,0.947213,0.931464,0.937769,7280,455,1.116090,0.647254,0.622248,0.620600,0.618439,0.687500,0.666769,0.659193,0.657714,8448,96,0
12,0.000084,323.576973,0.539986,0.926681,0.925827,0.924222,0.924994,0.676030,0.851374,0.860447,0.847824,0.851359,0.934066,0.940060,0.932705,0.935454,7280,455,1.120362,0.655066,0.631585,0.629888,0.626937,0.708333,0.682135,0.680816,0.674993,8448,96,1
13,0.000081,317.573483,0.529536,0.931487,0.930890,0.929410,0.930123,0.566527,0.910165,0.910626,0.910743,0.909505,0.969231,0.968890,0.968787,0.968296,7280,455,1.135575,0.640507,0.623413,0.618654,0.619049,0.666667,0.644872,0.640283,0.638104,8448,96,0
14,0.000078,319.276777,0.521141,0.936557,0.936046,0.934407,0.935198,0.633337,0.875412,0.876566,0.872670,0.873575,0.973626,0.978512,0.971782,0.974438,7280,455,1.215101,0.623461,0.594492,0.595845,0.593748,0.687500,0.658019,0.659330,0.655012,8448,96,0
15,0.000074,319.980017,0.512116,0.940520,0.939877,0.938823,0.939335,0.570232,0.905220,0.905555,0.903191,0.904007,0.975824,0.978698,0.974014,0.976115,7280,455,1.164246,0.649503,0.638469,0.624725,0.627867,0.739583,0.725022,0.710925,0.713862,8448,96,1
16,0.000070,319.861727,0.503268,0.945275,0.944825,0.943565,0.944176,0.628127,0.882005,0.883429,0.879940,0.880837,0.960440,0.959439,0.961782,0.960346,7280,455,1.172724,0.659801,0.642283,0.639058,0.638561,0.697917,0.680359,0.675427,0.676246,8448,96,1
17,0.000067,318.312836,0.495760,0.949121,0.948437,0.947604,0.948011,0.575133,0.907692,0.907673,0.904901,0.904843,0.984615,0.983228,0.983157,0.983184,7280,455,1.168243,0.655895,0.627287,0.629616,0.626353,0.760417,0.728232,0.725131,0.725412,8448,96,0
18,0.000063,323.421235,0.490432,0.951516,0.950896,0.949969,0.950423,0.533601,0.926786,0.926590,0.924062,0.925201,0.993407,0.994170,0.992703,0.993417,7280,455,1.154053,0.652462,0.635715,0.626883,0.629487,0.729167,0.710220,0.702267,0.704681,8448,96,0
19,0.000059,320.559503,0.483466,0.955062,0.954785,0.953679,0.954219,0.508534,0.939560,0.941740,0.936353,0.938823,0.993407,0.994241,0.992703,0.993453,7280,455,1.130198,0.682528,0.662213,0.656008,0.657447,0.791667,0.775865,0.766257,0.768613,8448,96,1
20,0.000055,320.912297,0.477613,0.958300,0.957922,0.957152,0.957531,0.526660,0.932005,0.933088,0.932009,0.932220,0.991209,0.992056,0.990683,0.991310,7280,455,1.283534,0.615885,0.595797,0.590700,0.591501,0.656250,0.628677,0.627751,0.627374,8448,96,0
21,0.000051,321.834629,0.473781,0.959641,0.959192,0.958502,0.958841,0.488287,0.951648,0.953345,0.952000,0.952569,1.000000,1.000000,1.000000,1.000000,7280,455,1.178311,0.665365,0.646579,0.642689,0.643143,0.739583,0.716818,0.710788,0.711672,8448,96,0
22,0.000046,319.353873,0.467516,0.963033,0.962733,0.961838,0.962277,0.503341,0.942582,0.945990,0.942026,0.943422,0.986813,0.989286,0.986509,0.987605,7280,455,1.230066,0.645005,0.630550,0.617839,0.619705,0.750000,0.733845,0.719013,0.719889,8448,96,0
23,0.000042,319.695607,0.462449,0.965700,0.965468,0.964700,0.965076,0.531004,0.928846,0.932395,0.928861,0.929155,0.980220,0.982295,0.980762,0.981154,7280,455,1.227253,0.649858,0.630748,0.629720,0.626328,0.729167,0.709907,0.702267,0.699461,8448,96,0
24,0.000038,321.897000,0.457834,0.967978,0.967531,0.967094,0.967309,0.516530,0.936401,0.939173,0.936564,0.936870,0.989011,0.988889,0.989646,0.989132,7280,455,1.183468,0.666903,0.649955,0.646657,0.645179,0.739583,0.716316,0.711791,0.710137,8448,96,0
25,0.000034,320.622581,0.455144,0.969238,0.968953,0.968427,0.968686,0.470937,0.960852,0.961476,0.959101,0.960191,0.997802,0.998131,0.997980,0.998046,7280,455,1.176161,0.668324,0.651828,0.647654,0.648322,0.760417,0.746632,0.743689,0.744366,8448,96,0
26,0.000031,321.801567,0.449473,0.972176,0.971907,0.971390,0.971643,0.451996,0.969505,0.970146,0.970098,0.970105,1.000000,1.000000,1.000000,1.000000,7280,455,1.191811,0.671875,0.655678,0.650836,0.651000,0.760417,0.737961,0.720392,0.719905,8448,96,0
27,0.000027,320.111970,0.446694,0.973568,0.973409,0.972678,0.973039,0.451187,0.971154,0.972305,0.970818,0.971446,1.000000,1.000000,1.000000,1.000000,7280,455,1.211118,0.660511,0.637824,0.636652,0.635736,0.729167,0.694002,0.696560,0.689669,8448,96,0
28,0.000023,318.047212,0.441274,0.976176,0.976036,0.975368,0.975696,0.446306,0.972527,0.973018,0.972313,0.972553,1.000000,1.000000,1.000000,1.000000,7280,455,1.154491,0.685961,0.668594,0.665384,0.666082,0.750000,0.726908,0.721884,0.722659,8448,96,1
29,0.000020,319.235993,0.439323,0.976952,0.976701,0.976337,0.976517,0.432349,0.979533,0.978676,0.980352,0.979456,1.000000,1.000000,1.000000,1.000000,7280,455,1.213051,0.668442,0.647781,0.648174,0.647152,0.739583,0.710477,0.712657,0.710925,8448,96,0
30,0.000017,319.871098,0.434608,0.979319,0.979202,0.978604,0.978899,0.424889,0.982967,0.983256,0.983309,0.983273,1.000000,1.000000,1.000000,1.000000,7280,455,1.208974,0.670691,0.651032,0.650452,0.650410,0.750000,0.729762,0.728458,0.728598,8448,96,0
31,0.000014,322.850089,0.432133,0.980901,0.980921,0.980354,0.980634,0.425010,0.982967,0.983380,0.982633,0.982981,1.000000,1.000000,1.000000,1.000000,7280,455,1.178551,0.683712,0.663366,0.662962,0.662405,0.739583,0.724425,0.727375,0.723733,8448,96,0
32,0.000011,321.633649,0.430265,0.981612,0.981377,0.981190,0.981283,0.425328,0.982555,0.982869,0.983040,0.982948,1.000000,1.000000,1.000000,1.000000,7280,455,1.206170,0.672467,0.654178,0.651635,0.652254,0.729167,0.719045,0.717851,0.716138,8448,96,0
33,0.000009,321.012541,0.427570,0.983282,0.983213,0.982947,0.983079,0.425937,0.982967,0.983240,0.983011,0.983068,1.000000,1.000000,1.000000,1.000000,7280,455,1.211707,0.673295,0.653485,0.651069,0.651414,0.770833,0.754141,0.739496,0.741701,8448,96,0
34,0.000007,319.564337,0.426566,0.983165,0.983144,0.982670,0.982905,0.415600,0.988736,0.988025,0.988950,0.988471,1.000000,1.000000,1.000000,1.000000,7280,455,1.171879,0.684541,0.665753,0.666404,0.665690,0.770833,0.756142,0.755650,0.755080,8448,96,0
35,0.000005,319.418645,0.424968,0.984029,0.983986,0.983619,0.983801,0.417955,0.987775,0.987590,0.987859,0.987718,1.000000,1.000000,1.000000,1.000000,7280,455,1.209050,0.674361,0.651440,0.651076,0.650908,0.760417,0.738974,0.739417,0.738551,8448,96,0
36,0.000004,324.823286,0.423513,0.985011,0.984931,0.984549,0.984738,0.413933,0.989148,0.989338,0.988847,0.989083,1.000000,1.000000,1.000000,1.000000,7280,455,1.187292,0.683949,0.663866,0.661433,0.662111,0.770833,0.752086,0.748075,0.749592,8448,96,0
37,0.000003,319.703408,0.422232,0.985267,0.985216,0.984969,0.985091,0.414544,0.988324,0.988569,0.988446,0.988494,1.000000,1.000000,1.000000,1.000000,7280,455,1.185014,0.684659,0.662885,0.662699,0.662020,0.750000,0.734348,0.729893,0.730394,8448,96,0
38,0.000002,319.785722,0.422278,0.985201,0.985271,0.984694,0.984980,0.413042,0.989286,0.989654,0.989617,0.989610,1.000000,1.000000,1.000000,1.000000,7280,455,1.205270,0.675189,0.653155,0.653578,0.652956,0.750000,0.735364,0.728458,0.730812,8448,96,0
