epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,329.119161,1.337272,0.432410,0.411019,0.401409,0.393373,1.053597,0.628434,0.621368,0.595766,0.592745,0.685714,0.702447,0.649454,0.646895,7280,455,1.121328,0.607481,0.590464,0.567777,0.560199,0.645833,0.718704,0.603076,0.596349,8448,96,1
2,0.000100,307.091526,1.004142,0.658740,0.648252,0.635545,0.637745,0.812173,0.771978,0.772797,0.754577,0.759559,0.852747,0.855047,0.839711,0.844801,7280,455,1.082090,0.626302,0.598734,0.589416,0.589898,0.645833,0.611254,0.602506,0.601788,8448,96,1
3,0.000100,307.631806,0.827068,0.767187,0.762658,0.753530,0.756863,0.708039,0.829670,0.832229,0.828836,0.824086,0.918681,0.922177,0.921228,0.917040,7280,455,1.158492,0.609493,0.608625,0.584193,0.587919,0.687500,0.700051,0.663033,0.671078,8448,96,0
4,0.000099,307.783179,0.717055,0.831465,0.828656,0.823067,0.825467,0.661732,0.855907,0.864779,0.847420,0.852741,0.945055,0.952473,0.935625,0.941106,7280,455,1.129179,0.655066,0.626172,0.626444,0.624122,0.687500,0.649428,0.649749,0.647239,8448,96,1
5,0.000098,303.649156,0.651954,0.867011,0.864643,0.860862,0.862572,0.581210,0.900000,0.903425,0.895858,0.898993,0.978022,0.980956,0.974601,0.977340,7280,455,1.178278,0.645241,0.618037,0.617065,0.616107,0.687500,0.659694,0.658191,0.656209,8448,96,0
6,0.000097,304.430811,0.608632,0.890652,0.888981,0.885661,0.887203,0.507674,0.942170,0.940279,0.942185,0.940917,0.995604,0.994419,0.996117,0.995229,7280,455,1.129795,0.669626,0.644565,0.645819,0.644289,0.750000,0.732381,0.728890,0.728854,8448,96,1
7,0.000096,305.755580,0.576464,0.908234,0.906819,0.904342,0.905514,0.512268,0.939011,0.939224,0.939004,0.938799,0.997802,0.997753,0.998058,0.997894,7280,455,1.190444,0.649621,0.622280,0.626734,0.622901,0.708333,0.675185,0.678811,0.674843,8448,96,0
8,0.000094,306.590309,0.555556,0.919004,0.917872,0.915808,0.916792,0.479130,0.957418,0.958425,0.955728,0.956785,0.995604,0.996208,0.994590,0.995370,7280,455,1.148644,0.676018,0.651730,0.647576,0.647747,0.729167,0.699960,0.696560,0.696416,8448,96,1
9,0.000092,305.854753,0.536157,0.929055,0.928002,0.926397,0.927171,0.476525,0.957418,0.958699,0.956818,0.957699,0.995604,0.996296,0.994590,0.995406,7280,455,1.160732,0.678741,0.660105,0.661265,0.659370,0.729167,0.726857,0.726293,0.716513,8448,96,1
10,0.000090,305.987027,0.522888,0.935612,0.934713,0.933174,0.933916,0.454045,0.969368,0.968792,0.970023,0.969380,1.000000,1.000000,1.000000,1.000000,7280,455,1.132781,0.680398,0.657897,0.658920,0.658272,0.697917,0.675201,0.673992,0.674375,8448,96,0
11,0.000087,305.561652,0.511172,0.941062,0.940206,0.938909,0.939538,0.487152,0.952473,0.953318,0.954425,0.953424,0.993407,0.994135,0.992837,0.993447,7280,455,1.163432,0.679688,0.657091,0.659648,0.655677,0.708333,0.692072,0.693529,0.689431,8448,96,0
12,0.000084,301.538385,0.499510,0.947458,0.946530,0.945488,0.945996,0.438794,0.975824,0.975512,0.975303,0.975398,1.000000,1.000000,1.000000,1.000000,7280,455,1.140046,0.690933,0.669917,0.669719,0.669760,0.750000,0.729135,0.728458,0.727901,8448,96,1
13,0.000081,308.043987,0.490660,0.951853,0.951351,0.950060,0.950690,0.454988,0.968819,0.965958,0.970131,0.967869,1.000000,1.000000,1.000000,1.000000,7280,455,1.202457,0.666430,0.651848,0.650826,0.649687,0.729167,0.716668,0.711711,0.710505,8448,96,0
