epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,446.086665,1.360102,0.425319,0.415172,0.391735,0.379481,1.311039,0.486951,0.497576,0.452014,0.431149,0.496703,0.617497,0.458657,0.428773,7280,455,1.339260,0.502367,0.455201,0.459418,0.431904,0.520833,0.436404,0.476259,0.443506,8448,96,1
2,0.000100,422.473815,1.036781,0.640733,0.633103,0.618997,0.622133,1.164725,0.564423,0.607789,0.531517,0.528278,0.608791,0.681204,0.567501,0.554364,7280,455,1.324997,0.505563,0.460441,0.459805,0.438873,0.541667,0.464465,0.488699,0.462179,8448,96,1
3,0.000100,421.122505,0.860719,0.749414,0.745394,0.737156,0.740281,1.137900,0.615934,0.631490,0.600656,0.602049,0.672527,0.699054,0.654095,0.653055,7280,455,1.398802,0.488163,0.481979,0.461666,0.457790,0.510417,0.532401,0.480257,0.472243,8448,96,1
4,0.000099,420.920237,0.743804,0.816549,0.814260,0.808413,0.810919,1.159958,0.587775,0.621765,0.573195,0.575730,0.639560,0.702765,0.618901,0.620223,7280,455,1.358922,0.518466,0.521480,0.491486,0.483914,0.562500,0.588268,0.533949,0.525220,8448,96,1
5,0.000098,422.094459,0.676503,0.854264,0.852569,0.848362,0.850254,0.815461,0.769918,0.773800,0.757459,0.762126,0.857143,0.862709,0.843881,0.848768,7280,455,1.143828,0.627131,0.599071,0.597159,0.592936,0.677083,0.647744,0.643962,0.637146,8448,96,1
6,0.000097,422.461548,0.629827,0.879751,0.878277,0.874876,0.876450,0.755122,0.802747,0.805643,0.796359,0.798650,0.892308,0.905534,0.882749,0.890049,7280,455,1.178422,0.599550,0.575719,0.570590,0.567819,0.687500,0.667626,0.657029,0.654588,8448,96,0
7,0.000096,421.995427,0.597128,0.896879,0.895812,0.893056,0.894346,0.725283,0.821154,0.836418,0.805749,0.814468,0.887912,0.912617,0.866187,0.876948,7280,455,1.123953,0.635062,0.608902,0.596850,0.595272,0.697917,0.686658,0.655104,0.654971,8448,96,1
8,0.000094,422.307989,0.572876,0.909487,0.908471,0.906511,0.907435,0.806594,0.782143,0.788698,0.775667,0.777948,0.859341,0.873439,0.852729,0.855785,7280,455,1.259798,0.585819,0.591764,0.565241,0.563139,0.666667,0.690305,0.648952,0.641777,8448,96,0
9,0.000092,421.366667,0.553765,0.918667,0.917773,0.916042,0.916869,0.684879,0.847115,0.853075,0.844455,0.847061,0.931868,0.938944,0.928102,0.932657,7280,455,1.225344,0.609493,0.576104,0.577318,0.573209,0.625000,0.560000,0.581625,0.563371,8448,96,0
10,0.000090,421.392168,0.540101,0.926842,0.926160,0.924150,0.925111,0.640250,0.866209,0.871642,0.863675,0.866795,0.951648,0.956833,0.946687,0.951078,7280,455,1.196590,0.617661,0.605378,0.593663,0.595666,0.687500,0.713931,0.661460,0.667656,8448,96,1
11,0.000087,422.158144,0.526440,0.933150,0.932587,0.931089,0.931813,0.595146,0.894505,0.898920,0.889526,0.893542,0.969231,0.973450,0.962701,0.967299,7280,455,1.113284,0.658499,0.642894,0.626626,0.628108,0.729167,0.718372,0.693119,0.696224,8448,96,1
12,0.000084,421.722118,0.514754,0.938923,0.938076,0.936769,0.937404,0.597445,0.894643,0.906934,0.888413,0.894386,0.960440,0.969961,0.953544,0.959607,7280,455,1.197418,0.633168,0.604630,0.602724,0.598381,0.708333,0.687225,0.683652,0.679880,8448,96,0
13,0.000081,422.367553,0.502896,0.944938,0.944483,0.943347,0.943900,0.586900,0.903571,0.899026,0.900244,0.899393,0.967033,0.963763,0.965783,0.964543,7280,455,1.169547,0.652580,0.633554,0.626922,0.628762,0.739583,0.717663,0.711791,0.713467,8448,96,1
14,0.000078,421.347905,0.497125,0.947810,0.947285,0.946148,0.946702,0.664797,0.860852,0.856981,0.857674,0.856854,0.938462,0.939227,0.935197,0.936482,7280,455,1.307521,0.597775,0.570195,0.571968,0.570230,0.666667,0.638552,0.639280,0.635454,8448,96,0
15,0.000074,422.629760,0.491696,0.950615,0.950202,0.948930,0.949550,0.528944,0.931731,0.930091,0.933871,0.931518,0.991209,0.992172,0.990816,0.991466,7280,455,1.178827,0.649621,0.630783,0.625311,0.626199,0.760417,0.737713,0.730406,0.732646,8448,96,0
