epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,447.731363,1.271993,0.483971,0.467412,0.458957,0.457877,nan,0.444643,0.489953,0.419560,0.416684,0.459341,0.527095,0.431242,0.430435,7280,455,1.649333,0.408617,0.397241,0.370336,0.343252,0.437500,0.408987,0.392755,0.358123,8448,96,1
2,0.000100,428.670910,0.986798,0.671861,0.665388,0.655513,0.658706,1.157946,0.597940,0.620591,0.575264,0.576688,0.659341,0.701010,0.628942,0.627090,7280,455,1.344278,0.526397,0.496105,0.488623,0.474098,0.552083,0.474510,0.506835,0.479122,8448,96,1
3,0.000100,428.635079,0.809396,0.779707,0.776726,0.770309,0.772992,0.925106,0.720879,0.724680,0.712311,0.714952,0.821978,0.837724,0.809515,0.817396,7280,455,1.346372,0.529001,0.514467,0.498734,0.499287,0.552083,0.521569,0.507371,0.497666,8448,96,1
4,0.000099,428.640591,0.698516,0.841758,0.839831,0.835867,0.837649,0.822792,0.773626,0.784652,0.757621,0.765705,0.872527,0.885483,0.855363,0.864111,7280,455,1.245397,0.584280,0.553838,0.549542,0.545103,0.625000,0.592828,0.583892,0.577493,8448,96,1
5,0.000098,428.908294,0.635370,0.875956,0.874483,0.871612,0.872942,0.772446,0.803434,0.808528,0.788755,0.794907,0.892308,0.898141,0.876031,0.883425,7280,455,1.195594,0.609138,0.594208,0.583696,0.586243,0.708333,0.689481,0.676771,0.679129,8448,96,1
6,0.000097,429.664894,0.595988,0.896505,0.895041,0.892682,0.893795,0.721635,0.837500,0.848083,0.836921,0.837432,0.907692,0.917208,0.907412,0.909571,7280,455,1.226009,0.606297,0.575120,0.577435,0.572289,0.656250,0.622174,0.622477,0.620058,8448,96,0
7,0.000096,428.237892,0.569367,0.911070,0.910148,0.908394,0.909226,0.662887,0.855632,0.855086,0.851718,0.853077,0.949451,0.953979,0.944441,0.948260,7280,455,1.191299,0.623580,0.604489,0.594999,0.596739,0.677083,0.647924,0.642231,0.638013,8448,96,1
8,0.000094,429.281448,0.544915,0.923267,0.922613,0.920777,0.921656,0.681665,0.856868,0.853934,0.863160,0.853651,0.945055,0.941482,0.948962,0.943480,7280,455,1.120737,0.652462,0.646693,0.635905,0.636442,0.729167,0.726825,0.715846,0.713716,8448,96,1
9,0.000092,428.769778,0.533422,0.929158,0.928351,0.926937,0.927617,0.658821,0.864148,0.872324,0.858068,0.862363,0.920879,0.929859,0.918420,0.921816,7280,455,1.161648,0.663352,0.636861,0.631621,0.629128,0.718750,0.688275,0.680428,0.676274,8448,96,0
10,0.000090,428.933753,0.517763,0.937744,0.937319,0.935916,0.936596,0.583432,0.901648,0.898488,0.902255,0.900008,0.975824,0.977670,0.975651,0.976542,7280,455,1.176389,0.641454,0.627464,0.622771,0.624124,0.729167,0.710438,0.695990,0.699781,8448,96,0
11,0.000087,427.668833,0.506289,0.943238,0.942670,0.941757,0.942202,0.596710,0.896703,0.899485,0.889555,0.893642,0.958242,0.959878,0.951773,0.955303,7280,455,1.116817,0.682410,0.666081,0.657986,0.660026,0.729167,0.712052,0.699829,0.702163,8448,96,1
12,0.000084,429.077410,0.496335,0.948484,0.947965,0.946824,0.947380,0.505963,0.939835,0.939036,0.938395,0.938698,0.986813,0.987337,0.985218,0.986149,7280,455,1.096904,0.692590,0.674301,0.669523,0.671001,0.812500,0.806375,0.798587,0.800971,8448,96,1
13,0.000081,429.287636,0.486934,0.952821,0.952515,0.951652,0.952073,0.517792,0.935165,0.935963,0.934182,0.934755,0.997802,0.998000,0.997727,0.997852,7280,455,1.091116,0.691288,0.667346,0.662803,0.662707,0.750000,0.740631,0.728025,0.731285,8448,96,0
14,0.000078,428.962538,0.481097,0.956037,0.955602,0.955009,0.955300,0.503402,0.941209,0.940900,0.939695,0.940071,0.991209,0.992107,0.989258,0.990596,7280,455,1.173861,0.674598,0.646906,0.647252,0.645044,0.750000,0.725604,0.721315,0.720400,8448,96,0
15,0.000074,428.965357,0.475070,0.959245,0.958834,0.958162,0.958492,0.516075,0.938324,0.935600,0.937405,0.936301,0.991209,0.989503,0.990706,0.990077,7280,455,1.161868,0.671993,0.653237,0.652167,0.652269,0.750000,0.721997,0.720312,0.720733,8448,96,0
