epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,431.497140,1.372364,0.408447,0.387119,0.382577,0.376244,1.420630,0.428297,0.416553,0.395929,0.377794,0.450549,0.459887,0.414867,0.391531,7280,455,1.449746,0.456913,0.390896,0.416169,0.389796,0.489583,0.427364,0.445249,0.420926,8448,96,1
2,0.000100,406.533967,1.057345,0.625963,0.616527,0.602061,0.604613,1.133418,0.599451,0.633840,0.575462,0.580049,0.624176,0.679287,0.598479,0.604182,7280,455,1.318380,0.508168,0.507153,0.473155,0.467273,0.562500,0.581849,0.522032,0.513162,8448,96,1
3,0.000100,408.995018,0.883997,0.733788,0.729760,0.720790,0.724085,1.144626,0.621291,0.624072,0.620328,0.619211,0.650549,0.659693,0.651547,0.651158,7280,455,1.468382,0.453717,0.440223,0.434347,0.431760,0.427083,0.406926,0.400957,0.396350,8448,96,0
4,0.000099,408.399723,0.763813,0.804227,0.801688,0.795775,0.798285,1.074547,0.642995,0.652428,0.624203,0.629821,0.694505,0.702834,0.667438,0.670613,7280,455,1.279933,0.569129,0.538599,0.534769,0.530200,0.583333,0.502743,0.536683,0.516113,8448,96,1
5,0.000098,406.403637,0.693821,0.844388,0.842952,0.838377,0.840399,0.880175,0.722665,0.749689,0.712714,0.719064,0.804396,0.839522,0.795276,0.804095,7280,455,1.268164,0.543087,0.535981,0.517405,0.519111,0.583333,0.593248,0.558806,0.563170,8448,96,0
6,0.000097,406.041140,0.647905,0.868901,0.867714,0.864021,0.865712,0.770139,0.798901,0.795637,0.796285,0.795832,0.898901,0.902616,0.899135,0.900028,7280,455,1.186875,0.602036,0.578214,0.579762,0.578255,0.635417,0.615996,0.610572,0.611003,8448,96,1
7,0.000096,406.864881,0.610287,0.890037,0.889120,0.886235,0.887575,0.798007,0.784066,0.783278,0.782092,0.781481,0.863736,0.872148,0.861823,0.865163,7280,455,1.202962,0.606297,0.582025,0.577615,0.576812,0.645833,0.623510,0.608783,0.607024,8448,96,0
8,0.000094,408.637125,0.588767,0.900615,0.899801,0.897167,0.898399,0.782210,0.789973,0.806216,0.776859,0.785431,0.870330,0.886401,0.859894,0.867860,7280,455,1.192913,0.582031,0.574575,0.546699,0.545810,0.625000,0.652332,0.592869,0.597171,8448,96,0
9,0.000092,407.701833,0.573007,0.909766,0.908921,0.906760,0.907784,0.787300,0.793269,0.796233,0.783844,0.787761,0.872527,0.879336,0.863707,0.868808,7280,455,1.224065,0.578954,0.567664,0.554412,0.556965,0.593750,0.598259,0.567464,0.573806,8448,96,0
10,0.000090,406.414731,0.558201,0.917018,0.916233,0.914513,0.915329,0.670582,0.845467,0.855807,0.837717,0.843097,0.938462,0.946325,0.935500,0.939757,7280,455,1.261165,0.578125,0.569119,0.547076,0.545525,0.604167,0.598002,0.566006,0.555442,8448,96,0
