epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,338.912164,1.382834,0.406718,0.387633,0.376088,0.366606,1.344942,0.470330,0.460300,0.434614,0.419586,0.507692,0.558509,0.470088,0.456020,7280,455,1.371720,0.495502,0.447477,0.453372,0.429451,0.541667,0.465323,0.496013,0.468617,8448,96,1
2,0.000100,308.998549,1.110621,0.589451,0.575117,0.561853,0.562503,1.120424,0.601374,0.609489,0.573681,0.575076,0.659341,0.703880,0.627530,0.630924,7280,455,1.279305,0.515507,0.489147,0.477661,0.467616,0.593750,0.577179,0.547038,0.535399,8448,96,1
3,0.000100,308.945723,0.971495,0.681326,0.674410,0.663490,0.666728,1.129164,0.617857,0.623659,0.600171,0.605635,0.674725,0.695088,0.652874,0.659709,7280,455,1.376352,0.498698,0.475371,0.469950,0.466768,0.468750,0.428023,0.428742,0.412818,8448,96,0
4,0.000099,311.069619,0.861478,0.747414,0.743231,0.734444,0.737714,1.169983,0.602060,0.617911,0.580993,0.587358,0.648352,0.679696,0.626299,0.633667,7280,455,1.328843,0.548295,0.503290,0.511798,0.502225,0.572917,0.513778,0.533732,0.519009,8448,96,1
5,0.000098,308.702362,0.784510,0.793260,0.791005,0.784204,0.787021,1.027545,0.664286,0.670191,0.648033,0.651069,0.720879,0.740655,0.699821,0.706574,7280,455,1.292193,0.538352,0.524722,0.509194,0.509174,0.562500,0.572791,0.532046,0.529812,8448,96,1
6,0.000097,311.063514,0.729204,0.824498,0.822541,0.817183,0.819510,0.921493,0.720604,0.722230,0.705466,0.710222,0.802198,0.818012,0.782574,0.791532,7280,455,1.195296,0.578480,0.550476,0.543558,0.541136,0.614583,0.577053,0.573798,0.568373,8448,96,1
7,0.000096,309.887994,0.684642,0.848908,0.847030,0.842877,0.844739,0.885999,0.737912,0.735881,0.722619,0.726933,0.824176,0.829685,0.805765,0.812420,7280,455,1.129044,0.621922,0.595990,0.593081,0.592322,0.677083,0.650239,0.648804,0.645538,8448,96,1
8,0.000094,311.574984,0.650387,0.867853,0.866627,0.862772,0.864527,0.819283,0.767582,0.779263,0.761593,0.762264,0.850549,0.877585,0.840154,0.847649,7280,455,1.202450,0.566288,0.580129,0.547061,0.544276,0.604167,0.654560,0.587104,0.584649,8448,96,0
9,0.000092,308.570336,0.627121,0.880256,0.879065,0.875546,0.877169,0.767069,0.803159,0.818460,0.799265,0.801914,0.876923,0.899150,0.872955,0.877742,7280,455,1.192350,0.586174,0.562582,0.552896,0.548489,0.604167,0.585142,0.565414,0.557985,8448,96,0
10,0.000090,311.070223,0.604468,0.893114,0.892058,0.889138,0.890502,0.735373,0.822390,0.826341,0.814524,0.818644,0.912088,0.918284,0.905123,0.909985,7280,455,1.186218,0.593395,0.584412,0.571743,0.573653,0.645833,0.634851,0.621793,0.623349,8448,96,0
