epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,329.977672,1.324051,0.441531,0.417461,0.409516,0.401025,1.053431,0.626099,0.622387,0.594137,0.590174,0.668132,0.695179,0.631130,0.623659,7280,455,1.140151,0.584517,0.552593,0.546731,0.537072,0.666667,0.680980,0.624129,0.615414,8448,96,1
2,0.000100,309.618988,0.991728,0.667458,0.657103,0.645067,0.647351,0.809665,0.771978,0.770924,0.755525,0.759526,0.870330,0.872621,0.856166,0.861592,7280,455,1.110068,0.635180,0.609442,0.602353,0.603414,0.677083,0.649979,0.637788,0.638771,8448,96,1
3,0.000100,304.383657,0.813597,0.773099,0.768648,0.759789,0.763054,0.671171,0.852747,0.848339,0.852108,0.849117,0.938462,0.936658,0.938998,0.937308,7280,455,1.127212,0.659328,0.637786,0.638688,0.635138,0.708333,0.689149,0.685954,0.684717,8448,96,1
4,0.000099,305.405855,0.708927,0.834725,0.831581,0.826101,0.828442,0.645790,0.868132,0.874980,0.863361,0.866594,0.953846,0.959016,0.952866,0.954540,7280,455,1.178344,0.629735,0.612742,0.598225,0.598865,0.656250,0.622685,0.613602,0.610871,8448,96,0
5,0.000098,302.131699,0.646493,0.870059,0.867518,0.864232,0.865722,0.566423,0.911538,0.914213,0.908745,0.910971,0.980220,0.982229,0.978188,0.980042,7280,455,1.154194,0.656960,0.630468,0.631664,0.629341,0.718750,0.684546,0.686466,0.685134,8448,96,0
6,0.000097,307.384579,0.605093,0.892293,0.890461,0.887547,0.888899,0.540326,0.925962,0.922183,0.927857,0.924150,0.978022,0.974667,0.977718,0.975989,7280,455,1.141899,0.663116,0.641414,0.641616,0.641339,0.718750,0.697712,0.691741,0.693382,8448,96,1
7,0.000096,305.910673,0.574910,0.908337,0.906865,0.904073,0.905376,0.495065,0.947940,0.945875,0.949130,0.947302,0.997802,0.998131,0.997980,0.998046,7280,455,1.161528,0.659328,0.639137,0.638625,0.638629,0.739583,0.720202,0.719367,0.719182,8448,96,0
8,0.000094,306.795751,0.552209,0.920095,0.918679,0.916765,0.917673,0.469108,0.964148,0.964590,0.963214,0.963802,0.997802,0.998131,0.997980,0.998046,7280,455,1.192411,0.659091,0.636968,0.633113,0.634017,0.708333,0.683603,0.675074,0.676353,8448,96,0
9,0.000092,303.646953,0.534889,0.928864,0.927680,0.925935,0.926774,0.462894,0.965385,0.965658,0.963696,0.964488,1.000000,1.000000,1.000000,1.000000,7280,455,1.186761,0.672230,0.645790,0.645395,0.644706,0.687500,0.659634,0.658761,0.658297,8448,96,1
10,0.000090,303.213999,0.522958,0.935070,0.933980,0.932584,0.933260,0.451148,0.970330,0.969151,0.971630,0.970322,1.000000,1.000000,1.000000,1.000000,7280,455,1.175291,0.672230,0.652355,0.651532,0.651243,0.708333,0.678681,0.678378,0.677599,8448,96,1
11,0.000087,304.547734,0.507785,0.942916,0.941927,0.940605,0.941244,0.445186,0.972940,0.971853,0.973415,0.972540,1.000000,1.000000,1.000000,1.000000,7280,455,1.106245,0.699811,0.676307,0.677856,0.676259,0.750000,0.730260,0.731328,0.728545,8448,96,1
12,0.000084,304.050683,0.498099,0.947780,0.946958,0.945855,0.946392,0.441821,0.975412,0.974752,0.975074,0.974886,1.000000,1.000000,1.000000,1.000000,7280,455,1.132495,0.692116,0.675584,0.670909,0.672038,0.781250,0.771774,0.770449,0.767429,8448,96,0
13,0.000081,308.916960,0.488473,0.953158,0.952528,0.951539,0.952023,0.481093,0.955769,0.952804,0.958294,0.955189,0.997802,0.996667,0.998058,0.997344,7280,455,1.240777,0.662524,0.653761,0.652138,0.649574,0.697917,0.706156,0.696719,0.689127,8448,96,0
14,0.000078,307.227363,0.482588,0.955897,0.954999,0.954142,0.954562,0.437472,0.976923,0.978388,0.976666,0.977343,1.000000,1.000000,1.000000,1.000000,7280,455,1.170085,0.689631,0.662444,0.662232,0.661809,0.770833,0.742519,0.739064,0.739331,8448,96,0
