epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,441.440427,1.231857,0.506615,0.489154,0.480208,0.479334,1.049551,0.635989,0.632645,0.609034,0.611397,0.679121,0.687983,0.646051,0.647814,7280,455,1.192775,0.560014,0.545285,0.523042,0.519160,0.572917,0.576404,0.528959,0.517658,8448,96,1
2,0.000100,423.581959,0.894837,0.726381,0.719796,0.711668,0.714519,0.713991,0.823901,0.827787,0.818883,0.821073,0.920879,0.928432,0.916292,0.919649,7280,455,1.145184,0.640152,0.610975,0.607727,0.604949,0.729167,0.694492,0.688414,0.683672,8448,96,1
3,0.000100,422.908330,0.711075,0.834989,0.832389,0.827131,0.829402,0.641416,0.877335,0.895544,0.877671,0.879386,0.934066,0.951742,0.936812,0.937988,7280,455,1.270217,0.606416,0.597635,0.582600,0.579135,0.625000,0.605648,0.592174,0.587335,8448,96,0
4,0.000099,422.879213,0.613021,0.889033,0.887530,0.884552,0.885930,0.520798,0.932830,0.933288,0.930887,0.931884,0.993407,0.994495,0.992570,0.993459,7280,455,1.177992,0.669508,0.639747,0.643212,0.640494,0.739583,0.709463,0.712657,0.709188,8448,96,1
5,0.000098,424.063154,0.563534,0.914059,0.912908,0.911167,0.911996,0.497361,0.944918,0.945996,0.943402,0.944327,0.997802,0.998000,0.998113,0.998047,7280,455,1.150968,0.672585,0.647792,0.640815,0.639744,0.729167,0.707475,0.695557,0.695477,8448,96,0
6,0.000097,423.077031,0.532079,0.930593,0.929742,0.928162,0.928922,0.484539,0.955082,0.955384,0.956015,0.955322,1.000000,1.000000,1.000000,1.000000,7280,455,1.201122,0.661695,0.638964,0.639711,0.638291,0.729167,0.703349,0.704568,0.702081,8448,96,0
7,0.000096,422.774903,0.511246,0.941414,0.940513,0.939310,0.939895,0.455051,0.969918,0.969251,0.970467,0.969735,1.000000,1.000000,1.000000,1.000000,7280,455,1.195596,0.678504,0.650836,0.652815,0.651188,0.760417,0.740630,0.738984,0.737413,8448,96,1
8,0.000094,423.939485,0.492727,0.950615,0.949916,0.948904,0.949398,0.432418,0.980220,0.979667,0.979850,0.979753,1.000000,1.000000,1.000000,1.000000,7280,455,1.190275,0.693655,0.673760,0.673531,0.673524,0.750000,0.725473,0.719879,0.721513,8448,96,1
9,0.000092,422.992117,0.482730,0.956117,0.955348,0.954367,0.954845,0.437607,0.976648,0.976550,0.976208,0.976325,1.000000,1.000000,1.000000,1.000000,7280,455,1.272342,0.662879,0.638099,0.641026,0.638402,0.677083,0.645662,0.651105,0.646256,8448,96,0
10,0.000090,423.665876,0.473292,0.960110,0.959591,0.958757,0.959165,0.449581,0.973901,0.974500,0.975018,0.974651,0.997802,0.998000,0.998113,0.998047,7280,455,1.217841,0.678504,0.654707,0.656323,0.653693,0.708333,0.689030,0.686386,0.683737,8448,96,0
11,0.000087,423.567649,0.464958,0.964813,0.964343,0.963656,0.963994,0.422756,0.985302,0.984662,0.984882,0.984753,1.000000,1.000000,1.000000,1.000000,7280,455,1.253688,0.674361,0.649631,0.651084,0.649425,0.708333,0.685235,0.684085,0.683701,8448,96,0
12,0.000084,423.175150,0.457556,0.968066,0.967461,0.967035,0.967245,0.422556,0.984890,0.984873,0.984076,0.984467,1.000000,1.000000,1.000000,1.000000,7280,455,1.206622,0.694957,0.669858,0.668272,0.668422,0.739583,0.705542,0.704215,0.703965,8448,96,0
13,0.000081,422.885344,0.452223,0.971004,0.970515,0.970298,0.970406,0.421060,0.984478,0.982714,0.985272,0.983919,1.000000,1.000000,1.000000,1.000000,7280,455,1.277011,0.662524,0.642390,0.640366,0.641035,0.697917,0.678454,0.674994,0.675372,8448,96,0
14,0.000078,422.874910,0.446804,0.973692,0.973168,0.972722,0.972943,0.411134,0.989835,0.989573,0.990189,0.989874,1.000000,1.000000,1.000000,1.000000,7280,455,1.268948,0.673769,0.650285,0.648700,0.649082,0.739583,0.705476,0.706083,0.704700,8448,96,0
15,0.000074,423.454847,0.441085,0.976264,0.975818,0.975739,0.975778,0.406636,0.992582,0.992409,0.992739,0.992563,1.000000,1.000000,1.000000,1.000000,7280,455,1.230145,0.686316,0.659736,0.660139,0.659754,0.729167,0.688298,0.689417,0.687312,8448,96,0
16,0.000070,423.536865,0.436553,0.978344,0.977965,0.977670,0.977816,0.405092,0.992995,0.992643,0.993305,0.992961,1.000000,1.000000,1.000000,1.000000,7280,455,1.243731,0.687737,0.660086,0.660320,0.659364,0.739583,0.707952,0.706083,0.705661,8448,96,0
17,0.000067,422.795354,0.432750,0.980344,0.979964,0.979885,0.979924,0.401393,0.994918,0.995100,0.994673,0.994884,1.000000,1.000000,1.000000,1.000000,7280,455,1.220136,0.691170,0.668226,0.668457,0.668027,0.750000,0.734185,0.729460,0.728388,8448,96,0
18,0.000063,423.339530,0.428711,0.982293,0.982157,0.981803,0.981978,0.399936,0.995742,0.995540,0.995827,0.995682,1.000000,1.000000,1.000000,1.000000,7280,455,1.261990,0.683239,0.660631,0.659826,0.659696,0.760417,0.733709,0.731841,0.731418,8448,96,0
