epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,284.508276,1.368006,0.413266,0.387548,0.381581,0.371205,1.089637,0.598901,0.575279,0.562592,0.553692,0.617582,0.601124,0.574480,0.557722,7280,455,1.148272,0.579861,0.535532,0.542735,0.525093,0.614583,0.571156,0.569663,0.544058,6048,96,1
2,0.000100,259.851737,1.041924,0.634141,0.621449,0.607431,0.608561,0.910337,0.714698,0.717906,0.707407,0.704051,0.780220,0.791243,0.775092,0.772875,7280,455,1.122233,0.610615,0.605078,0.592043,0.590989,0.666667,0.666826,0.642550,0.645271,6048,96,1
3,0.000100,260.556303,0.861714,0.748506,0.743478,0.732898,0.736413,0.684335,0.849038,0.845500,0.844282,0.844366,0.953846,0.955904,0.948238,0.951226,7280,455,1.070856,0.639716,0.617536,0.614481,0.615593,0.687500,0.666599,0.655890,0.659541,6048,96,1
4,0.000099,260.403188,0.744418,0.816777,0.813594,0.806946,0.809685,0.650798,0.865934,0.863353,0.861952,0.861950,0.956044,0.957291,0.956160,0.956447,7280,455,1.154895,0.638062,0.612223,0.613438,0.611120,0.708333,0.673298,0.678378,0.672151,6048,96,0
5,0.000098,259.620082,0.675390,0.854478,0.851754,0.847035,0.849114,0.703610,0.838736,0.844377,0.834532,0.835163,0.916484,0.931716,0.914075,0.916527,7280,455,1.292711,0.581845,0.573036,0.558233,0.559024,0.656250,0.675564,0.633721,0.630067,6048,96,0
6,0.000097,260.055631,0.626621,0.881080,0.879056,0.875463,0.877099,0.543238,0.922527,0.919759,0.920090,0.919785,0.989011,0.989639,0.990047,0.989814,7280,455,1.215632,0.636243,0.616668,0.613450,0.614343,0.687500,0.670206,0.664035,0.664851,6048,96,0
7,0.000096,259.672227,0.594554,0.897946,0.896380,0.893242,0.894703,0.509230,0.940110,0.938607,0.938137,0.938214,0.997802,0.998131,0.996610,0.997352,7280,455,1.104993,0.691138,0.661951,0.664407,0.662426,0.729167,0.710933,0.708840,0.707937,6048,96,1
8,0.000094,260.762786,0.570017,0.911829,0.910438,0.907961,0.909129,0.505013,0.945879,0.949352,0.943410,0.945369,0.991209,0.992727,0.990550,0.991510,7280,455,1.139056,0.678902,0.653230,0.649065,0.648146,0.718750,0.694514,0.683732,0.682358,6048,96,0
9,0.000092,259.824062,0.547591,0.923733,0.922532,0.920385,0.921407,0.540354,0.924313,0.927028,0.924066,0.925026,0.993407,0.992760,0.994151,0.993437,7280,455,1.172667,0.676257,0.652140,0.654268,0.650551,0.729167,0.717024,0.719150,0.711816,6048,96,0
10,0.000090,260.775627,0.534235,0.930108,0.928870,0.927137,0.927970,0.476808,0.956593,0.954614,0.956449,0.955207,0.997802,0.998000,0.998113,0.998047,7280,455,1.167169,0.656415,0.639078,0.632962,0.634340,0.708333,0.689551,0.683083,0.685221,6048,96,0
11,0.000087,262.768702,0.518896,0.938113,0.937075,0.935418,0.936219,0.484179,0.952747,0.952600,0.953202,0.952771,0.991209,0.991974,0.992131,0.992032,7280,455,1.137861,0.683201,0.659924,0.661616,0.658283,0.739583,0.715990,0.713659,0.711808,6048,96,0
12,0.000084,260.346180,0.507595,0.943334,0.942309,0.940893,0.941580,0.432732,0.979396,0.977484,0.979522,0.978456,1.000000,1.000000,1.000000,1.000000,7280,455,1.125976,0.693287,0.665232,0.666038,0.665216,0.729167,0.696883,0.695557,0.695455,6048,96,1
13,0.000081,260.137422,0.498891,0.947422,0.946700,0.945164,0.945907,0.444316,0.973901,0.972825,0.971889,0.972296,1.000000,1.000000,1.000000,1.000000,7280,455,1.167392,0.672454,0.657996,0.655631,0.655263,0.750000,0.736450,0.736033,0.734648,6048,96,0
14,0.000078,261.343669,0.488657,0.953140,0.952358,0.951430,0.951885,0.424953,0.984341,0.983437,0.984676,0.984041,1.000000,1.000000,1.000000,1.000000,7280,455,1.204486,0.666667,0.645434,0.643763,0.643489,0.750000,0.737747,0.735031,0.733478,6048,96,0
15,0.000074,262.365244,0.482490,0.956472,0.955881,0.954764,0.955310,0.419963,0.985989,0.985576,0.984729,0.985136,1.000000,1.000000,1.000000,1.000000,7280,455,1.141083,0.693452,0.670769,0.671272,0.670857,0.760417,0.739234,0.739417,0.737949,6048,96,1
16,0.000070,260.064263,0.475669,0.959813,0.959043,0.958158,0.958593,0.417808,0.987363,0.987716,0.986287,0.986976,1.000000,1.000000,1.000000,1.000000,7280,455,1.163332,0.688657,0.660725,0.662118,0.661175,0.781250,0.757266,0.757599,0.757193,6048,96,0
17,0.000067,259.963219,0.467365,0.963701,0.962902,0.962325,0.962607,0.420003,0.986676,0.986331,0.985813,0.986057,1.000000,1.000000,1.000000,1.000000,7280,455,1.169670,0.689484,0.666247,0.667827,0.665121,0.760417,0.731732,0.732274,0.731041,6048,96,0
