epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,283.925697,1.349860,0.425727,0.401056,0.393885,0.384427,1.053587,0.626786,0.602243,0.586562,0.578583,0.652747,0.621667,0.604781,0.587328,7280,455,1.088727,0.629299,0.588001,0.587725,0.579571,0.687500,0.635641,0.641308,0.631944,6048,96,1
2,0.000100,259.434276,1.021491,0.648043,0.636206,0.622517,0.624113,0.857983,0.743819,0.734587,0.731075,0.730258,0.819780,0.813413,0.803664,0.804146,7280,455,1.069512,0.631944,0.609669,0.607582,0.606879,0.687500,0.669493,0.657462,0.659096,6048,96,1
3,0.000100,260.249589,0.840454,0.759664,0.754751,0.744943,0.748344,0.675749,0.852060,0.846935,0.846709,0.846576,0.953846,0.959107,0.948040,0.952530,7280,455,1.085455,0.647817,0.619195,0.619003,0.618464,0.656250,0.613192,0.615470,0.612683,6048,96,1
4,0.000099,260.423534,0.728509,0.824226,0.820897,0.814675,0.817274,0.617777,0.886401,0.885212,0.880293,0.881566,0.969231,0.971267,0.965238,0.967725,7280,455,1.126092,0.645337,0.616048,0.616991,0.613585,0.708333,0.678892,0.670369,0.670030,6048,96,0
5,0.000098,260.329406,0.661136,0.861737,0.859020,0.854588,0.856569,0.576644,0.907555,0.907302,0.903026,0.904465,0.982418,0.984410,0.980861,0.982494,7280,455,1.156095,0.641038,0.620772,0.612575,0.614734,0.708333,0.686865,0.674072,0.677874,6048,96,0
6,0.000097,259.442381,0.613887,0.888628,0.886396,0.883418,0.884798,0.513236,0.939560,0.938115,0.936778,0.937407,0.986813,0.987396,0.986335,0.986745,7280,455,1.154589,0.668651,0.641725,0.642601,0.641903,0.708333,0.665477,0.669367,0.666695,6048,96,1
7,0.000096,260.574662,0.582828,0.903923,0.902335,0.899266,0.900695,0.534332,0.927060,0.925185,0.926772,0.925827,0.984615,0.985474,0.984913,0.984991,7280,455,1.130952,0.674603,0.650296,0.648304,0.648816,0.708333,0.678450,0.675074,0.674128,6048,96,1
8,0.000094,261.361674,0.559158,0.918045,0.916622,0.914116,0.915292,0.493517,0.948626,0.949453,0.944698,0.946638,0.991209,0.992727,0.989180,0.990807,7280,455,1.135923,0.688823,0.658963,0.658448,0.656639,0.729167,0.707182,0.703702,0.702067,6048,96,1
9,0.000092,261.339157,0.540043,0.926846,0.925564,0.923222,0.924337,0.499032,0.946429,0.947679,0.945667,0.946620,0.993407,0.994221,0.994073,0.994137,7280,455,1.168832,0.684524,0.654022,0.656515,0.654555,0.750000,0.728947,0.730189,0.726946,6048,96,0
10,0.000090,259.454126,0.525841,0.934374,0.933301,0.931698,0.932471,0.460837,0.965659,0.963515,0.964554,0.964018,0.995604,0.994741,0.994668,0.994696,7280,455,1.163232,0.692460,0.666063,0.664209,0.664988,0.718750,0.702319,0.691171,0.693991,6048,96,1
11,0.000087,259.399292,0.512191,0.942101,0.941161,0.939637,0.940373,0.460730,0.966071,0.966045,0.966109,0.966037,0.995604,0.996296,0.995960,0.996090,7280,455,1.153703,0.678902,0.655764,0.657239,0.654478,0.687500,0.672575,0.672910,0.668363,6048,96,0
12,0.000084,260.438722,0.501892,0.946169,0.945275,0.943974,0.944608,0.453447,0.969780,0.970633,0.968857,0.969617,0.995604,0.996296,0.994590,0.995406,7280,455,1.160195,0.683366,0.661480,0.659582,0.660073,0.708333,0.669884,0.668934,0.667297,6048,96,0
13,0.000081,259.202197,0.493689,0.950226,0.949402,0.948304,0.948838,0.446516,0.971291,0.971490,0.969947,0.970502,1.000000,1.000000,1.000000,1.000000,7280,455,1.182359,0.671131,0.653715,0.649288,0.649511,0.708333,0.692113,0.683083,0.685616,6048,96,0
14,0.000078,259.450039,0.485075,0.954622,0.953908,0.953028,0.953458,0.429546,0.982280,0.981977,0.981568,0.981755,1.000000,1.000000,1.000000,1.000000,7280,455,1.232344,0.662368,0.634861,0.636722,0.635396,0.697917,0.659330,0.660276,0.658905,6048,96,0
15,0.000074,260.066087,0.477914,0.958590,0.958030,0.956881,0.957443,0.447446,0.971703,0.971151,0.970919,0.970941,1.000000,1.000000,1.000000,1.000000,7280,455,1.209140,0.663525,0.653149,0.640861,0.643271,0.697917,0.678905,0.672556,0.673730,6048,96,0
16,0.000070,260.403375,0.472108,0.960907,0.960212,0.959306,0.959751,0.416085,0.988874,0.988383,0.988281,0.988322,1.000000,1.000000,1.000000,1.000000,7280,455,1.216018,0.677083,0.650849,0.648568,0.649365,0.718750,0.691460,0.684598,0.686570,6048,96,0
17,0.000067,260.841528,0.464784,0.964974,0.964406,0.963571,0.963982,0.417527,0.988874,0.988834,0.988111,0.988461,1.000000,1.000000,1.000000,1.000000,7280,455,1.142145,0.692626,0.665450,0.664651,0.663767,0.781250,0.756427,0.747152,0.748407,6048,96,0
18,0.000063,259.228901,0.457916,0.968594,0.967966,0.967485,0.967722,0.414937,0.989973,0.990029,0.989146,0.989571,1.000000,1.000000,1.000000,1.000000,7280,455,1.218620,0.674769,0.652894,0.648982,0.649924,0.729167,0.703382,0.701697,0.702313,6048,96,0
19,0.000059,260.037365,0.452969,0.970782,0.970371,0.969393,0.969872,0.412574,0.989835,0.989034,0.989980,0.989480,1.000000,1.000000,1.000000,1.000000,7280,455,1.210607,0.678737,0.659531,0.658865,0.658844,0.760417,0.745125,0.743689,0.743665,6048,96,0
20,0.000055,259.888387,0.449087,0.972254,0.971670,0.971298,0.971482,0.411212,0.989835,0.989348,0.988988,0.989161,1.000000,1.000000,1.000000,1.000000,7280,455,1.201770,0.689153,0.663035,0.661645,0.662239,0.739583,0.698767,0.696639,0.695597,6048,96,0
