2026-09-08 09:42:46,261 | INFO | src.trainer.history | File logging initialized: /app/logs/exp_new_aug_20260909/experiment.log
2026-09-08 09:42:46,261 | INFO | __main__ | Experiment started at 2026-09-08 09:42:46
2026-09-08 09:42:46,286 | INFO | __main__ | Starting mode=simulation client_id=0 with config=configs/texture.yaml device=cuda
simulation-0 | WARNING flwr 2026-09-08 09:42:46,445 | logger.py:226 | DEPRECATED FEATURE: flwr.simulation.start_simulation() is deprecated.
	Instead, use the `flwr run` CLI command to start a local simulation in your Flower app, as shown for example below:

		$ flwr new  # Create a new Flower app from a template

		$ flwr run  # Run the Flower app in Simulation Mode

	Using `start_simulation()` is deprecated.

            This is a deprecated feature. It will be removed
            entirely in future versions of Flower.
        
2026-09-08 09:42:46,445 | WARNING | flwr | DEPRECATED FEATURE: flwr.simulation.start_simulation() is deprecated.
	Instead, use the `flwr run` CLI command to start a local simulation in your Flower app, as shown for example below:

		$ flwr new  # Create a new Flower app from a template

		$ flwr run  # Run the Flower app in Simulation Mode

	Using `start_simulation()` is deprecated.

            This is a deprecated feature. It will be removed
            entirely in future versions of Flower.
        
simulation-0 | INFO flwr 2026-09-08 09:42:46,446 | legacy_app.py:241 | Starting Flower simulation, config: num_rounds=100, no round_timeout
2026-09-08 09:42:46,446 | INFO | flwr | Starting Flower simulation, config: num_rounds=100, no round_timeout
simulation-0 | INFO flwr 2026-09-08 09:42:49,829 | legacy_app.py:264 | Flower VCE: Ray initialized with resources: {'memory': 122965953536.0, 'accelerator_type:RTX': 1.0, 'object_store_memory': 10000000000.0, 'node:172.17.0.2': 1.0, 'CPU': 20.0, 'GPU': 1.0, 'node:__internal_head__': 1.0}
2026-09-08 09:42:49,829 | INFO | flwr | Flower VCE: Ray initialized with resources: {'memory': 122965953536.0, 'accelerator_type:RTX': 1.0, 'object_store_memory': 10000000000.0, 'node:172.17.0.2': 1.0, 'CPU': 20.0, 'GPU': 1.0, 'node:__internal_head__': 1.0}
simulation-0 | INFO flwr 2026-09-08 09:42:49,829 | legacy_app.py:270 | Optimize your simulation with Flower VCE: https://flower.ai/docs/framework/how-to-run-simulations.html
2026-09-08 09:42:49,829 | INFO | flwr | Optimize your simulation with Flower VCE: https://flower.ai/docs/framework/how-to-run-simulations.html
simulation-0 | INFO flwr 2026-09-08 09:42:49,829 | legacy_app.py:293 | Flower VCE: Resources for each Virtual Client: {'num_cpus': 2, 'num_gpus': 0.5}
2026-09-08 09:42:49,829 | INFO | flwr | Flower VCE: Resources for each Virtual Client: {'num_cpus': 2, 'num_gpus': 0.5}
simulation-0 | INFO flwr 2026-09-08 09:42:49,853 | legacy_app.py:339 | Flower VCE: Creating VirtualClientEngineActorPool with 2 actors
2026-09-08 09:42:49,853 | INFO | flwr | Flower VCE: Creating VirtualClientEngineActorPool with 2 actors
simulation-0 | INFO flwr 2026-09-08 09:42:49,853 | server.py:91 | [INIT]
2026-09-08 09:42:49,853 | INFO | flwr | [INIT]
simulation-0 | INFO flwr 2026-09-08 09:42:49,854 | server.py:276 | Requesting initial parameters from one random client
2026-09-08 09:42:49,854 | INFO | flwr | Requesting initial parameters from one random client
simulation-0 | INFO flwr 2026-09-08 09:42:55,395 | server.py:283 | Received initial parameters from one random client
2026-09-08 09:42:55,395 | INFO | flwr | Received initial parameters from one random client
simulation-0 | INFO flwr 2026-09-08 09:42:55,395 | server.py:93 | Starting evaluation of initial global parameters
2026-09-08 09:42:55,395 | INFO | flwr | Starting evaluation of initial global parameters
simulation-0 | INFO flwr 2026-09-08 09:42:55,395 | server.py:105 | Evaluation returned no results (`None`)
2026-09-08 09:42:55,395 | INFO | flwr | Evaluation returned no results (`None`)
simulation-0 | INFO flwr 2026-09-08 09:42:55,395 | server.py:111 | 
2026-09-08 09:42:55,395 | INFO | flwr | 
simulation-0 | INFO flwr 2026-09-08 09:42:55,395 | server.py:112 | [ROUND 1]
2026-09-08 09:42:55,395 | INFO | flwr | [ROUND 1]
simulation-0 | INFO flwr 2026-09-08 09:42:55,396 | server.py:221 | configure_fit: strategy sampled 10 clients (out of 10)
2026-09-08 09:42:55,396 | INFO | flwr | configure_fit: strategy sampled 10 clients (out of 10)
simulation-0 | INFO flwr 2026-09-08 09:47:44,632 | server.py:235 | aggregate_fit: received 10 results and 0 failures
2026-09-08 09:47:44,632 | INFO | flwr | aggregate_fit: received 10 results and 0 failures
2026-09-08 09:47:45,094 | INFO | timm.models._builder | Loading pretrained weights from Hugging Face hub (timm/fastvit_t8.apple_in1k)
2026-09-08 09:47:45,342 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/timm/fastvit_t8.apple_in1k/resolve/main/model.safetensors "HTTP/1.1 302 Found"
2026-09-08 09:47:45,345 | INFO | timm.models._hub | [timm/fastvit_t8.apple_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2026-09-08 09:47:45,368 | INFO | timm.models._builder | Converted input conv stem.0.conv_kxk.0.conv pretrained weights from 3 to 1 channel(s)
2026-09-08 09:47:45,368 | INFO | timm.models._builder | Converted input conv stem.0.conv_scale.conv pretrained weights from 3 to 1 channel(s)
2026-09-08 09:47:45,382 | INFO | timm.models._builder | Missing keys (head.fc.weight, head.fc.bias) discovered while loading pretrained weights. This is expected if model is being adapted.
2026-09-08 09:47:45,466 | INFO | src.trainer.strategy | Round 1: new best val score 0.3841, saved logs/exp_new_aug_20260909/model_best.pt
2026-09-08 09:47:45,467 | INFO | src.trainer.history | Round 1 fit metrics saved at 2026-09-08 09:47:45: {'train_image_recall': 0.4841279950940254, 'val_f1': 0.38409458313649414, 'train_image_precision': 0.4984094884256609, 'val_loss': 1.3873279203383089, 'val_accuracy': 0.41604166666666664, 'val_image_f1': 0.3958795112247798, 'val_image_accuracy': 0.4375, 'train_accuracy': 0.4825860805860806, 'train_recall': 0.4674852483518455, 'train_loss': 1.5803712394560652, 'val_recall': 0.38977515759094705, 'train_f1': 0.4648313593923768, 'train_image_f1': 0.4803025186210627, 'lr': 0.00010000000000000002, 'train_precision': 0.4801744216583673, 'val_image_precision': 0.3988888888888889, 'train_image_accuracy': 0.4989010989010989, 'val_image_recall': 0.4046365914786968, 'val_precision': 0.3907470503161436}
simulation-0 | INFO flwr 2026-09-08 09:47:45,468 | server.py:175 | configure_evaluate: strategy sampled 10 clients (out of 10)
2026-09-08 09:47:45,468 | INFO | flwr | configure_evaluate: strategy sampled 10 clients (out of 10)
simulation-0 | INFO flwr 2026-09-08 09:48:13,323 | server.py:189 | aggregate_evaluate: received 10 results and 0 failures
2026-09-08 09:48:13,323 | INFO | flwr | aggregate_evaluate: received 10 results and 0 failures
2026-09-08 09:48:13,327 | INFO | src.trainer.history | Round 1 evaluation metrics saved at 2026-09-08 09:48:13: loss=1.5189379984043947 metrics={'test_image_precision': 0.2620049710024855, 'test_image_f1': 0.24542597187758478, 'test_recall': 0.2813734079929732, 'test_accuracy': 0.31093851132686084, 'test_f1': 0.22937151315721488, 'test_precision': 0.27391016480522856, 'test_image_recall': 0.2991106719367589, 'test_image_accuracy': 0.3300970873786408}
simulation-0 | INFO flwr 2026-09-08 09:48:13,327 | server.py:111 | 
2026-09-08 09:48:13,327 | INFO | flwr | 
simulation-0 | INFO flwr 2026-09-08 09:48:13,328 | server.py:112 | [ROUND 2]
2026-09-08 09:48:13,328 | INFO | flwr | [ROUND 2]
simulation-0 | INFO flwr 2026-09-08 09:48:13,328 | server.py:221 | configure_fit: strategy sampled 10 clients (out of 10)
2026-09-08 09:48:13,328 | INFO | flwr | configure_fit: strategy sampled 10 clients (out of 10)
simulation-0 | INFO flwr 2026-09-08 09:53:12,213 | server.py:235 | aggregate_fit: received 10 results and 0 failures
2026-09-08 09:53:12,213 | INFO | flwr | aggregate_fit: received 10 results and 0 failures
2026-09-08 09:53:12,676 | INFO | timm.models._builder | Loading pretrained weights from Hugging Face hub (timm/fastvit_t8.apple_in1k)
2026-09-08 09:53:12,872 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/timm/fastvit_t8.apple_in1k/resolve/main/model.safetensors "HTTP/1.1 302 Found"
2026-09-08 09:53:12,873 | WARNING | huggingface_hub.utils._http | Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
2026-09-08 09:53:12,875 | INFO | timm.models._hub | [timm/fastvit_t8.apple_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2026-09-08 09:53:12,897 | INFO | timm.models._builder | Converted input conv stem.0.conv_kxk.0.conv pretrained weights from 3 to 1 channel(s)
2026-09-08 09:53:12,897 | INFO | timm.models._builder | Converted input conv stem.0.conv_scale.conv pretrained weights from 3 to 1 channel(s)
2026-09-08 09:53:12,912 | INFO | timm.models._builder | Missing keys (head.fc.weight, head.fc.bias) discovered while loading pretrained weights. This is expected if model is being adapted.
2026-09-08 09:53:13,237 | INFO | src.trainer.strategy | Round 2: new best val score 0.4115, saved logs/exp_new_aug_20260909/model_best.pt
2026-09-08 09:53:13,239 | INFO | src.trainer.history | Round 2 fit metrics saved at 2026-09-08 09:53:13: {'train_image_recall': 0.5827780366686729, 'val_f1': 0.4114905331058888, 'train_image_precision': 0.6028826108263731, 'val_loss': 1.2747860706460927, 'val_accuracy': 0.4548263888888889, 'val_image_f1': 0.4544987468671679, 'val_image_accuracy': 0.4895833333333333, 'train_accuracy': 0.5681098901098901, 'train_recall': 0.5536140103337035, 'train_loss': 1.4226468306321365, 'val_recall': 0.42298431685273796, 'train_f1': 0.5513325758345846, 'train_image_f1': 0.5822465949093042, 'lr': 9.997734440724332e-05, 'train_precision': 0.5676512109793107, 'val_image_precision': 0.4779268873541319, 'train_image_accuracy': 0.6, 'val_image_recall': 0.4625085440874915, 'val_precision': 0.42128764925608175}
simulation-0 | INFO flwr 2026-09-08 09:53:13,240 | server.py:175 | configure_evaluate: strategy sampled 10 clients (out of 10)
2026-09-08 09:53:13,240 | INFO | flwr | configure_evaluate: strategy sampled 10 clients (out of 10)
simulation-0 | INFO flwr 2026-09-08 09:53:41,416 | server.py:189 | aggregate_evaluate: received 10 results and 0 failures
2026-09-08 09:53:41,416 | INFO | flwr | aggregate_evaluate: received 10 results and 0 failures
2026-09-08 09:53:41,418 | INFO | src.trainer.history | Round 2 evaluation metrics saved at 2026-09-08 09:53:41: loss=1.2599285432204461 metrics={'test_image_precision': 0.33095238095238094, 'test_image_f1': 0.329718908542438, 'test_recall': 0.4059315923207228, 'test_accuracy': 0.4481553398058252, 'test_f1': 0.3642122240570641, 'test_precision': 0.40482101098521933, 'test_image_recall': 0.3968247694334651, 'test_image_accuracy': 0.44660194174757284}
simulation-0 | INFO flwr 2026-09-08 09:53:41,418 | server.py:111 | 
2026-09-08 09:53:41,418 | INFO | flwr | 
simulation-0 | INFO flwr 2026-09-08 09:53:41,418 | server.py:112 | [ROUND 3]
2026-09-08 09:53:41,418 | INFO | flwr | [ROUND 3]
simulation-0 | INFO flwr 2026-09-08 09:53:41,418 | server.py:221 | configure_fit: strategy sampled 10 clients (out of 10)
2026-09-08 09:53:41,418 | INFO | flwr | configure_fit: strategy sampled 10 clients (out of 10)
simulation-0 | INFO flwr 2026-09-08 09:58:35,155 | server.py:235 | aggregate_fit: received 10 results and 0 failures
2026-09-08 09:58:35,155 | INFO | flwr | aggregate_fit: received 10 results and 0 failures
