round,lr,swa_test_accuracy,swa_test_f1,swa_test_image_accuracy,swa_test_image_f1,swa_test_image_precision,swa_test_image_recall,swa_test_loss,swa_test_precision,swa_test_recall,swa_val_accuracy,swa_val_f1,swa_val_image_accuracy,swa_val_image_f1,swa_val_image_precision,swa_val_image_recall,swa_val_loss,swa_val_precision,swa_val_recall,test_accuracy,test_f1,test_image_accuracy,test_image_f1,test_image_precision,test_image_recall,test_loss,test_precision,test_recall,train_accuracy,train_f1,train_image_accuracy,train_image_f1,train_image_precision,train_image_recall,train_loss,train_precision,train_recall,val_accuracy,val_f1,val_image_accuracy,val_image_f1,val_image_precision,val_image_recall,val_loss,val_precision,val_recall
1,0.00010000000000000003,0.2540915395284327,0.15651784065231844,0.2524271844660194,0.15163218390804598,0.20025062656641604,0.22460474308300396,1.5542541572025843,0.41503112755566773,0.22675682288725768,0.30089285714285713,0.18954535103610848,0.3229166666666667,0.20905797101449278,0.35522875816993466,0.2883116883116883,1.5509067262922014,0.31468407849330066,0.2690105132962276,0.2540915395284327,0.15651784065231844,0.2524271844660194,0.15163218390804598,0.20025062656641604,0.22460474308300396,1.5542541958918685,0.41503112755566773,0.22675682288725768,0.41529042386185244,0.39002603625090326,0.4153846153846154,0.3924926498378256,0.4383416583416583,0.3960648756434599,1.620585766976445,0.4336374518690316,0.39532683744559016,0.40342261904761906,0.3676512035374823,0.40625,0.37025516676015013,0.39534632034632033,0.38533834586466165,1.486776599050629,0.40863496450087233,0.37843814080656185
2,9.997734440724332e-05,0.31983356449375866,0.23645972728063763,0.3300970873786408,0.23370693233706935,0.2407282913165266,0.29687088274044793,1.5134841891829747,0.4995215538932232,0.2912405151784034,0.31845238095238093,0.2183763372963,0.3125,0.21403966238935018,0.2765107212475634,0.28008658008658005,1.513910370213645,0.42284795244036405,0.2854836767242782,0.38751733703190017,0.34609772516539217,0.4174757281553398,0.37198616985851024,0.5394409937888198,0.40626388104648975,1.4195478923443121,0.37566203392803243,0.37811642601704715,0.5155102040816326,0.49871912738635116,0.5340659340659341,0.5148603087610101,0.5404053586831412,0.5223235526830741,1.514553412403005,0.515873820941651,0.5068167824139924,0.41904761904761906,0.39139176750007154,0.3958333333333333,0.36093789714479374,0.3758804258804259,0.37941444520391887,1.3758053368265335,0.4042615867011931,0.40458825635517365
3,9.99094004412348e-05,0.38058252427184464,0.32450362301048635,0.3786407766990291,0.30473553611074833,0.3175692994456044,0.3511669489930359,1.4705826592015492,0.4509997392074048,0.35905685515312846,0.37544642857142857,0.290115393443389,0.3854166666666667,0.27916851441241686,0.24599734630694386,0.3432900432900433,1.4727855040913536,0.3973393542772719,0.3372645900465449,0.4162274618585298,0.3785017019817798,0.42718446601941745,0.38421945204553903,0.4122144522144523,0.4059269715791455,1.3525964223726779,0.39658822215528416,0.39687033153182216,0.5774882260596547,0.5671778182090798,0.5824175824175825,0.5734079472113187,0.5815068056548132,0.5713161997425894,1.4491571902929332,0.5733748809752846,0.5662210961375536,0.4055059523809524,0.369247238204425,0.375,0.3400301319754207,0.34096703296703296,0.345352016404648,1.3138228394631293,0.37052808447145896,0.37557595286918594
4,9.97962365157888e-05,0.408876560332871,0.35533579225168915,0.4077669902912621,0.34967602290182936,0.5180681818181818,0.38490589121023905,1.4337099770732462,0.4797143067779432,0.38841203516979916,0.42276785714285714,0.3353636217762711,0.4375,0.34745117029862793,0.46751738475876403,0.39161540214171786,1.4350224855400266,0.4233244935021541,0.37966735019366593,0.4324549237170596,0.3871552021496182,0.44660194174757284,0.3977113997113997,0.44292803970223327,0.42450404667795966,1.2953499872542287,0.4321369667248239,0.4103262348417628,0.627723704866562,0.610131266522314,0.6483516483516484,0.6318802079843879,0.6473342311661446,0.6319749550735699,1.401307686411979,0.6231833974307946,0.6125652520309921,0.4348214285714286,0.37686702028553254,0.4479166666666667,0.3675350275572251,0.3719040940359314,0.4021417179311916,1.297721340104753,0.38295137071181573,0.3970056635094229
5,9.96379665773858e-05,0.4302357836338419,0.38497903336782474,0.44660194174757284,0.37065543985914945,0.5283450938623353,0.41485601355166574,1.4046906141566833,0.455314151505317,0.40967220564114976,0.45163690476190477,0.3687483657869121,0.46875,0.3802597402597403,0.4809330628803245,0.42032353611300977,1.4036531979129427,0.44516984116017105,0.4063460599550825,0.43398058252427185,0.4024910322402673,0.44660194174757284,0.40008991008991013,0.4711363636363636,0.42410878976096367,1.2714500133935027,0.4399018238148025,0.41523779946761313,0.664458398744113,0.6583591409444554,0.7032967032967034,0.6993576715786105,0.6992582110392283,0.7030565763007293,1.360976666782864,0.6585148899856087,0.6618840534557078,0.45401785714285714,0.43242102821972017,0.4583333333333333,0.43210977316134047,0.43072829131652657,0.43639781271360223,1.2506791202318763,0.4313192143285073,0.43459265045731216
6,9.943474999043775e-05,0.4436893203883495,0.40458293374883236,0.46601941747572817,0.4169603847171679,0.46836124794745493,0.4408083945040467,1.3811212985095633,0.4482391209753023,0.4249462504369337,0.4577380952380952,0.3822769874086055,0.46875,0.3833485162180814,0.43904853128991056,0.42032353611300977,1.3763278895900364,0.4332246365316121,0.4136586596361032,0.40208044382801666,0.38263776794230836,0.3883495145631068,0.3611667308432807,0.4448511166253102,0.37785431959344995,1.2760398221412743,0.4320267729642529,0.3930906536527655,0.6750706436420723,0.666358507558025,0.7252747252747253,0.7169525569816784,0.7306355350600875,0.7259886480341118,1.31575854551474,0.6747399567553171,0.6770305308305454,0.4105654761904762,0.37926591767966256,0.4166666666666667,0.3910031492844879,0.3975382901698691,0.39346092503987234,1.2802091211589783,0.3813102302810272,0.38625589948898226
7,9.918679137682179e-05,0.45145631067961167,0.41488052910108186,0.4563106796116505,0.4148446319826512,0.4641414141414142,0.43414172783738003,1.3593540000188036,0.4526639740455499,0.43332962275819414,0.46056547619047616,0.3895890079296981,0.46875,0.39591836734693875,0.42386072708653355,0.42319434951013896,1.352324678784325,0.42869847958347196,0.4171067278586075,0.42357836338418864,0.4009463878533982,0.4174757281553398,0.3952117599176423,0.4479529282977558,0.3994447581404103,1.246262192048246,0.43142534388092973,0.4056616385684708,0.6960753532182103,0.6886483444391608,0.7274725274725274,0.7186643179717184,0.7226095083601144,0.721816289609562,1.2906497391052483,0.6898018423515564,0.6917040601937259,0.4357142857142857,0.3953586176142584,0.4583333333333333,0.40727347186974516,0.42174603174603176,0.4259512417407154,1.2450350782528152,0.3951730658037573,0.4067932819060638
8,9.889434040984333e-05,0.4578363384188627,0.4242455118087783,0.44660194174757284,0.4062034401657043,0.453604826546003,0.4254131375870506,1.34211306046183,0.4571624595029483,0.4392234814874566,0.46830357142857143,0.402072493905811,0.4791666666666667,0.40435978835978836,0.4176199598613392,0.43228525860104805,1.3328482670443398,0.4285435352012252,0.4249770530221658,0.4374479889042996,0.42077648517082933,0.4368932038834951,0.40989247311827953,0.42898043572905387,0.4114304536043667,1.229343274380397,0.44060282137759826,0.4224784221989191,0.7248665620094191,0.7189625018976706,0.7736263736263737,0.767572609320182,0.7692158170910939,0.7730596174455018,1.2571033070862199,0.7195847645838654,0.7250678173626592,0.45401785714285714,0.42938771162955447,0.46875,0.4428019207683073,0.44663003663003664,0.44835953520164046,1.2927766260675335,0.43088956173178217,0.43409123457995635
9,9.855769156283603e-05,0.45866851595006936,0.42784050840565335,0.44660194174757284,0.40669406065632485,0.4531601731601732,0.4254131375870506,1.32684132341869,0.4570307634970824,0.4404342582882955,0.47544642857142855,0.41057483440578857,0.5104166666666666,0.4342253162074713,0.42561174968071525,0.462861699703805,1.3156999746958415,0.4290135255864884,0.43202779676463887,0.4599167822468793,0.44446704472234017,0.42718446601941745,0.40771917962587334,0.4223189882013411,0.4128439676265764,1.2060624800178115,0.45898082376077876,0.4506804737705359,0.7408163265306122,0.7368641142452771,0.7934065934065934,0.7910736547562509,0.7905569439678605,0.7986467556517481,1.232948240908199,0.7370429084572752,0.7447714855171209,0.4331845238095238,0.40696114832915065,0.40625,0.3667028756683929,0.3685194657573174,0.3875028480291638,1.29097203328367,0.40706038349204465,0.4177018845815838
10,9.817718381265236e-05,0.4564493758668516,0.4270654948500514,0.4368932038834951,0.39982537378763794,0.44613095238095235,0.41632222849614153,1.3137307800962261,0.4543516746727246,0.4381990400903445,0.4816964285714286,0.4177650561197028,0.5104166666666666,0.4399146325196745,0.45386235453701723,0.4614262930052403,1.3009088774522146,0.4337096610097209,0.4379922208117697,0.46282940360610264,0.4514616201944467,0.4368932038834951,0.4256553631553632,0.4416569541569541,0.4306578204404291,1.1999372851336052,0.46675093773227355,0.45487238848108413,0.7609105180533752,0.7580918282805965,0.8351648351648352,0.8338761490662694,0.8323272136534315,0.8405788725146278,1.2023225679128098,0.75634411149585,0.7657830237110682,0.4864583333333333,0.45614442469294925,0.53125,0.4933521493703864,0.5036623376623377,0.5027682843472318,1.2564026836910611,0.4598678992024629,0.46171695472447355
