round,test_accuracy,test_f1,test_image_accuracy,test_image_f1,test_image_precision,test_image_recall,test_loss,test_precision,test_recall,train_accuracy,train_f1,train_image_accuracy,train_image_f1,train_image_precision,train_image_recall,train_loss,train_precision,train_recall,val_accuracy,val_f1,val_image_accuracy,val_image_f1,val_image_precision,val_image_recall,val_loss,val_precision,val_recall
1,0.5418122977346278,0.4638435686074108,0.5533980582524272,0.4418585298196949,0.4399029126213592,0.5084142394822005,1.1116307151433333,0.5563318507516493,0.505537216828479,0.8607985347985347,0.8576163199761835,0.8901098901098901,0.8907701370440178,0.9285938603521021,0.8882621822621822,0.2170039057475088,0.8830025768334253,0.8578612898212898,0.49892193732193735,0.4423336215144524,0.5093040293040293,0.42123076923076924,0.4348278388278388,0.47597069597069597,2.220993331186128,0.4900246224138336,0.48284420024420016
2,0.6074757281553399,0.5584261200129752,0.6310679611650486,0.5730466944059177,0.5805825242718448,0.6058252427184466,1.077157547318868,0.5912499601562565,0.5812157497303129,0.9428351648351648,0.9439763307102157,0.978021978021978,0.9792435481349879,0.9823969437156249,0.979906093906094,0.128106175050849,0.947528210745749,0.9447432075332076,0.5360112332112332,0.4883687901567745,0.5607814407814408,0.48300994243851386,0.48123809523809524,0.5564102564102564,2.195933030356896,0.5306256002652802,0.5310046398046397
3,0.6070226537216827,0.5735408146691384,0.6601941747572816,0.6104022191400833,0.6344660194174757,0.6365695792880258,1.0949894963231084,0.6002860483692761,0.588344120819849,0.9776190476190475,0.9777960676702016,0.9934065934065934,0.9940907213087664,0.9947186147186147,0.9940219780219781,0.09691548320994929,0.9791058621770413,0.977076544936545,0.5359501017501017,0.4753999092008618,0.5515262515262516,0.463244374672946,0.44695970695970694,0.5358974358974359,2.415894032743007,0.5012406867225069,0.5196590964590964
4,0.5974433656957928,0.5710409840367625,0.6407766990291263,0.607267683772538,0.6394822006472493,0.6300970873786407,1.1720009978896557,0.6156071017193424,0.5806569579288026,0.9389084249084247,0.9389414535564102,0.9648351648351648,0.9660787768463746,0.9753710136017828,0.9691468531468531,0.07913442754385235,0.9490896274147823,0.9424995134495134,0.548485225885226,0.5062716129758851,0.6063003663003663,0.5477802197802197,0.5615384615384614,0.5997802197802199,2.5567952869513295,0.534239203129926,0.5351452991452992
5,0.6118446601941747,0.5864518150916961,0.6310679611650486,0.6018030513176145,0.6366666666666667,0.622977346278317,1.1549549647805692,0.6304194040936687,0.5967853290183387,0.9707545787545787,0.9704770355923846,0.989010989010989,0.9889031336400438,0.9892912801484229,0.98990120990121,0.06846810202288267,0.9715391102288838,0.9713656865356866,0.5297453805453806,0.4776918210757503,0.5420757020757021,0.45232234432234436,0.4414945054945055,0.5287912087912088,2.5411909953921876,0.526356695220872,0.5214197802197802
6,0.5953721682847897,0.5739764139603273,0.6213592233009708,0.5926398520573277,0.6236245954692556,0.6122977346278317,1.2395095377992316,0.6045395728234024,0.5875641855447681,0.9600732600732601,0.9593736011048415,0.9912087912087912,0.9900203255391226,0.9925034965034966,0.9894438894438895,0.060956021226178374,0.9615783928779243,0.9597089447589449,0.5359419617419617,0.4881576296265207,0.5605372405372405,0.4900952380952381,0.4894871794871795,0.5460805860805861,2.7211457455355723,0.5160625640294239,0.5233228327228328
7,0.6425242718446601,0.6146525300530784,0.6310679611650486,0.5988072122052704,0.6440129449838187,0.6190938511326861,1.0926862693147663,0.6415876085891118,0.6311391585760519,0.964102564102564,0.9637865949778485,0.9868131868131869,0.9859409955766231,0.9880405308976737,0.9855171495171495,0.05156231690297285,0.96526215144678,0.9647474151774151,0.5550724460724461,0.5016094694176936,0.5631990231990233,0.48284877027734163,0.49175824175824173,0.5386813186813187,2.519279000282518,0.5446476712389362,0.5340498168498168
8,0.6691909385113268,0.6389066965344735,0.6990291262135923,0.6614886731391585,0.6951456310679611,0.6864077669902913,1.0471449976942908,0.6565104344756053,0.6578478964401294,0.9893186813186812,0.9888700067465739,1.0,1.0,1.0,1.0,0.05069321078563197,0.9889713023706734,0.9891603145003144,0.5690792022792024,0.517397311318485,0.6056166056166056,0.542930402930403,0.5557509157509157,0.6021978021978022,2.708932189263423,0.5473033600254437,0.5546454212454213
9,0.6409708737864077,0.6162566102452186,0.6796116504854369,0.6471844660194175,0.6919093851132686,0.6686084142394823,1.1468253661306578,0.6412728446963195,0.631992448759439,0.978879120879121,0.9789594763795152,0.9912087912087912,0.9917293233082706,0.9918241758241758,0.9920439560439559,0.04423338758882695,0.9796003504177853,0.9797550741850742,0.5521519739519739,0.4966695720569413,0.5746275946275947,0.4927514390371533,0.48545787545787544,0.5424908424908426,2.8828712023049157,0.5385626688865371,0.5291360195360194
10,0.6478640776699028,0.6215421685652819,0.6990291262135923,0.6681923254738787,0.7140776699029124,0.6818770226537215,1.1671424133926749,0.6599465974738733,0.6347874865156418,0.9823223443223444,0.9828858988464683,0.9956043956043956,0.9959183673469387,0.9964035964035964,0.996043956043956,0.041035857650918724,0.9836844426655668,0.9828851948051948,0.5520664224664223,0.4965149662418959,0.542954822954823,0.4708864468864469,0.4728937728937729,0.5150915750915751,2.9252507199404896,0.5276922646243888,0.5233714285714285
11,0.6511003236245955,0.6265591256809979,0.6990291262135923,0.6716504854368931,0.7171521035598705,0.689967637540453,1.1555917532411446,0.6640067510112025,0.6409751887810141,0.9828278388278388,0.9835930791278018,0.9934065934065934,0.9940210165774076,0.9949050949050949,0.9940659340659341,0.03669218321515746,0.983755372777292,0.9838789392089392,0.561480586080586,0.5203447957925919,0.5838339438339438,0.5234578754578755,0.5227106227106227,0.5828571428571429,3.0864091790418184,0.5573528181745445,0.5525746031746032
