epoch,lr,epoch_time_sec,train_loss,train_patch_accuracy,train_patch_precision,train_patch_recall,train_patch_f1,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,45.224591,1.628338,0.224725,0.205848,0.207266,0.195254,1.583287,0.249053,0.266668,0.226146,0.128279,0.250000,0.195652,0.227273,0.120490,8448,96,1
2,0.000100,21.122647,1.523791,0.326786,0.315784,0.299082,0.284219,1.660250,0.286458,0.214786,0.257955,0.195088,0.260417,0.202576,0.235065,0.175949,8448,96,1
3,0.000100,21.336778,1.431725,0.383242,0.370058,0.354616,0.345252,1.557943,0.352036,0.306061,0.319848,0.275813,0.354167,0.319091,0.323058,0.277791,8448,96,1
4,0.000099,20.288340,1.372855,0.426236,0.404468,0.391940,0.378550,1.840690,0.322206,0.288778,0.285675,0.222004,0.312500,0.248431,0.275325,0.199316,8448,96,0
5,0.000098,20.915854,1.330553,0.456456,0.444241,0.423015,0.413468,1.607608,0.395005,0.361322,0.356674,0.317479,0.416667,0.378530,0.376168,0.330703,8448,96,1
6,0.000097,21.112331,1.308372,0.467170,0.449405,0.432014,0.421331,1.494313,0.449219,0.387735,0.406879,0.376393,0.479167,0.419732,0.437594,0.409040,8448,96,1
7,0.000096,21.141629,1.293539,0.477747,0.457882,0.442156,0.431931,1.515571,0.422585,0.381219,0.380691,0.355065,0.427083,0.428366,0.388107,0.380550,8448,96,0
8,0.000094,21.346979,1.272918,0.492720,0.473968,0.457473,0.448850,1.632821,0.408026,0.375679,0.361235,0.301807,0.427083,0.410417,0.376897,0.310301,8448,96,0
9,0.000092,20.639879,1.244160,0.515110,0.498542,0.481046,0.475229,1.602748,0.405303,0.361969,0.362664,0.321975,0.406250,0.358725,0.361449,0.315730,8448,96,0
10,0.000090,20.643722,1.233198,0.512225,0.499599,0.479210,0.473923,1.317387,0.515625,0.437016,0.468129,0.441048,0.510417,0.431735,0.466439,0.441967,8448,96,1
11,0.000087,21.441886,1.211963,0.527747,0.517086,0.497605,0.495785,1.291650,0.480469,0.429261,0.434517,0.399903,0.479167,0.418897,0.430280,0.382383,8448,96,0
12,0.000084,21.211410,1.204627,0.533379,0.514410,0.501796,0.498705,1.203353,0.509943,0.490737,0.470394,0.450634,0.520833,0.499301,0.472055,0.442235,8448,96,1
13,0.000081,21.324724,1.182514,0.551236,0.540313,0.520917,0.519872,1.356048,0.449574,0.444815,0.409965,0.378297,0.468750,0.452248,0.424493,0.381505,8448,96,0
14,0.000078,21.368160,1.173564,0.558379,0.549846,0.530172,0.530304,1.221536,0.535985,0.517566,0.490764,0.466307,0.531250,0.481935,0.473137,0.422047,8448,96,1
15,0.000074,21.159229,1.173514,0.553846,0.540480,0.527076,0.527488,1.244244,0.509706,0.500176,0.470398,0.454771,0.510417,0.536953,0.464833,0.439000,8448,96,0
16,0.000070,21.385301,1.147204,0.572390,0.563619,0.548181,0.550022,1.256787,0.502131,0.483327,0.458083,0.434543,0.500000,0.420536,0.448166,0.408745,8448,96,0
17,0.000067,21.191726,1.146583,0.577885,0.566310,0.549782,0.550256,1.199834,0.551610,0.550413,0.521770,0.517073,0.583333,0.585561,0.545056,0.532921,8448,96,1
18,0.000063,21.464250,1.130131,0.582005,0.572619,0.554050,0.554863,1.235128,0.544744,0.521127,0.508860,0.502220,0.593750,0.575429,0.557621,0.553479,8448,96,0
19,0.000059,21.435529,1.117409,0.589835,0.580796,0.564278,0.566234,1.368645,0.485204,0.481991,0.449632,0.433161,0.510417,0.543147,0.473548,0.461633,8448,96,0
20,0.000055,21.392308,1.116335,0.591896,0.582570,0.567890,0.570180,1.242653,0.528646,0.517719,0.490440,0.480940,0.541667,0.525595,0.502153,0.491724,8448,96,0
21,0.000051,20.959847,1.090769,0.602885,0.595346,0.577767,0.580242,1.188014,0.547348,0.535043,0.508264,0.500436,0.572917,0.582145,0.531260,0.524252,8448,96,0
22,0.000046,21.193076,1.085946,0.611401,0.605618,0.588457,0.591633,1.165481,0.535985,0.513744,0.493586,0.481983,0.552083,0.500458,0.498792,0.475490,8448,96,0
23,0.000042,22.494974,1.073692,0.613874,0.610370,0.591597,0.595242,1.284664,0.519650,0.491788,0.482248,0.468504,0.562500,0.485990,0.515493,0.489774,8448,96,0
24,0.000038,22.894840,1.072671,0.615110,0.611419,0.594996,0.598841,1.210187,0.548059,0.548948,0.518965,0.519257,0.583333,0.594249,0.543655,0.540326,8448,96,1
25,0.000034,21.511683,1.072043,0.619505,0.612674,0.597056,0.600159,1.201318,0.533026,0.520768,0.495148,0.488919,0.562500,0.536667,0.516029,0.500648,8448,96,0
