epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,124.901753,1.549505,0.292383,0.266802,0.267867,0.255764,1.680940,0.332830,0.348318,0.296360,0.244255,0.329670,0.406682,0.293316,0.241392,7280,455,1.762421,0.334754,0.287287,0.297302,0.238466,0.322917,0.270574,0.286147,0.229366,8448,96,1
2,0.000100,98.148354,1.346797,0.444331,0.425042,0.410680,0.399759,1.741279,0.335302,0.390417,0.303055,0.266095,0.345055,0.455492,0.311526,0.277297,7280,455,1.853644,0.320668,0.267521,0.285050,0.220921,0.312500,0.217729,0.276190,0.197774,8448,96,0
3,0.000100,98.684260,1.237804,0.515160,0.501110,0.482651,0.478454,1.463765,0.441071,0.446607,0.414808,0.402506,0.450549,0.461600,0.420236,0.406583,7280,455,1.506369,0.420099,0.386494,0.385391,0.355088,0.447917,0.429567,0.412862,0.388282,8448,96,1
4,0.000099,97.364766,1.165182,0.562088,0.553105,0.535471,0.536548,1.880131,0.348489,0.359415,0.317374,0.277636,0.340659,0.355205,0.306871,0.261361,7280,455,1.944037,0.315814,0.291064,0.283791,0.229325,0.291667,0.228065,0.257576,0.196864,8448,96,0
5,0.000098,99.190162,1.106917,0.597777,0.589946,0.572810,0.575154,1.144096,0.580495,0.594740,0.556529,0.556344,0.619780,0.643035,0.589794,0.590935,7280,455,1.283546,0.527817,0.529868,0.494873,0.490526,0.531250,0.527606,0.491889,0.476103,8448,96,1
6,0.000097,98.910996,1.062105,0.626424,0.619488,0.606207,0.609468,1.076197,0.632418,0.628927,0.609267,0.611975,0.679121,0.689002,0.655634,0.659027,7280,455,1.200734,0.580966,0.555875,0.552558,0.550229,0.614583,0.582912,0.585817,0.580238,8448,96,1
7,0.000096,99.234844,1.022715,0.653022,0.648790,0.635453,0.639358,0.971427,0.692857,0.697855,0.673489,0.679008,0.778022,0.789383,0.759462,0.767007,7280,455,1.217546,0.575284,0.537618,0.538422,0.531297,0.614583,0.548745,0.567225,0.552760,8448,96,0
8,0.000094,98.132743,0.987572,0.675275,0.672036,0.659881,0.663768,0.897318,0.727747,0.741829,0.703950,0.711823,0.782418,0.806666,0.755622,0.765039,7280,455,1.162150,0.613636,0.600044,0.582305,0.582797,0.656250,0.654440,0.622010,0.623550,8448,96,1
9,0.000092,98.710006,0.966154,0.687587,0.683976,0.672841,0.676601,0.944161,0.697802,0.714705,0.689384,0.694713,0.778022,0.804207,0.772662,0.780474,7280,455,1.224928,0.586884,0.568898,0.557468,0.556398,0.635417,0.611397,0.596582,0.588918,8448,96,0
10,0.000090,99.644412,0.932446,0.709241,0.706472,0.695758,0.699589,0.927442,0.711126,0.709848,0.697091,0.701457,0.815385,0.818989,0.801563,0.807576,7280,455,1.232431,0.585346,0.550757,0.551717,0.547762,0.625000,0.581834,0.588198,0.581179,8448,96,0
11,0.000087,99.098421,0.910349,0.720754,0.718756,0.708373,0.712179,0.912172,0.713462,0.734974,0.700748,0.706699,0.791209,0.817924,0.777673,0.786249,7280,455,1.253144,0.574574,0.570942,0.544345,0.543156,0.604167,0.623253,0.572112,0.567443,8448,96,0
12,0.000084,98.937114,0.891077,0.731843,0.729937,0.719943,0.723685,0.931536,0.704945,0.730599,0.692441,0.699426,0.756044,0.799401,0.739917,0.751043,7280,455,1.227573,0.584044,0.588510,0.551429,0.551745,0.656250,0.716807,0.620870,0.625849,8448,96,0
13,0.000081,98.416902,0.863808,0.749550,0.747577,0.738353,0.741874,0.868589,0.744918,0.756927,0.723414,0.729489,0.819780,0.839730,0.797776,0.804722,7280,455,1.177223,0.615294,0.585116,0.579364,0.573923,0.635417,0.599024,0.593985,0.584739,8448,96,0
14,0.000078,99.063597,0.852419,0.754870,0.752976,0.744324,0.747754,1.003845,0.681181,0.697293,0.667677,0.674487,0.767033,0.798092,0.754825,0.764484,7280,455,1.331290,0.562027,0.541203,0.534337,0.530873,0.604167,0.560271,0.563306,0.547972,8448,96,0
15,0.000074,98.288607,0.835088,0.761863,0.761302,0.751806,0.755528,0.896361,0.727335,0.740995,0.717110,0.720266,0.784615,0.800128,0.772508,0.777644,7280,455,1.268220,0.594105,0.588921,0.572957,0.573879,0.645833,0.655653,0.627968,0.628079,8448,96,0
16,0.000070,99.993268,0.819103,0.771429,0.770357,0.762675,0.765789,0.866800,0.734478,0.762001,0.728607,0.730635,0.821978,0.859126,0.817589,0.821986,7280,455,1.291018,0.560014,0.566897,0.533777,0.531853,0.583333,0.586364,0.544520,0.536708,8448,96,0
17,0.000067,99.509427,0.802150,0.784341,0.783834,0.775576,0.778946,0.907263,0.733242,0.753410,0.719473,0.725028,0.804396,0.829974,0.792245,0.798856,7280,455,1.274828,0.598130,0.571064,0.564393,0.555286,0.656250,0.630548,0.618638,0.605828,8448,96,0
18,0.000063,98.551517,0.788459,0.790884,0.789927,0.782822,0.785807,0.816077,0.773352,0.789914,0.766466,0.772203,0.857143,0.881740,0.850224,0.858943,7280,455,1.338680,0.546283,0.537428,0.516011,0.516067,0.541667,0.512726,0.494406,0.477229,8448,96,0
