epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,124.330333,1.548735,0.288849,0.261964,0.264361,0.251246,1.625630,0.304287,0.455284,0.265555,0.194377,0.293987,0.331893,0.255521,0.176945,7184,449,1.529900,0.326106,0.388144,0.274022,0.207120,0.328947,0.413744,0.275294,0.203705,6688,76,1
2,0.000100,97.328284,1.329563,0.459101,0.443902,0.425611,0.417946,1.343773,0.510857,0.537575,0.478446,0.470216,0.521158,0.548752,0.485052,0.474731,7184,449,1.490001,0.420754,0.354754,0.353616,0.322811,0.447368,0.352048,0.374118,0.334719,6688,76,1
3,0.000100,96.572489,1.192559,0.546720,0.531177,0.517477,0.517543,1.088739,0.625557,0.615186,0.587316,0.582639,0.650334,0.637626,0.609340,0.602735,7184,449,1.439760,0.429127,0.333260,0.363809,0.335532,0.434211,0.324176,0.367647,0.333619,6688,76,1
4,0.000099,98.096519,1.106810,0.598426,0.586228,0.573654,0.575961,1.014196,0.669404,0.671060,0.632088,0.631758,0.730512,0.750890,0.685935,0.683881,7184,449,1.447907,0.460676,0.392100,0.391003,0.376239,0.486842,0.410317,0.413595,0.390585,6688,76,1
5,0.000098,97.747219,1.050556,0.632466,0.620710,0.610127,0.612889,1.078033,0.638781,0.635763,0.612557,0.608908,0.672606,0.676554,0.642262,0.639742,7184,449,1.552439,0.463965,0.423911,0.421276,0.382592,0.486842,0.420735,0.418235,0.380235,6688,76,1
6,0.000097,97.641068,1.013697,0.656611,0.647424,0.635556,0.639010,0.959915,0.689310,0.690521,0.653379,0.653790,0.746102,0.749053,0.703312,0.701502,7184,449,1.678261,0.383672,0.306755,0.326485,0.305692,0.368421,0.266682,0.311634,0.278044,6688,76,0
7,0.000096,96.485820,0.972629,0.682957,0.675273,0.664384,0.667976,0.923355,0.712834,0.708489,0.688266,0.692069,0.770601,0.783375,0.746443,0.754269,7184,449,1.484462,0.464264,0.430767,0.451677,0.417700,0.460526,0.443011,0.431830,0.396397,6688,76,1
8,0.000094,95.454345,0.943253,0.699458,0.691165,0.682297,0.685508,0.904783,0.720768,0.737087,0.687156,0.691970,0.788419,0.806518,0.749400,0.754028,7184,449,1.619930,0.446023,0.368097,0.380626,0.354437,0.460526,0.390714,0.393137,0.357769,6688,76,0
9,0.000092,96.634062,0.916997,0.716820,0.710321,0.701330,0.704708,0.842510,0.750835,0.768713,0.737765,0.739794,0.821826,0.846465,0.807478,0.812836,7184,449,1.696238,0.360197,0.322010,0.308055,0.308622,0.381579,0.325490,0.324706,0.318304,6688,76,0
10,0.000090,95.854685,0.889705,0.731626,0.725360,0.716595,0.719962,0.876476,0.733714,0.741835,0.707960,0.711665,0.804009,0.825783,0.774616,0.780700,7184,449,1.670972,0.397279,0.335189,0.340588,0.335848,0.394737,0.316643,0.339346,0.322885,6688,76,0
11,0.000087,95.561981,0.865910,0.746811,0.742330,0.732852,0.736539,0.789830,0.785635,0.794678,0.766437,0.771987,0.857461,0.870427,0.834709,0.841454,7184,449,1.624432,0.422548,0.360690,0.362418,0.358123,0.381579,0.308607,0.326928,0.310034,6688,76,0
12,0.000084,95.821431,0.840367,0.760857,0.755789,0.746982,0.750481,0.744422,0.812918,0.822727,0.794648,0.800106,0.886414,0.892490,0.862577,0.868698,7184,449,1.778865,0.378589,0.341218,0.321056,0.326623,0.368421,0.333974,0.311634,0.316551,6688,76,0
13,0.000081,96.080308,0.825843,0.769285,0.765240,0.757047,0.760407,0.770459,0.803313,0.802895,0.790703,0.793996,0.888641,0.892536,0.879631,0.883401,7184,449,1.732055,0.419408,0.347854,0.360359,0.343490,0.434211,0.374957,0.372484,0.340080,6688,76,0
14,0.000078,96.597255,0.804393,0.780396,0.775748,0.768791,0.771728,1.126936,0.649916,0.710973,0.630928,0.627909,0.679287,0.760847,0.657145,0.656998,7184,449,2.178701,0.324013,0.303913,0.272663,0.246308,0.328947,0.340293,0.276928,0.216552,6688,76,0
15,0.000074,95.729808,0.784739,0.793734,0.789467,0.783228,0.785920,0.750119,0.813196,0.815685,0.807340,0.806945,0.895323,0.900302,0.888526,0.890581,7184,449,1.694937,0.419856,0.369224,0.362143,0.363599,0.394737,0.333997,0.336928,0.332541,6688,76,0
16,0.000070,95.411962,0.772757,0.799656,0.795771,0.790196,0.792634,0.674001,0.852311,0.857761,0.840984,0.845105,0.937639,0.940404,0.923560,0.929547,7184,449,1.655756,0.459330,0.391854,0.392879,0.384139,0.539474,0.450952,0.466144,0.429537,6688,76,0
17,0.000067,93.188519,0.761012,0.807729,0.803334,0.798091,0.800421,0.753436,0.810412,0.808848,0.806392,0.805477,0.897550,0.899191,0.897507,0.895520,7184,449,1.564659,0.453947,0.388183,0.391092,0.384342,0.565789,0.473742,0.482614,0.466130,6688,76,0
