epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,48.560014,1.629766,0.218263,0.203000,0.202811,0.196679,1.575929,0.359688,0.314377,0.312011,0.224882,0.369710,0.435073,0.319630,0.215651,7184,449,1.546456,0.433762,0.288554,0.376420,0.248794,0.434211,0.173943,0.377778,0.238207,6688,76,1
2,0.000100,24.543809,1.528173,0.319599,0.306874,0.291727,0.274901,1.772208,0.290228,0.359940,0.257201,0.176281,0.296214,0.248116,0.262483,0.176394,7184,449,1.661200,0.284390,0.120518,0.235108,0.140350,0.289474,0.110714,0.238889,0.141892,6688,76,0
3,0.000100,24.814815,1.445956,0.369850,0.343511,0.339904,0.328036,1.795744,0.331849,0.429771,0.300510,0.244255,0.340757,0.524568,0.308902,0.250258,7184,449,1.649866,0.271980,0.338227,0.221884,0.184835,0.263158,0.300627,0.214641,0.171928,6688,76,0
4,0.000099,24.674927,1.372979,0.425947,0.401819,0.392587,0.381345,1.852752,0.273524,0.366566,0.263744,0.212887,0.258352,0.339658,0.249183,0.190680,7184,449,1.706756,0.293212,0.339982,0.229186,0.167581,0.302632,0.292978,0.235752,0.163308,6688,76,0
5,0.000098,24.735488,1.318873,0.466314,0.448924,0.436092,0.431786,1.447490,0.404928,0.438662,0.380979,0.370052,0.418708,0.464652,0.395072,0.386023,7184,449,1.434132,0.349731,0.303336,0.287231,0.277557,0.328947,0.280392,0.268562,0.254078,6688,76,1
6,0.000097,24.641509,1.278837,0.495128,0.476164,0.462086,0.457526,1.587020,0.420100,0.475407,0.392999,0.365327,0.436526,0.515154,0.408737,0.377328,7184,449,1.615897,0.377841,0.367778,0.313036,0.268840,0.394737,0.454591,0.325294,0.266371,6688,76,0
7,0.000096,24.906263,1.240661,0.518792,0.501885,0.487094,0.484800,1.295806,0.509465,0.508314,0.468113,0.452929,0.525612,0.521856,0.479024,0.459176,7184,449,1.476405,0.397428,0.319570,0.332349,0.320523,0.421053,0.335414,0.353399,0.341151,6688,76,1
8,0.000094,24.991743,1.210431,0.534521,0.514131,0.500796,0.497530,1.378106,0.477589,0.462565,0.436668,0.416490,0.498886,0.481337,0.453608,0.430107,7184,449,1.503743,0.438248,0.364987,0.370305,0.339795,0.460526,0.372827,0.389412,0.351010,6688,76,1
9,0.000092,24.801989,1.186153,0.553591,0.536408,0.524026,0.523770,1.587611,0.402422,0.412652,0.377683,0.343868,0.394209,0.392754,0.366153,0.327265,7184,449,1.665629,0.383523,0.302714,0.320100,0.264701,0.407895,0.302778,0.340588,0.278775,6688,76,0
10,0.000090,24.800746,1.176259,0.549415,0.530554,0.520472,0.520174,1.155807,0.573218,0.548688,0.533565,0.524778,0.603563,0.588884,0.561912,0.555021,7184,449,1.519803,0.443929,0.354628,0.378632,0.343893,0.473684,0.377240,0.402941,0.366580,6688,76,1
11,0.000087,24.583381,1.152201,0.570017,0.553555,0.538986,0.539258,1.132042,0.573218,0.546287,0.545239,0.538031,0.596882,0.570664,0.568126,0.560241,7184,449,1.485284,0.431370,0.347709,0.368916,0.337151,0.473684,0.373962,0.405359,0.364305,6688,76,0
12,0.000084,24.572175,1.137367,0.577255,0.561878,0.550027,0.551367,1.122081,0.605930,0.597616,0.569077,0.557909,0.648107,0.652070,0.608363,0.596233,7184,449,1.568902,0.373206,0.312460,0.314760,0.312308,0.355263,0.288722,0.297843,0.287419,6688,76,0
13,0.000081,24.592241,1.116923,0.597160,0.584432,0.575152,0.577419,1.328090,0.517400,0.535584,0.498321,0.480670,0.547884,0.578117,0.524784,0.510130,7184,449,1.593679,0.414922,0.326743,0.349591,0.312268,0.407895,0.305090,0.344118,0.296584,6688,76,0
14,0.000078,24.541034,1.108965,0.593263,0.578242,0.568643,0.570502,1.121995,0.590061,0.573757,0.555390,0.547171,0.616927,0.604110,0.579211,0.569040,7184,449,1.485699,0.443182,0.364776,0.379303,0.346269,0.460526,0.383036,0.396013,0.349154,6688,76,1
15,0.000074,24.606719,1.111047,0.599666,0.585160,0.575092,0.577032,1.095695,0.613029,0.603783,0.573089,0.562670,0.657016,0.658509,0.612424,0.599282,7184,449,1.404628,0.450060,0.364549,0.382314,0.365512,0.486842,0.384330,0.417778,0.380740,6688,76,1
16,0.000070,24.653466,1.083113,0.616787,0.605777,0.591701,0.594471,1.037281,0.638502,0.634985,0.611108,0.610853,0.679287,0.678404,0.642593,0.640265,7184,449,1.583522,0.368870,0.313823,0.310169,0.309791,0.368421,0.301953,0.309869,0.302886,6688,76,0
17,0.000067,24.439952,1.078151,0.620128,0.606766,0.594078,0.596368,1.032601,0.656041,0.655926,0.621523,0.617123,0.699332,0.698650,0.660328,0.652694,7184,449,1.716640,0.350179,0.308230,0.295207,0.298377,0.315789,0.274571,0.265882,0.267613,6688,76,0
18,0.000063,25.136913,1.062582,0.624582,0.608080,0.598116,0.599897,1.077071,0.621659,0.607289,0.601374,0.599011,0.657016,0.647023,0.632943,0.633015,7184,449,1.529003,0.428080,0.358361,0.363344,0.345230,0.473684,0.408571,0.402941,0.375014,6688,76,0
19,0.000059,25.329603,1.050628,0.637389,0.624881,0.616006,0.618582,1.173593,0.578369,0.559656,0.541189,0.534345,0.603563,0.584712,0.559315,0.548241,7184,449,1.507569,0.434360,0.366202,0.365882,0.356413,0.486842,0.403704,0.410261,0.399826,6688,76,0
20,0.000055,25.239888,1.044538,0.636136,0.626234,0.616803,0.619808,1.122030,0.610941,0.610317,0.586789,0.584684,0.652561,0.657797,0.622273,0.623556,7184,449,1.568287,0.435706,0.386077,0.372337,0.343745,0.460526,0.428582,0.392941,0.365763,6688,76,0
21,0.000051,25.209468,1.031516,0.640033,0.627986,0.615494,0.618365,0.964461,0.681097,0.682578,0.646110,0.647118,0.739421,0.740297,0.698298,0.698263,7184,449,1.633822,0.383224,0.315785,0.322990,0.315058,0.355263,0.273426,0.298105,0.280088,6688,76,0
22,0.000046,25.100354,1.018097,0.658268,0.648114,0.635437,0.638758,1.018377,0.660913,0.669009,0.625807,0.623326,0.708241,0.708516,0.665572,0.658302,7184,449,1.884099,0.323714,0.271030,0.274452,0.263792,0.289474,0.229282,0.245425,0.228737,6688,76,0
23,0.000042,24.292173,1.021353,0.653118,0.642273,0.631244,0.634333,1.172986,0.593820,0.600100,0.572525,0.575757,0.614699,0.618503,0.588390,0.591708,7184,449,1.580267,0.398923,0.334434,0.331699,0.329617,0.381579,0.327607,0.318497,0.310725,6688,76,0
24,0.000038,25.154189,1.001032,0.663419,0.654797,0.644858,0.648123,1.041031,0.662027,0.666093,0.633941,0.634901,0.701559,0.718011,0.669163,0.669695,7184,449,1.727114,0.359749,0.305882,0.303544,0.302753,0.328947,0.274079,0.275425,0.269950,6688,76,0
25,0.000034,24.276263,1.009220,0.661888,0.652984,0.640648,0.644277,0.991523,0.672467,0.666288,0.652202,0.655235,0.714922,0.710932,0.687182,0.691029,7184,449,1.573938,0.403110,0.340828,0.340347,0.339374,0.421053,0.355817,0.355817,0.354672,6688,76,0
