epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000150,441.650194,1.164641,0.545678,0.533496,0.512653,0.508790,1.025903,0.647665,0.660524,0.622709,0.624671,0.690110,0.723993,0.665043,0.670738,7280,455,1.150202,0.584162,0.565150,0.542359,0.534181,0.625000,0.612527,0.583595,0.577022,8448,96,1
2,0.000300,438.742812,0.962139,0.680330,0.670991,0.663506,0.665845,1.008487,0.667857,0.677745,0.650495,0.649076,0.707692,0.734158,0.687345,0.689462,7280,455,1.264978,0.548769,0.537061,0.524418,0.513999,0.572917,0.566603,0.541239,0.528785,8448,96,0
3,0.000299,438.412484,0.820365,0.766916,0.761937,0.756789,0.758898,0.759704,0.799313,0.806740,0.787355,0.792781,0.892308,0.902564,0.883724,0.889578,7280,455,1.196115,0.586766,0.565356,0.552307,0.551725,0.593750,0.550575,0.547175,0.543271,8448,96,1
4,0.000298,438.114977,0.708310,0.831670,0.829011,0.825625,0.827139,0.741043,0.811538,0.824217,0.805021,0.807708,0.901099,0.910251,0.899601,0.900488,7280,455,1.191975,0.626657,0.597015,0.593727,0.590074,0.677083,0.630793,0.636819,0.629304,8448,96,1
5,0.000295,438.830516,0.641606,0.868249,0.866090,0.863800,0.864857,0.618559,0.878846,0.882717,0.871662,0.875879,0.969231,0.972668,0.963992,0.967587,7280,455,1.254616,0.593632,0.564847,0.563994,0.563396,0.666667,0.640455,0.637708,0.637714,8448,96,0
6,0.000292,438.033614,0.594710,0.894586,0.893031,0.891255,0.892091,0.595121,0.893819,0.889162,0.895984,0.891153,0.973626,0.972021,0.974873,0.973258,7280,455,1.294971,0.600734,0.591006,0.587365,0.585968,0.729167,0.722525,0.717282,0.714031,8448,96,0
7,0.000287,437.740233,0.565029,0.910564,0.909367,0.908043,0.908672,0.598178,0.894918,0.896634,0.894893,0.893998,0.975824,0.977450,0.975758,0.976303,7280,455,1.426513,0.558949,0.552341,0.533914,0.530346,0.625000,0.621419,0.606881,0.599273,8448,96,0
8,0.000282,437.829262,0.543661,0.922300,0.920938,0.920129,0.920517,0.572975,0.907280,0.917896,0.899564,0.905965,0.969231,0.974321,0.963621,0.968010,7280,455,1.408196,0.584162,0.572797,0.554091,0.553916,0.614583,0.585223,0.570494,0.565212,8448,96,0
9,0.000276,438.385775,0.523597,0.933026,0.932097,0.931424,0.931753,0.538713,0.925275,0.931050,0.918932,0.923584,0.989011,0.990804,0.987160,0.988805,7280,455,1.370824,0.592330,0.571672,0.564838,0.565657,0.677083,0.644074,0.639793,0.638644,8448,96,0
10,0.000268,437.916906,0.510495,0.939480,0.938623,0.937786,0.938193,0.540339,0.925000,0.925674,0.922618,0.923751,0.986813,0.988835,0.985140,0.986767,7280,455,1.346007,0.607836,0.585377,0.584651,0.584289,0.666667,0.635411,0.632570,0.629956,8448,96,0
11,0.000260,437.486387,0.498872,0.945407,0.944382,0.943712,0.944037,0.486611,0.952610,0.953008,0.950353,0.951620,0.995604,0.996296,0.994590,0.995406,7280,455,1.362162,0.609375,0.589655,0.588043,0.588688,0.677083,0.650055,0.649237,0.649489,8448,96,0
12,0.000252,437.667180,0.488258,0.951443,0.950623,0.950041,0.950325,0.501229,0.944368,0.943256,0.944161,0.943512,0.995604,0.996077,0.994723,0.995372,7280,455,1.450395,0.599905,0.589641,0.582657,0.583666,0.656250,0.656797,0.642333,0.644082,8448,96,0
13,0.000242,438.120208,0.479448,0.956190,0.955346,0.954815,0.955074,0.471170,0.960302,0.958717,0.960713,0.959634,1.000000,1.000000,1.000000,1.000000,7280,455,1.450969,0.598248,0.579495,0.578634,0.578574,0.656250,0.646127,0.643769,0.641609,8448,96,0
14,0.000232,437.788457,0.473631,0.959495,0.958967,0.958344,0.958651,0.500305,0.944643,0.944921,0.942695,0.943676,0.997802,0.998077,0.997727,0.997891,7280,455,1.478212,0.586293,0.566237,0.561411,0.562559,0.645833,0.634176,0.625803,0.626576,8448,96,0
