epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,123.008218,1.450316,0.355919,0.330408,0.327849,0.317081,1.170891,0.552610,0.530467,0.512643,0.502318,0.584615,0.596556,0.540896,0.528836,7280,455,1.205530,0.528172,0.499457,0.482087,0.463101,0.510417,0.447763,0.458259,0.424065,8448,96,1
2,0.000100,98.492265,1.143247,0.563087,0.541137,0.531829,0.529111,0.951747,0.681181,0.676844,0.662595,0.662184,0.729670,0.739540,0.714538,0.715562,7280,455,1.116625,0.588778,0.583596,0.554329,0.553006,0.677083,0.681556,0.643062,0.646715,8448,96,1
3,0.000100,96.966322,0.976289,0.671528,0.659151,0.649518,0.651587,0.782361,0.799313,0.792547,0.790626,0.790441,0.885714,0.888440,0.875821,0.879726,7280,455,1.132771,0.613045,0.595628,0.584697,0.585977,0.677083,0.660743,0.645500,0.647666,8448,96,1
4,0.000099,97.672685,0.856693,0.750350,0.743495,0.733991,0.737185,0.729457,0.823077,0.832711,0.808289,0.813992,0.896703,0.904051,0.884899,0.890792,7280,455,1.141526,0.629143,0.597856,0.592998,0.586438,0.677083,0.683174,0.631647,0.622984,8448,96,1
5,0.000098,97.167749,0.775842,0.798427,0.793155,0.785284,0.788293,0.631806,0.877610,0.882475,0.867861,0.873385,0.969231,0.971906,0.964347,0.967585,7280,455,1.136519,0.647846,0.625434,0.613470,0.613166,0.708333,0.696997,0.666063,0.668013,8448,96,1
6,0.000097,98.951782,0.717876,0.833242,0.829771,0.822418,0.825461,0.608396,0.889973,0.894910,0.882927,0.887553,0.949451,0.955304,0.945839,0.949705,7280,455,1.119535,0.676255,0.664425,0.650355,0.651970,0.718750,0.702582,0.689303,0.691045,8448,96,1
7,0.000096,96.539016,0.673671,0.856743,0.853160,0.847529,0.849947,0.539473,0.928434,0.926714,0.924482,0.924909,0.980220,0.981839,0.979393,0.980357,7280,455,1.118586,0.661577,0.636806,0.637574,0.636518,0.729167,0.714774,0.709843,0.710561,8448,96,0
8,0.000094,96.069176,0.635898,0.878072,0.874944,0.870798,0.872674,0.525307,0.935302,0.937169,0.932420,0.934076,0.984615,0.987611,0.985606,0.986214,7280,455,1.208942,0.664891,0.655345,0.641100,0.642348,0.718750,0.712198,0.689736,0.693719,8448,96,0
9,0.000092,98.181266,0.608324,0.893881,0.891961,0.887753,0.889676,0.476044,0.963187,0.962380,0.962662,0.962437,1.000000,1.000000,1.000000,1.000000,7280,455,1.185204,0.679332,0.659773,0.656382,0.656817,0.739583,0.712184,0.708920,0.709238,8448,96,1
10,0.000090,97.176598,0.585614,0.905095,0.903193,0.899734,0.901339,0.477423,0.959753,0.960276,0.955870,0.957791,1.000000,1.000000,1.000000,1.000000,7280,455,1.153366,0.684304,0.664538,0.654014,0.655654,0.750000,0.721016,0.710435,0.709431,8448,96,0
11,0.000087,97.967185,0.566640,0.914735,0.912853,0.910064,0.911371,0.482281,0.956868,0.956993,0.956964,0.956693,0.997802,0.998131,0.997727,0.997918,7280,455,1.278285,0.636955,0.625314,0.615720,0.616728,0.677083,0.658619,0.644931,0.647485,8448,96,0
12,0.000084,97.502860,0.548935,0.924750,0.923122,0.920611,0.921798,0.430297,0.985302,0.982986,0.985709,0.984268,1.000000,1.000000,1.000000,1.000000,7280,455,1.181707,0.679451,0.665402,0.659847,0.660781,0.739583,0.729132,0.725507,0.724387,8448,96,1
13,0.000081,97.238478,0.533913,0.932118,0.930900,0.929159,0.930000,0.426971,0.985027,0.986036,0.982413,0.984112,1.000000,1.000000,1.000000,1.000000,7280,455,1.155047,0.689631,0.671335,0.658765,0.660214,0.760417,0.749919,0.734678,0.737608,8448,96,0
14,0.000078,97.133043,0.521661,0.938262,0.936451,0.934826,0.935611,0.425906,0.986538,0.987380,0.985171,0.986215,1.000000,1.000000,1.000000,1.000000,7280,455,1.202531,0.663589,0.646297,0.635208,0.637814,0.729167,0.720014,0.707974,0.709751,8448,96,0
15,0.000074,97.447568,0.507397,0.943906,0.942878,0.941166,0.941997,0.431210,0.981593,0.980213,0.982825,0.981414,1.000000,1.000000,1.000000,1.000000,7280,455,1.261512,0.659328,0.647716,0.644015,0.643249,0.708333,0.699653,0.691091,0.691270,8448,96,0
