2026-09-12 04:43:00,946 | INFO | src.trainer.history | File logging initialized: /app/logs/sweeps/quality_search_20260911_223833/ds2_geom/ds2_geom/experiment.log
2026-09-12 04:43:00,948 | INFO | __main__ | Wrote resolved config to logs/sweeps/quality_search_20260911_223833/ds2_geom/ds2_geom/config.yaml
2026-09-12 04:43:00,948 | INFO | __main__ | Experiment started at 2026-09-12 04:43:00 save_dir=logs/sweeps/quality_search_20260911_223833/ds2_geom/ds2_geom
2026-09-12 04:43:00,949 | INFO | __main__ | Starting training device=cuda
2026-09-12 04:43:01,081 | INFO | timm.models._builder | Loading pretrained weights from Hugging Face hub (timm/fastvit_t8.apple_in1k)
2026-09-12 04:43:01,289 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/timm/fastvit_t8.apple_in1k/resolve/main/model.safetensors "HTTP/1.1 302 Found"
2026-09-12 04:43:01,291 | INFO | timm.models._hub | [timm/fastvit_t8.apple_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2026-09-12 04:43:01,314 | INFO | timm.models._builder | Converted input conv stem.0.conv_kxk.0.conv pretrained weights from 3 to 1 channel(s)
2026-09-12 04:43:01,314 | INFO | timm.models._builder | Converted input conv stem.0.conv_scale.conv pretrained weights from 3 to 1 channel(s)
2026-09-12 04:43:01,327 | INFO | timm.models._builder | Missing keys (head.fc.weight, head.fc.bias) discovered while loading pretrained weights. This is expected if model is being adapted.
2026-09-12 04:43:01,344 | INFO | __main__ | Train TexturePatchDataset(images=449, patches=31430, active=31430, patch_size=224, overlap=0.5, downscale=2.0)
2026-09-12 04:43:01,344 | INFO | __main__ | Val TexturePatchDataset(images=76, patches=5320, active=5320, patch_size=224, overlap=0.5, downscale=2.0)
2026-09-12 04:43:01,344 | INFO | __main__ | Test TexturePatchDataset(images=129, patches=9030, active=9030, patch_size=224, overlap=0.5, downscale=2.0)
2026-09-12 04:43:01,344 | INFO | __main__ | Split counts {'train': {'images': 449, 'groups': 51}, 'val': {'images': 76, 'groups': 9}, 'test': {'images': 129, 'groups': 15}} group_by=sample
2026-09-12 04:43:01,344 | INFO | __main__ | Using class distribution {0: 103, 1: 105, 2: 91, 3: 94, 4: 56} with weights [0.9162, 0.9074, 0.9747, 0.9591, 1.2426]
2026-09-12 04:43:01,350 | INFO | src.trainer.trainer | Starting training for 60 epochs on cuda (selection=val_f1, eval_test=end)
2026-09-12 04:43:01,350 | INFO | src.trainer.trainer | Epoch 1/60 learning rate set to 0.0001
2026-09-12 04:44:24,312 | INFO | src.trainer.trainer | Epoch 1/60 train_loss=1.374649
2026-09-12 04:44:28,824 | INFO | src.trainer.trainer | Epoch 1: new best val_f1 0.2580, saved logs/sweeps/quality_search_20260911_223833/ds2_geom/ds2_geom/model_best.pt
2026-09-12 04:44:28,825 | INFO | src.trainer.history | Epoch 1 metrics saved at 2026-09-12 04:44:28: {'train_loss': 1.3746485375538777, 'lr': 0.0001, 'val_loss': 1.6008227486359445, 'val_accuracy': 0.3206766917293233, 'val_precision': 0.27380808652697464, 'val_recall': 0.27341830065359474, 'val_f1': 0.25802503946914357, 'val_image_accuracy': 0.2894736842105263, 'val_image_precision': 0.2347950310559006, 'val_image_recall': 0.24810457516339873, 'val_image_f1': 0.22909599494965346}
2026-09-12 04:44:28,825 | INFO | src.trainer.trainer | Epoch 1/60 val_f1=0.25802503946914357 val_image_f1=0.22909599494965346
2026-09-12 04:44:28,825 | INFO | src.trainer.trainer | Epoch 2/60 learning rate set to 9.99362e-05
2026-09-12 04:45:52,259 | INFO | src.trainer.trainer | Epoch 2/60 train_loss=1.174458
2026-09-12 04:45:56,830 | INFO | src.trainer.trainer | Epoch 2: new best val_f1 0.2660, saved logs/sweeps/quality_search_20260911_223833/ds2_geom/ds2_geom/model_best.pt
2026-09-12 04:45:56,832 | INFO | src.trainer.history | Epoch 2 metrics saved at 2026-09-12 04:45:56: {'train_loss': 1.1744583335910448, 'lr': 9.993622130545428e-05, 'val_loss': 1.7521237081154846, 'val_accuracy': 0.30488721804511276, 'val_precision': 0.287569726563729, 'val_recall': 0.26195611577964517, 'val_f1': 0.2660495016269989, 'val_image_accuracy': 0.32894736842105265, 'val_image_precision': 0.29058061821219716, 'val_image_recall': 0.2805228758169934, 'val_image_f1': 0.27367846798593554}
2026-09-12 04:45:56,832 | INFO | src.trainer.trainer | Epoch 2/60 val_f1=0.2660495016269989 val_image_f1=0.27367846798593554
2026-09-12 04:45:56,832 | INFO | src.trainer.trainer | Epoch 3/60 learning rate set to 9.97451e-05
2026-09-12 04:47:19,221 | INFO | src.trainer.trainer | Epoch 3/60 train_loss=1.010728
