2026-09-12 06:08:47,606 | INFO | src.trainer.history | File logging initialized: /app/logs/sweeps/quality_search_20260911_223833/ds2_geom_lr3e5/ds2_geom_lr3e5/experiment.log
2026-09-12 06:08:47,609 | INFO | __main__ | Wrote resolved config to logs/sweeps/quality_search_20260911_223833/ds2_geom_lr3e5/ds2_geom_lr3e5/config.yaml
2026-09-12 06:08:47,609 | INFO | __main__ | Experiment started at 2026-09-12 06:08:47 save_dir=logs/sweeps/quality_search_20260911_223833/ds2_geom_lr3e5/ds2_geom_lr3e5
2026-09-12 06:08:47,609 | INFO | __main__ | Starting training device=cuda
2026-09-12 06:08:47,899 | INFO | timm.models._builder | Loading pretrained weights from Hugging Face hub (timm/fastvit_t8.apple_in1k)
2026-09-12 06:08:48,152 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/timm/fastvit_t8.apple_in1k/resolve/main/model.safetensors "HTTP/1.1 302 Found"
2026-09-12 06:08:48,155 | INFO | timm.models._hub | [timm/fastvit_t8.apple_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2026-09-12 06:08:48,179 | INFO | timm.models._builder | Converted input conv stem.0.conv_kxk.0.conv pretrained weights from 3 to 1 channel(s)
2026-09-12 06:08:48,179 | INFO | timm.models._builder | Converted input conv stem.0.conv_scale.conv pretrained weights from 3 to 1 channel(s)
2026-09-12 06:08:48,193 | INFO | timm.models._builder | Missing keys (head.fc.weight, head.fc.bias) discovered while loading pretrained weights. This is expected if model is being adapted.
2026-09-12 06:08:48,209 | INFO | __main__ | Train TexturePatchDataset(images=449, patches=31430, active=31430, patch_size=224, overlap=0.5, downscale=2.0)
2026-09-12 06:08:48,209 | INFO | __main__ | Val TexturePatchDataset(images=76, patches=5320, active=5320, patch_size=224, overlap=0.5, downscale=2.0)
2026-09-12 06:08:48,209 | INFO | __main__ | Test TexturePatchDataset(images=129, patches=9030, active=9030, patch_size=224, overlap=0.5, downscale=2.0)
2026-09-12 06:08:48,209 | INFO | __main__ | Split counts {'train': {'images': 449, 'groups': 51}, 'val': {'images': 76, 'groups': 9}, 'test': {'images': 129, 'groups': 15}} group_by=sample
2026-09-12 06:08:48,210 | INFO | __main__ | Using class distribution {0: 103, 1: 105, 2: 91, 3: 94, 4: 56} with weights [0.9162, 0.9074, 0.9747, 0.9591, 1.2426]
2026-09-12 06:08:48,216 | INFO | src.trainer.trainer | Starting training for 60 epochs on cuda (selection=val_f1, eval_test=end)
2026-09-12 06:08:48,216 | INFO | src.trainer.trainer | Epoch 1/60 learning rate set to 3e-05
2026-09-12 06:10:10,989 | INFO | src.trainer.trainer | Epoch 1/60 train_loss=1.473664
2026-09-12 06:10:15,528 | INFO | src.trainer.trainer | Epoch 1: new best val_f1 0.3115, saved logs/sweeps/quality_search_20260911_223833/ds2_geom_lr3e5/ds2_geom_lr3e5/model_best.pt
2026-09-12 06:10:15,529 | INFO | src.trainer.history | Epoch 1 metrics saved at 2026-09-12 06:10:15: {'train_loss': 1.4736643524030344, 'lr': 2.9999999999999997e-05, 'val_loss': 1.4352904316177941, 'val_accuracy': 0.418796992481203, 'val_precision': 0.3405541463024838, 'val_recall': 0.358422035480859, 'val_f1': 0.31154152927497725, 'val_image_accuracy': 0.42105263157894735, 'val_image_precision': 0.349393665158371, 'val_image_recall': 0.3591503267973856, 'val_image_f1': 0.312987012987013}
2026-09-12 06:10:15,529 | INFO | src.trainer.trainer | Epoch 1/60 val_f1=0.31154152927497725 val_image_f1=0.312987012987013
2026-09-12 06:10:15,529 | INFO | src.trainer.trainer | Epoch 2/60 learning rate set to 2.99858e-05
2026-09-12 06:11:38,364 | INFO | src.trainer.trainer | Epoch 2/60 train_loss=1.320239
2026-09-12 06:11:42,808 | INFO | src.trainer.history | Epoch 2 metrics saved at 2026-09-12 06:11:42: {'train_loss': 1.3202390414227962, 'lr': 2.9985826956767615e-05, 'val_loss': 1.6236150372297244, 'val_accuracy': 0.299812030075188, 'val_precision': 0.24298138522145338, 'val_recall': 0.25669187675070027, 'val_f1': 0.23098424005371684, 'val_image_accuracy': 0.32894736842105265, 'val_image_precision': 0.2533910533910534, 'val_image_recall': 0.2820915032679739, 'val_image_f1': 0.24285147257283474}
2026-09-12 06:11:42,808 | INFO | src.trainer.trainer | Epoch 2/60 val_f1=0.23098424005371684 val_image_f1=0.24285147257283474
2026-09-12 06:11:42,808 | INFO | src.trainer.trainer | Epoch 3/60 learning rate set to 2.99433e-05
2026-09-12 06:13:05,514 | INFO | src.trainer.trainer | Epoch 3/60 train_loss=1.238395
2026-09-12 06:13:09,956 | INFO | src.trainer.history | Epoch 3 metrics saved at 2026-09-12 06:13:09: {'train_loss': 1.23839457676815, 'lr': 2.9943348002101373e-05, 'val_loss': 1.6218860332230876, 'val_accuracy': 0.34097744360902255, 'val_precision': 0.28542604189946486, 'val_recall': 0.29777964519140987, 'val_f1': 0.26360168820167507, 'val_image_accuracy': 0.35526315789473684, 'val_image_precision': 0.26696969696969697, 'val_image_recall': 0.3001307189542483, 'val_image_f1': 0.2583087288969642}
2026-09-12 06:13:09,957 | INFO | src.trainer.trainer | Epoch 3/60 val_f1=0.26360168820167507 val_image_f1=0.2583087288969642
2026-09-12 06:13:09,957 | INFO | src.trainer.trainer | Epoch 4/60 learning rate set to 2.98727e-05
2026-09-12 06:14:32,246 | INFO | src.trainer.trainer | Epoch 4/60 train_loss=1.176810
2026-09-12 06:14:36,702 | INFO | src.trainer.history | Epoch 4 metrics saved at 2026-09-12 06:14:36: {'train_loss': 1.1768099364299818, 'lr': 2.987268354721344e-05, 'val_loss': 1.6084989395356717, 'val_accuracy': 0.35150375939849626, 'val_precision': 0.2858706812732047, 'val_recall': 0.30535760971055087, 'val_f1': 0.28507236024640115, 'val_image_accuracy': 0.3684210526315789, 'val_image_precision': 0.2751048951048951, 'val_image_recall': 0.31143790849673203, 'val_image_f1': 0.28311739181304396}
2026-09-12 06:14:36,702 | INFO | src.trainer.trainer | Epoch 4/60 val_f1=0.28507236024640115 val_image_f1=0.28311739181304396
2026-09-12 06:14:36,703 | INFO | src.trainer.trainer | Epoch 5/60 learning rate set to 2.9774e-05
2026-09-12 06:15:59,405 | INFO | src.trainer.trainer | Epoch 5/60 train_loss=1.125430
2026-09-12 06:16:03,856 | INFO | src.trainer.history | Epoch 5 metrics saved at 2026-09-12 06:16:03: {'train_loss': 1.1254303698626211, 'lr': 2.9774033898178667e-05, 'val_loss': 1.6585362273051327, 'val_accuracy': 0.3518796992481203, 'val_precision': 0.2987994657150936, 'val_recall': 0.30899906629318397, 'val_f1': 0.28934921304623507, 'val_image_accuracy': 0.39473684210526316, 'val_image_precision': 0.33413623413623417, 'val_image_recall': 0.33562091503267977, 'val_image_f1': 0.3165412748171369}
2026-09-12 06:16:03,856 | INFO | src.trainer.trainer | Epoch 5/60 val_f1=0.28934921304623507 val_image_f1=0.3165412748171369
2026-09-12 06:16:03,856 | INFO | src.trainer.trainer | Epoch 6/60 learning rate set to 2.96477e-05
2026-09-12 06:17:26,854 | INFO | src.trainer.trainer | Epoch 6/60 train_loss=1.074240
2026-09-12 06:17:31,360 | INFO | src.trainer.history | Epoch 6 metrics saved at 2026-09-12 06:17:31: {'train_loss': 1.0742403038512207, 'lr': 2.9647678688145162e-05, 'val_loss': 1.8990007959810415, 'val_accuracy': 0.256203007518797, 'val_precision': 0.2471606081984825, 'val_recall': 0.23432306255835664, 'val_f1': 0.22256792938492498, 'val_image_accuracy': 0.25, 'val_image_precision': 0.16954887218045114, 'val_image_recall': 0.21699346405228762, 'val_image_f1': 0.18810810810810813}
2026-09-12 06:17:31,360 | INFO | src.trainer.trainer | Epoch 6/60 val_f1=0.22256792938492498 val_image_f1=0.18810810810810813
2026-09-12 06:17:31,360 | INFO | src.trainer.trainer | Epoch 7/60 learning rate set to 2.9494e-05
2026-09-12 06:18:54,313 | INFO | src.trainer.trainer | Epoch 7/60 train_loss=1.036611
2026-09-12 06:18:58,804 | INFO | src.trainer.history | Epoch 7 metrics saved at 2026-09-12 06:18:58: {'train_loss': 1.036611078667709, 'lr': 2.9493976084683813e-05, 'val_loss': 1.6739392441914493, 'val_accuracy': 0.35582706766917294, 'val_precision': 0.29101704377832766, 'val_recall': 0.31218580765639586, 'val_f1': 0.2804874832017654, 'val_image_accuracy': 0.34210526315789475, 'val_image_precision': 0.25866666666666666, 'val_image_recall': 0.29385620915032684, 'val_image_f1': 0.25646136808927505}
2026-09-12 06:18:58,805 | INFO | src.trainer.trainer | Epoch 7/60 val_f1=0.2804874832017654 val_image_f1=0.25646136808927505
2026-09-12 06:18:58,805 | INFO | src.trainer.trainer | Epoch 8/60 learning rate set to 2.93134e-05
2026-09-12 06:20:22,162 | INFO | src.trainer.trainer | Epoch 8/60 train_loss=0.995671
