2026-09-12 05:54:24,352 | INFO | src.trainer.history | File logging initialized: /app/logs/sweeps/quality_search_20260911_223833/ds2_geom_overlap0/ds2_geom_overlap0/experiment.log
2026-09-12 05:54:24,355 | INFO | __main__ | Wrote resolved config to logs/sweeps/quality_search_20260911_223833/ds2_geom_overlap0/ds2_geom_overlap0/config.yaml
2026-09-12 05:54:24,355 | INFO | __main__ | Experiment started at 2026-09-12 05:54:24 save_dir=logs/sweeps/quality_search_20260911_223833/ds2_geom_overlap0/ds2_geom_overlap0
2026-09-12 05:54:24,355 | INFO | __main__ | Starting training device=cuda
2026-09-12 05:54:24,508 | INFO | timm.models._builder | Loading pretrained weights from Hugging Face hub (timm/fastvit_t8.apple_in1k)
2026-09-12 05:54:24,764 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/timm/fastvit_t8.apple_in1k/resolve/main/model.safetensors "HTTP/1.1 302 Found"
2026-09-12 05:54:24,766 | INFO | timm.models._hub | [timm/fastvit_t8.apple_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2026-09-12 05:54:24,787 | INFO | timm.models._builder | Converted input conv stem.0.conv_kxk.0.conv pretrained weights from 3 to 1 channel(s)
2026-09-12 05:54:24,788 | INFO | timm.models._builder | Converted input conv stem.0.conv_scale.conv pretrained weights from 3 to 1 channel(s)
2026-09-12 05:54:24,801 | INFO | timm.models._builder | Missing keys (head.fc.weight, head.fc.bias) discovered while loading pretrained weights. This is expected if model is being adapted.
2026-09-12 05:54:24,818 | INFO | __main__ | Train TexturePatchDataset(images=449, patches=10776, active=10776, patch_size=224, overlap=0.0, downscale=2.0)
2026-09-12 05:54:24,818 | INFO | __main__ | Val TexturePatchDataset(images=76, patches=1824, active=1824, patch_size=224, overlap=0.0, downscale=2.0)
2026-09-12 05:54:24,818 | INFO | __main__ | Test TexturePatchDataset(images=129, patches=3096, active=3096, patch_size=224, overlap=0.0, downscale=2.0)
2026-09-12 05:54:24,818 | INFO | __main__ | Split counts {'train': {'images': 449, 'groups': 51}, 'val': {'images': 76, 'groups': 9}, 'test': {'images': 129, 'groups': 15}} group_by=sample
2026-09-12 05:54:24,819 | INFO | __main__ | Using class distribution {0: 103, 1: 105, 2: 91, 3: 94, 4: 56} with weights [0.9162, 0.9074, 0.9747, 0.9591, 1.2426]
2026-09-12 05:54:24,824 | INFO | src.trainer.trainer | Starting training for 60 epochs on cuda (selection=val_f1, eval_test=end)
2026-09-12 05:54:24,825 | INFO | src.trainer.trainer | Epoch 1/60 learning rate set to 0.0001
2026-09-12 05:54:54,584 | INFO | src.trainer.trainer | Epoch 1/60 train_loss=1.489842
2026-09-12 05:54:56,450 | INFO | src.trainer.trainer | Epoch 1: new best val_f1 0.2691, saved logs/sweeps/quality_search_20260911_223833/ds2_geom_overlap0/ds2_geom_overlap0/model_best.pt
2026-09-12 05:54:56,451 | INFO | src.trainer.history | Epoch 1 metrics saved at 2026-09-12 05:54:56: {'train_loss': 1.4898416034008894, 'lr': 0.0001, 'val_loss': 1.448393754791795, 'val_accuracy': 0.3536184210526316, 'val_precision': 0.29701988645820243, 'val_recall': 0.3014869281045752, 'val_f1': 0.26908772795169533, 'val_image_accuracy': 0.42105263157894735, 'val_image_precision': 0.36724565756823824, 'val_image_recall': 0.3584967320261438, 'val_image_f1': 0.3267375415282392}
2026-09-12 05:54:56,451 | INFO | src.trainer.trainer | Epoch 1/60 val_f1=0.26908772795169533 val_image_f1=0.3267375415282392
2026-09-12 05:54:56,451 | INFO | src.trainer.trainer | Epoch 2/60 learning rate set to 9.99362e-05
2026-09-12 05:55:26,288 | INFO | src.trainer.trainer | Epoch 2/60 train_loss=1.352597
2026-09-12 05:55:28,197 | INFO | src.trainer.trainer | Epoch 2: new best val_f1 0.2874, saved logs/sweeps/quality_search_20260911_223833/ds2_geom_overlap0/ds2_geom_overlap0/model_best.pt
2026-09-12 05:55:28,198 | INFO | src.trainer.history | Epoch 2 metrics saved at 2026-09-12 05:55:28: {'train_loss': 1.3525969675937757, 'lr': 9.993622130545428e-05, 'val_loss': 1.513053740325727, 'val_accuracy': 0.36403508771929827, 'val_precision': 0.29076448836813124, 'val_recall': 0.31025599128540304, 'val_f1': 0.28741583999356, 'val_image_accuracy': 0.34210526315789475, 'val_image_precision': 0.27656565656565657, 'val_image_recall': 0.2903267973856209, 'val_image_f1': 0.2624576787236634}
2026-09-12 05:55:28,198 | INFO | src.trainer.trainer | Epoch 2/60 val_f1=0.28741583999356 val_image_f1=0.2624576787236634
2026-09-12 05:55:28,198 | INFO | src.trainer.trainer | Epoch 3/60 learning rate set to 9.97451e-05
2026-09-12 05:55:58,062 | INFO | src.trainer.trainer | Epoch 3/60 train_loss=1.267611
2026-09-12 05:55:59,839 | INFO | src.trainer.history | Epoch 3 metrics saved at 2026-09-12 05:55:59: {'train_loss': 1.2676110013644608, 'lr': 9.974506600945618e-05, 'val_loss': 1.5633867931993384, 'val_accuracy': 0.33771929824561403, 'val_precision': 0.3169355345857535, 'val_recall': 0.28592864923747274, 'val_f1': 0.27608826827083355, 'val_image_accuracy': 0.3157894736842105, 'val_image_precision': 0.28673992673992676, 'val_image_recall': 0.2679084967320261, 'val_image_f1': 0.2544444444444444}
2026-09-12 05:55:59,839 | INFO | src.trainer.trainer | Epoch 3/60 val_f1=0.27608826827083355 val_image_f1=0.2544444444444444
2026-09-12 05:55:59,840 | INFO | src.trainer.trainer | Epoch 4/60 learning rate set to 9.94271e-05
2026-09-12 05:56:29,650 | INFO | src.trainer.trainer | Epoch 4/60 train_loss=1.218505
