2026-09-13 00:57:21,444 | INFO | src.trainer.history | File logging initialized: /app/logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025/experiment.log
2026-09-13 00:57:21,447 | INFO | __main__ | Wrote resolved config to logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025/config.yaml
2026-09-13 00:57:21,447 | INFO | __main__ | Experiment started at 2026-09-13 00:57:21 save_dir=logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025
2026-09-13 00:57:21,448 | INFO | __main__ | Starting training device=cuda
2026-09-13 00:57:21,639 | INFO | timm.models._builder | Loading pretrained weights from Hugging Face hub (timm/fastvit_t8.apple_in1k)
2026-09-13 00:57:21,910 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/timm/fastvit_t8.apple_in1k/resolve/main/model.safetensors "HTTP/1.1 302 Found"
2026-09-13 00:57:21,913 | INFO | timm.models._hub | [timm/fastvit_t8.apple_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2026-09-13 00:57:21,933 | INFO | timm.models._builder | Converted input conv stem.0.conv_kxk.0.conv pretrained weights from 3 to 1 channel(s)
2026-09-13 00:57:21,933 | INFO | timm.models._builder | Converted input conv stem.0.conv_scale.conv pretrained weights from 3 to 1 channel(s)
2026-09-13 00:57:21,947 | INFO | timm.models._builder | Missing keys (head.fc.weight, head.fc.bias) discovered while loading pretrained weights. This is expected if model is being adapted.
2026-09-13 00:57:21,963 | INFO | __main__ | Train TexturePatchDataset(images=449, patches=134700, active=33675, patch_size=224, overlap=0.5, downscale=1.0)
2026-09-13 00:57:21,963 | INFO | __main__ | Val TexturePatchDataset(images=76, patches=22800, active=22800, patch_size=224, overlap=0.5, downscale=1.0)
2026-09-13 00:57:21,963 | INFO | __main__ | Test TexturePatchDataset(images=129, patches=38700, active=38700, patch_size=224, overlap=0.5, downscale=1.0)
2026-09-13 00:57:21,963 | INFO | __main__ | Split counts {'train': {'images': 449, 'groups': 51}, 'val': {'images': 76, 'groups': 9}, 'test': {'images': 129, 'groups': 15}} group_by=sample
2026-09-13 00:57:21,964 | INFO | __main__ | Using class distribution {0: 103, 1: 105, 2: 91, 3: 94, 4: 56} with weights [0.9162, 0.9074, 0.9747, 0.9591, 1.2426]
2026-09-13 00:57:21,966 | INFO | __main__ | Optimizer groups [{'lr': 0.0001, 'n_params': 3260117}]
2026-09-13 00:57:21,970 | INFO | src.trainer.trainer | Starting training for 60 epochs on cuda (selection=val_f1, eval_test=end)
2026-09-13 00:57:21,970 | INFO | src.trainer.trainer | Epoch 1/60 learning rate set to 0.0001
2026-09-13 00:59:21,046 | INFO | src.trainer.trainer | Epoch 1/60 train_loss=1.303653
2026-09-13 00:59:39,073 | INFO | src.trainer.trainer | Epoch 1: new best val_f1 0.3776, saved logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025/model_best.pt
2026-09-13 00:59:39,074 | INFO | src.trainer.history | Epoch 1 metrics saved at 2026-09-13 00:59:39: {'train_loss': 1.3036532073739553, 'lr': 0.0001, 'val_loss': 1.3882708209753036, 'val_accuracy': 0.48521929824561405, 'val_precision': 0.4027062859717712, 'val_recall': 0.4184285403050108, 'val_f1': 0.377555028935639, 'val_image_accuracy': 0.5131578947368421, 'val_image_precision': 0.43257142857142855, 'val_image_recall': 0.4417647058823529, 'val_image_f1': 0.40318840579710147}
2026-09-13 00:59:39,074 | INFO | src.trainer.trainer | Epoch 1/60 val_f1=0.377555028935639 val_image_f1=0.40318840579710147
2026-09-13 00:59:39,074 | INFO | src.trainer.trainer | Epoch 2/60 learning rate set to 9.99362e-05
2026-09-13 01:01:38,050 | INFO | src.trainer.trainer | Epoch 2/60 train_loss=1.082341
2026-09-13 01:01:56,013 | INFO | src.trainer.history | Epoch 2 metrics saved at 2026-09-13 01:01:56: {'train_loss': 1.082340630079608, 'lr': 9.993622130545428e-05, 'val_loss': 1.533879738084057, 'val_accuracy': 0.44570175438596493, 'val_precision': 0.41309586583881075, 'val_recall': 0.383858605664488, 'val_f1': 0.34956065286531773, 'val_image_accuracy': 0.47368421052631576, 'val_image_precision': 0.440952380952381, 'val_image_recall': 0.40823529411764714, 'val_image_f1': 0.3666849092936049}
2026-09-13 01:01:56,014 | INFO | src.trainer.trainer | Epoch 2/60 val_f1=0.34956065286531773 val_image_f1=0.3666849092936049
2026-09-13 01:01:56,014 | INFO | src.trainer.trainer | Epoch 3/60 learning rate set to 9.97451e-05
2026-09-13 01:03:53,859 | INFO | src.trainer.trainer | Epoch 3/60 train_loss=1.003662
2026-09-13 01:04:11,819 | INFO | src.trainer.history | Epoch 3 metrics saved at 2026-09-13 01:04:11: {'train_loss': 1.0036622542899543, 'lr': 9.974506600945618e-05, 'val_loss': 1.6093987059174923, 'val_accuracy': 0.42179824561403506, 'val_precision': 0.3289039751414744, 'val_recall': 0.36155925925925925, 'val_f1': 0.31734315524618834, 'val_image_accuracy': 0.47368421052631576, 'val_image_precision': 0.3872049689440994, 'val_image_recall': 0.4064705882352941, 'val_image_f1': 0.3503945111492281}
2026-09-13 01:04:11,819 | INFO | src.trainer.trainer | Epoch 3/60 val_f1=0.31734315524618834 val_image_f1=0.3503945111492281
2026-09-13 01:04:11,819 | INFO | src.trainer.trainer | Epoch 4/60 learning rate set to 9.94271e-05
2026-09-13 01:06:12,507 | INFO | src.trainer.trainer | Epoch 4/60 train_loss=0.942615
2026-09-13 01:06:30,490 | INFO | src.trainer.history | Epoch 4 metrics saved at 2026-09-13 01:06:30: {'train_loss': 0.9426154702030117, 'lr': 9.94270759624605e-05, 'val_loss': 1.6622237533226347, 'val_accuracy': 0.37021929824561406, 'val_precision': 0.3078111676890876, 'val_recall': 0.31763572984749455, 'val_f1': 0.30130655211763013, 'val_image_accuracy': 0.34210526315789475, 'val_image_precision': 0.2625730994152047, 'val_image_recall': 0.2925490196078432, 'val_image_f1': 0.2668803418803419}
2026-09-13 01:06:30,490 | INFO | src.trainer.trainer | Epoch 4/60 val_f1=0.30130655211763013 val_image_f1=0.2668803418803419
