2026-09-13 05:43:12,997 | INFO | src.trainer.history | File logging initialized: /app/logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg/experiment.log
2026-09-13 05:43:13,000 | INFO | __main__ | Wrote resolved config to logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg/config.yaml
2026-09-13 05:43:13,000 | INFO | __main__ | Experiment started at 2026-09-13 05:43:13 save_dir=logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg
2026-09-13 05:43:13,000 | INFO | __main__ | Starting training device=cuda
2026-09-13 05:43:13,196 | INFO | timm.models._builder | Loading pretrained weights from Hugging Face hub (timm/fastvit_t8.apple_in1k)
2026-09-13 05:43:13,400 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/timm/fastvit_t8.apple_in1k/resolve/main/model.safetensors "HTTP/1.1 302 Found"
2026-09-13 05:43:13,402 | INFO | timm.models._hub | [timm/fastvit_t8.apple_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2026-09-13 05:43:13,424 | INFO | timm.models._builder | Converted input conv stem.0.conv_kxk.0.conv pretrained weights from 3 to 1 channel(s)
2026-09-13 05:43:13,424 | INFO | timm.models._builder | Converted input conv stem.0.conv_scale.conv pretrained weights from 3 to 1 channel(s)
2026-09-13 05:43:13,438 | INFO | timm.models._builder | Missing keys (head.fc.weight, head.fc.bias) discovered while loading pretrained weights. This is expected if model is being adapted.
2026-09-13 05:43:13,454 | INFO | __main__ | Train TexturePatchDataset(images=449, patches=134700, active=33675, patch_size=224, overlap=0.5, downscale=1.0)
2026-09-13 05:43:13,454 | INFO | __main__ | Val TexturePatchDataset(images=76, patches=22800, active=22800, patch_size=224, overlap=0.5, downscale=1.0)
2026-09-13 05:43:13,454 | INFO | __main__ | Test TexturePatchDataset(images=129, patches=38700, active=38700, patch_size=224, overlap=0.5, downscale=1.0)
2026-09-13 05:43:13,454 | INFO | __main__ | Split counts {'train': {'images': 449, 'groups': 51}, 'val': {'images': 76, 'groups': 9}, 'test': {'images': 129, 'groups': 15}} group_by=sample
2026-09-13 05:43:13,455 | INFO | __main__ | Using class distribution {0: 103, 1: 105, 2: 91, 3: 94, 4: 56} with weights [0.9162, 0.9074, 0.9747, 0.9591, 1.2426]
2026-09-13 05:43:13,457 | INFO | __main__ | Optimizer groups [{'lr': 0.0001, 'n_params': 3260117}]
2026-09-13 05:43:13,461 | INFO | src.trainer.trainer | Starting training for 60 epochs on cuda (selection=val_f1, eval_test=end)
2026-09-13 05:43:13,461 | INFO | src.trainer.trainer | Epoch 1/60 learning rate set to 0.0001
2026-09-13 05:45:12,158 | INFO | src.trainer.trainer | Epoch 1/60 train_loss=1.378874
2026-09-13 05:45:30,081 | INFO | src.trainer.trainer | Epoch 1: new best val_f1 0.3268, saved logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg/model_best.pt
2026-09-13 05:45:30,083 | INFO | src.trainer.history | Epoch 1 metrics saved at 2026-09-13 05:45:30: {'train_loss': 1.3788741644241231, 'lr': 0.0001, 'val_loss': 1.3212508649993362, 'val_accuracy': 0.4274122807017544, 'val_precision': 0.3576106489396018, 'val_recall': 0.36730174291939, 'val_f1': 0.3267544064679239, 'val_image_accuracy': 0.47368421052631576, 'val_image_precision': 0.40857142857142864, 'val_image_recall': 0.40823529411764714, 'val_image_f1': 0.3618550724637681}
2026-09-13 05:45:30,083 | INFO | src.trainer.trainer | Epoch 1/60 val_f1=0.3267544064679239 val_image_f1=0.3618550724637681
2026-09-13 05:45:30,083 | INFO | src.trainer.trainer | Epoch 2/60 learning rate set to 9.99362e-05
2026-09-13 05:47:28,058 | INFO | src.trainer.trainer | Epoch 2/60 train_loss=1.143779
2026-09-13 05:47:46,054 | INFO | src.trainer.trainer | Epoch 2: new best val_f1 0.3577, saved logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg/model_best.pt
2026-09-13 05:47:46,055 | INFO | src.trainer.history | Epoch 2 metrics saved at 2026-09-13 05:47:46: {'train_loss': 1.143778556545487, 'lr': 9.993622130545428e-05, 'val_loss': 1.487669450713877, 'val_accuracy': 0.4450438596491228, 'val_precision': 0.4152273860522458, 'val_recall': 0.38424814814814817, 'val_f1': 0.3577282069656338, 'val_image_accuracy': 0.4605263157894737, 'val_image_precision': 0.42592592592592593, 'val_image_recall': 0.39888888888888896, 'val_image_f1': 0.35530691530691527}
2026-09-13 05:47:46,055 | INFO | src.trainer.trainer | Epoch 2/60 val_f1=0.3577282069656338 val_image_f1=0.35530691530691527
2026-09-13 05:47:46,055 | INFO | src.trainer.trainer | Epoch 3/60 learning rate set to 9.97451e-05
2026-09-13 05:49:44,280 | INFO | src.trainer.trainer | Epoch 3/60 train_loss=1.059199
2026-09-13 05:50:02,270 | INFO | src.trainer.history | Epoch 3 metrics saved at 2026-09-13 05:50:02: {'train_loss': 1.0591990892747285, 'lr': 9.974506600945618e-05, 'val_loss': 1.567005642066922, 'val_accuracy': 0.44710526315789473, 'val_precision': 0.3205544287313854, 'val_recall': 0.3865843137254902, 'val_f1': 0.32668069296365243, 'val_image_accuracy': 0.47368421052631576, 'val_image_precision': 0.3276190476190476, 'val_image_recall': 0.4117647058823529, 'val_image_f1': 0.3358156028368794}
2026-09-13 05:50:02,271 | INFO | src.trainer.trainer | Epoch 3/60 val_f1=0.32668069296365243 val_image_f1=0.3358156028368794
2026-09-13 05:50:02,271 | INFO | src.trainer.trainer | Epoch 4/60 learning rate set to 9.94271e-05
2026-09-13 05:52:02,373 | INFO | src.trainer.trainer | Epoch 4/60 train_loss=1.004960
2026-09-13 05:52:20,350 | INFO | src.trainer.history | Epoch 4 metrics saved at 2026-09-13 05:52:20: {'train_loss': 1.0049596155955336, 'lr': 9.94270759624605e-05, 'val_loss': 1.4748136798645322, 'val_accuracy': 0.4398684210526316, 'val_precision': 0.377388037292678, 'val_recall': 0.3800631808278867, 'val_f1': 0.3548068541704683, 'val_image_accuracy': 0.47368421052631576, 'val_image_precision': 0.37823361823361823, 'val_image_recall': 0.4106535947712418, 'val_image_f1': 0.3676279069767442}
2026-09-13 05:52:20,350 | INFO | src.trainer.trainer | Epoch 4/60 val_f1=0.3548068541704683 val_image_f1=0.3676279069767442
2026-09-13 05:52:20,350 | INFO | src.trainer.trainer | Epoch 5/60 learning rate set to 9.89832e-05
2026-09-13 05:54:20,034 | INFO | src.trainer.trainer | Epoch 5/60 train_loss=0.958545
2026-09-13 05:54:37,969 | INFO | src.trainer.history | Epoch 5 metrics saved at 2026-09-13 05:54:37: {'train_loss': 0.9585448064004038, 'lr': 9.8983152541804e-05, 'val_loss': 1.588558265995561, 'val_accuracy': 0.39210526315789473, 'val_precision': 0.34661516094607736, 'val_recall': 0.3342851851851852, 'val_f1': 0.3354905608293171, 'val_image_accuracy': 0.39473684210526316, 'val_image_precision': 0.33586956521739125, 'val_image_recall': 0.3384967320261437, 'val_image_f1': 0.3276963266618439}
2026-09-13 05:54:37,970 | INFO | src.trainer.trainer | Epoch 5/60 val_f1=0.3354905608293171 val_image_f1=0.3276963266618439
2026-09-13 05:54:37,970 | INFO | src.trainer.trainer | Epoch 6/60 learning rate set to 9.84146e-05
2026-09-13 05:56:36,409 | INFO | src.trainer.trainer | Epoch 6/60 train_loss=0.917338
2026-09-13 05:56:54,362 | INFO | src.trainer.history | Epoch 6 metrics saved at 2026-09-13 05:56:54: {'train_loss': 0.9173378008351825, 'lr': 9.841455409665323e-05, 'val_loss': 1.6469226607732605, 'val_accuracy': 0.4423245614035088, 'val_precision': 0.3752229299361819, 'val_recall': 0.3815437908496732, 'val_f1': 0.3462786241556993, 'val_image_accuracy': 0.47368421052631576, 'val_image_precision': 0.4091646191646191, 'val_image_recall': 0.41084967320261445, 'val_image_f1': 0.34973544973544973}
2026-09-13 05:56:54,363 | INFO | src.trainer.trainer | Epoch 6/60 val_f1=0.3462786241556993 val_image_f1=0.34973544973544973
2026-09-13 05:56:54,363 | INFO | src.trainer.trainer | Epoch 7/60 learning rate set to 9.77229e-05
2026-09-13 05:58:53,616 | INFO | src.trainer.trainer | Epoch 7/60 train_loss=0.890558
2026-09-13 05:59:11,698 | INFO | src.trainer.trainer | Epoch 7: new best val_f1 0.3798, saved logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg/model_best.pt
2026-09-13 05:59:11,699 | INFO | src.trainer.history | Epoch 7 metrics saved at 2026-09-13 05:59:11: {'train_loss': 0.8905582565365673, 'lr': 9.772289238107717e-05, 'val_loss': 1.540168997237557, 'val_accuracy': 0.4757456140350877, 'val_precision': 0.38646862909661056, 'val_recall': 0.41126753812636174, 'val_f1': 0.3797973511740921, 'val_image_accuracy': 0.5, 'val_image_precision': 0.3281481481481482, 'val_image_recall': 0.4359477124183007, 'val_image_f1': 0.3720634920634921}
2026-09-13 05:59:11,699 | INFO | src.trainer.trainer | Epoch 7/60 val_f1=0.3797973511740921 val_image_f1=0.3720634920634921
2026-09-13 05:59:11,700 | INFO | src.trainer.trainer | Epoch 8/60 learning rate set to 9.69101e-05
2026-09-13 06:01:10,715 | INFO | src.trainer.trainer | Epoch 8/60 train_loss=0.856395
2026-09-13 06:01:28,674 | INFO | src.trainer.history | Epoch 8 metrics saved at 2026-09-13 06:01:28: {'train_loss': 0.8563946315351909, 'lr': 9.691012798535524e-05, 'val_loss': 1.6791191695552123, 'val_accuracy': 0.3935087719298246, 'val_precision': 0.3440042590144757, 'val_recall': 0.3367788671023965, 'val_f1': 0.328021932851139, 'val_image_accuracy': 0.40789473684210525, 'val_image_precision': 0.32330503678551215, 'val_image_recall': 0.3515686274509804, 'val_image_f1': 0.3154647193777629}
2026-09-13 06:01:28,674 | INFO | src.trainer.trainer | Epoch 8/60 val_f1=0.328021932851139 val_image_f1=0.3154647193777629
2026-09-13 06:01:28,675 | INFO | src.trainer.trainer | Epoch 9/60 learning rate set to 9.59786e-05
2026-09-13 06:03:27,378 | INFO | src.trainer.trainer | Epoch 9/60 train_loss=0.833474
2026-09-13 06:03:45,314 | INFO | src.trainer.history | Epoch 9 metrics saved at 2026-09-13 06:03:45: {'train_loss': 0.8334744455447972, 'lr': 9.597856477847111e-05, 'val_loss': 1.5904021656408645, 'val_accuracy': 0.4560526315789474, 'val_precision': 0.3810600918451586, 'val_recall': 0.39327211328976036, 'val_f1': 0.3629882062654917, 'val_image_accuracy': 0.5131578947368421, 'val_image_precision': 0.4257912457912457, 'val_image_recall': 0.4448366013071895, 'val_image_f1': 0.39866666666666667}
2026-09-13 06:03:45,314 | INFO | src.trainer.trainer | Epoch 9/60 val_f1=0.3629882062654917 val_image_f1=0.39866666666666667
2026-09-13 06:03:45,314 | INFO | src.trainer.trainer | Epoch 10/60 learning rate set to 9.49308e-05
2026-09-13 06:05:44,834 | INFO | src.trainer.trainer | Epoch 10/60 train_loss=0.807093
2026-09-13 06:06:02,762 | INFO | src.trainer.history | Epoch 10 metrics saved at 2026-09-13 06:06:02: {'train_loss': 0.8070927559099289, 'lr': 9.493084337754573e-05, 'val_loss': 1.6646075992103209, 'val_accuracy': 0.4388157894736842, 'val_precision': 0.37556478679953, 'val_recall': 0.3850910675381264, 'val_f1': 0.3630960219003745, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.4067449791587722, 'val_image_recall': 0.42150326797385623, 'val_image_f1': 0.39243944461335767}
2026-09-13 06:06:02,762 | INFO | src.trainer.trainer | Epoch 10/60 val_f1=0.3630960219003745 val_image_f1=0.39243944461335767
2026-09-13 06:06:02,762 | INFO | src.trainer.trainer | Epoch 11/60 learning rate set to 9.37699e-05
