2026-09-13 07:49:12,925 | INFO | src.trainer.history | File logging initialized: /app/logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg_bb/experiment.log
2026-09-13 07:49:12,928 | INFO | __main__ | Wrote resolved config to logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg_bb/config.yaml
2026-09-13 07:49:12,928 | INFO | __main__ | Experiment started at 2026-09-13 07:49:12 save_dir=logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg_bb
2026-09-13 07:49:12,928 | INFO | __main__ | Starting training device=cuda
2026-09-13 07:49:13,126 | INFO | timm.models._builder | Loading pretrained weights from Hugging Face hub (timm/fastvit_t8.apple_in1k)
2026-09-13 07:49:13,384 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/timm/fastvit_t8.apple_in1k/resolve/main/model.safetensors "HTTP/1.1 302 Found"
2026-09-13 07:49:13,386 | INFO | timm.models._hub | [timm/fastvit_t8.apple_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2026-09-13 07:49:13,408 | INFO | timm.models._builder | Converted input conv stem.0.conv_kxk.0.conv pretrained weights from 3 to 1 channel(s)
2026-09-13 07:49:13,408 | INFO | timm.models._builder | Converted input conv stem.0.conv_scale.conv pretrained weights from 3 to 1 channel(s)
2026-09-13 07:49:13,422 | INFO | timm.models._builder | Missing keys (head.fc.weight, head.fc.bias) discovered while loading pretrained weights. This is expected if model is being adapted.
2026-09-13 07:49:13,437 | INFO | __main__ | Train TexturePatchDataset(images=449, patches=134700, active=33675, patch_size=224, overlap=0.5, downscale=1.0)
2026-09-13 07:49:13,437 | INFO | __main__ | Val TexturePatchDataset(images=76, patches=22800, active=22800, patch_size=224, overlap=0.5, downscale=1.0)
2026-09-13 07:49:13,437 | INFO | __main__ | Test TexturePatchDataset(images=129, patches=38700, active=38700, patch_size=224, overlap=0.5, downscale=1.0)
2026-09-13 07:49:13,437 | INFO | __main__ | Split counts {'train': {'images': 449, 'groups': 51}, 'val': {'images': 76, 'groups': 9}, 'test': {'images': 129, 'groups': 15}} group_by=sample
2026-09-13 07:49:13,438 | INFO | __main__ | Using class distribution {0: 103, 1: 105, 2: 91, 3: 94, 4: 56} with weights [0.9162, 0.9074, 0.9747, 0.9591, 1.2426]
2026-09-13 07:49:13,440 | INFO | __main__ | Optimizer groups [{'lr': 1e-05, 'n_params': 3256272}, {'lr': 0.0001, 'n_params': 3845}]
2026-09-13 07:49:13,444 | INFO | src.trainer.trainer | Starting training for 60 epochs on cuda (selection=val_f1, eval_test=end)
2026-09-13 07:49:13,444 | INFO | src.trainer.trainer | Epoch 1/60 learning rate set to 0.0001
2026-09-13 07:51:12,911 | INFO | src.trainer.trainer | Epoch 1/60 train_loss=1.603898
2026-09-13 07:51:30,842 | INFO | src.trainer.trainer | Epoch 1: new best val_f1 0.2438, saved logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg_bb/model_best.pt
2026-09-13 07:51:30,844 | INFO | src.trainer.history | Epoch 1 metrics saved at 2026-09-13 07:51:30: {'train_loss': 1.6038976101673525, 'lr': 0.0001, 'val_loss': 1.4194560772912543, 'val_accuracy': 0.361140350877193, 'val_precision': 0.33667387124919307, 'val_recall': 0.3105688453159042, 'val_f1': 0.24379759085896907, 'val_image_accuracy': 0.35526315789473684, 'val_image_precision': 0.3610169491525424, 'val_image_recall': 0.30588235294117644, 'val_image_f1': 0.22593433730954954}
2026-09-13 07:51:30,844 | INFO | src.trainer.trainer | Epoch 1/60 val_f1=0.24379759085896907 val_image_f1=0.22593433730954954
2026-09-13 07:51:30,844 | INFO | src.trainer.trainer | Epoch 2/60 learning rate set to 9.99362e-05
2026-09-13 07:53:30,189 | INFO | src.trainer.trainer | Epoch 2/60 train_loss=1.429994
2026-09-13 07:53:48,188 | INFO | src.trainer.trainer | Epoch 2: new best val_f1 0.3553, saved logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg_bb/model_best.pt
2026-09-13 07:53:48,191 | INFO | src.trainer.history | Epoch 2 metrics saved at 2026-09-13 07:53:48: {'train_loss': 1.4299939533508346, 'lr': 9.993622130545428e-05, 'val_loss': 1.2877832728938052, 'val_accuracy': 0.4675877192982456, 'val_precision': 0.3946439111788033, 'val_recall': 0.40167603485838776, 'val_f1': 0.3552681765845943, 'val_image_accuracy': 0.5263157894736842, 'val_image_precision': 0.4619437619437619, 'val_image_recall': 0.45352941176470585, 'val_image_f1': 0.40783216783216786}
2026-09-13 07:53:48,191 | INFO | src.trainer.trainer | Epoch 2/60 val_f1=0.3552681765845943 val_image_f1=0.40783216783216786
2026-09-13 07:53:48,191 | INFO | src.trainer.trainer | Epoch 3/60 learning rate set to 9.97451e-05
2026-09-13 07:55:47,130 | INFO | src.trainer.trainer | Epoch 3/60 train_loss=1.353319
2026-09-13 07:56:05,211 | INFO | src.trainer.trainer | Epoch 3: new best val_f1 0.3774, saved logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg_bb/model_best.pt
2026-09-13 07:56:05,214 | INFO | src.trainer.history | Epoch 3 metrics saved at 2026-09-13 07:56:05: {'train_loss': 1.3533192219022654, 'lr': 9.974506600945618e-05, 'val_loss': 1.25656196753184, 'val_accuracy': 0.47960526315789476, 'val_precision': 0.39116159191350397, 'val_recall': 0.4090960784313726, 'val_f1': 0.3773909236198993, 'val_image_accuracy': 0.5263157894736842, 'val_image_precision': 0.4318181818181818, 'val_image_recall': 0.45176470588235296, 'val_image_f1': 0.4154119964366643}
2026-09-13 07:56:05,214 | INFO | src.trainer.trainer | Epoch 3/60 val_f1=0.3773909236198993 val_image_f1=0.4154119964366643
2026-09-13 07:56:05,215 | INFO | src.trainer.trainer | Epoch 4/60 learning rate set to 9.94271e-05
2026-09-13 07:58:04,731 | INFO | src.trainer.trainer | Epoch 4/60 train_loss=1.297141
2026-09-13 07:58:22,767 | INFO | src.trainer.trainer | Epoch 4: new best val_f1 0.3812, saved logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg_bb/model_best.pt
2026-09-13 07:58:22,769 | INFO | src.trainer.history | Epoch 4 metrics saved at 2026-09-13 07:58:22: {'train_loss': 1.2971405986227986, 'lr': 9.94270759624605e-05, 'val_loss': 1.2453769971613298, 'val_accuracy': 0.49179824561403507, 'val_precision': 0.4077743161475687, 'val_recall': 0.42181241830065364, 'val_f1': 0.381204358190458, 'val_image_accuracy': 0.5394736842105263, 'val_image_precision': 0.4666666666666667, 'val_image_recall': 0.4635294117647059, 'val_image_f1': 0.42745197168857435}
2026-09-13 07:58:22,769 | INFO | src.trainer.trainer | Epoch 4/60 val_f1=0.381204358190458 val_image_f1=0.42745197168857435
2026-09-13 07:58:22,769 | INFO | src.trainer.trainer | Epoch 5/60 learning rate set to 9.89832e-05
2026-09-13 08:00:22,157 | INFO | src.trainer.trainer | Epoch 5/60 train_loss=1.260648
2026-09-13 08:00:40,076 | INFO | src.trainer.history | Epoch 5 metrics saved at 2026-09-13 08:00:40: {'train_loss': 1.2606478089514537, 'lr': 9.8983152541804e-05, 'val_loss': 1.2787792802693552, 'val_accuracy': 0.4800877192982456, 'val_precision': 0.3953350999365911, 'val_recall': 0.41182701525054466, 'val_f1': 0.37322943919667323, 'val_image_accuracy': 0.5657894736842105, 'val_image_precision': 0.5029304029304029, 'val_image_recall': 0.4870588235294118, 'val_image_f1': 0.45342096393663633}
2026-09-13 08:00:40,077 | INFO | src.trainer.trainer | Epoch 5/60 val_f1=0.37322943919667323 val_image_f1=0.45342096393663633
2026-09-13 08:00:40,077 | INFO | src.trainer.trainer | Epoch 6/60 learning rate set to 9.84146e-05
2026-09-13 08:02:37,145 | INFO | src.trainer.trainer | Epoch 6/60 train_loss=1.226649
2026-09-13 08:02:55,031 | INFO | src.trainer.history | Epoch 6 metrics saved at 2026-09-13 08:02:55: {'train_loss': 1.2266487335857852, 'lr': 9.841455409665323e-05, 'val_loss': 1.3027325042507105, 'val_accuracy': 0.46210526315789474, 'val_precision': 0.3913176021758303, 'val_recall': 0.39670980392156857, 'val_f1': 0.35585826876084214, 'val_image_accuracy': 0.5131578947368421, 'val_image_precision': 0.4855606758832566, 'val_image_recall': 0.4417647058823529, 'val_image_f1': 0.3907581923324052}
2026-09-13 08:02:55,031 | INFO | src.trainer.trainer | Epoch 6/60 val_f1=0.35585826876084214 val_image_f1=0.3907581923324052
2026-09-13 08:02:55,031 | INFO | src.trainer.trainer | Epoch 7/60 learning rate set to 9.77229e-05
2026-09-13 08:04:53,272 | INFO | src.trainer.trainer | Epoch 7/60 train_loss=1.202869
2026-09-13 08:05:11,132 | INFO | src.trainer.history | Epoch 7 metrics saved at 2026-09-13 08:05:11: {'train_loss': 1.2028686555545243, 'lr': 9.772289238107717e-05, 'val_loss': 1.302783892071038, 'val_accuracy': 0.46885964912280703, 'val_precision': 0.3852261126400803, 'val_recall': 0.40203202614379085, 'val_f1': 0.357576317424777, 'val_image_accuracy': 0.5263157894736842, 'val_image_precision': 0.4855606758832566, 'val_image_recall': 0.45352941176470585, 'val_image_f1': 0.40547680705101996}
2026-09-13 08:05:11,132 | INFO | src.trainer.trainer | Epoch 7/60 val_f1=0.357576317424777 val_image_f1=0.40547680705101996
2026-09-13 08:05:11,132 | INFO | src.trainer.trainer | Epoch 8/60 learning rate set to 9.69101e-05
2026-09-13 08:07:09,962 | INFO | src.trainer.trainer | Epoch 8/60 train_loss=1.173461
2026-09-13 08:07:27,857 | INFO | src.trainer.history | Epoch 8 metrics saved at 2026-09-13 08:07:27: {'train_loss': 1.1734610574052524, 'lr': 9.691012798535524e-05, 'val_loss': 1.3454339446833259, 'val_accuracy': 0.45495614035087717, 'val_precision': 0.37599369167647845, 'val_recall': 0.3889204793028322, 'val_f1': 0.34754130529180155, 'val_image_accuracy': 0.5, 'val_image_precision': 0.4461098901098902, 'val_image_recall': 0.42823529411764716, 'val_image_f1': 0.3920195746282703}
2026-09-13 08:07:27,857 | INFO | src.trainer.trainer | Epoch 8/60 val_f1=0.34754130529180155 val_image_f1=0.3920195746282703
2026-09-13 08:07:27,857 | INFO | src.trainer.trainer | Epoch 9/60 learning rate set to 9.59786e-05
2026-09-13 08:09:26,065 | INFO | src.trainer.trainer | Epoch 9/60 train_loss=1.152938
2026-09-13 08:09:43,946 | INFO | src.trainer.history | Epoch 9 metrics saved at 2026-09-13 08:09:43: {'train_loss': 1.1529381497488609, 'lr': 9.597856477847111e-05, 'val_loss': 1.428178941910727, 'val_accuracy': 0.43223684210526314, 'val_precision': 0.3417905711306325, 'val_recall': 0.37083289760348587, 'val_f1': 0.32851095534571384, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.3944236453201971, 'val_image_recall': 0.4182352941176471, 'val_image_f1': 0.374143870314083}
2026-09-13 08:09:43,946 | INFO | src.trainer.trainer | Epoch 9/60 val_f1=0.32851095534571384 val_image_f1=0.374143870314083
2026-09-13 08:09:43,946 | INFO | src.trainer.trainer | Epoch 10/60 learning rate set to 9.49308e-05
2026-09-13 08:11:42,190 | INFO | src.trainer.trainer | Epoch 10/60 train_loss=1.133254
2026-09-13 08:12:00,099 | INFO | src.trainer.history | Epoch 10 metrics saved at 2026-09-13 08:12:00: {'train_loss': 1.1332542272807054, 'lr': 9.493084337754573e-05, 'val_loss': 1.3620535394706224, 'val_accuracy': 0.4250438596491228, 'val_precision': 0.34300704906445095, 'val_recall': 0.361821568627451, 'val_f1': 0.32771404622046996, 'val_image_accuracy': 0.47368421052631576, 'val_image_precision': 0.40576206402293363, 'val_image_recall': 0.40470588235294125, 'val_image_f1': 0.36955204216073784}
2026-09-13 08:12:00,099 | INFO | src.trainer.trainer | Epoch 10/60 val_f1=0.32771404622046996 val_image_f1=0.36955204216073784
2026-09-13 08:12:00,100 | INFO | src.trainer.trainer | Epoch 11/60 learning rate set to 9.37699e-05
2026-09-13 08:13:57,865 | INFO | src.trainer.trainer | Epoch 11/60 train_loss=1.119352
2026-09-13 08:14:15,801 | INFO | src.trainer.history | Epoch 11 metrics saved at 2026-09-13 08:14:15: {'train_loss': 1.1193516189218364, 'lr': 9.376993366272128e-05, 'val_loss': 1.4201767564970151, 'val_accuracy': 0.4135526315789474, 'val_precision': 0.3212370744452714, 'val_recall': 0.35408823529411765, 'val_f1': 0.3187962349747893, 'val_image_accuracy': 0.4605263157894737, 'val_image_precision': 0.36093506493506494, 'val_image_recall': 0.39647058823529413, 'val_image_f1': 0.3487878180725305}
2026-09-13 08:14:15,801 | INFO | src.trainer.trainer | Epoch 11/60 val_f1=0.3187962349747893 val_image_f1=0.3487878180725305
2026-09-13 08:14:15,801 | INFO | src.trainer.trainer | Epoch 12/60 learning rate set to 9.24991e-05
2026-09-13 08:16:13,596 | INFO | src.trainer.trainer | Epoch 12/60 train_loss=1.106120
2026-09-13 08:16:31,496 | INFO | src.trainer.history | Epoch 12 metrics saved at 2026-09-13 08:16:31: {'train_loss': 1.1061201847121729, 'lr': 9.249912635871318e-05, 'val_loss': 1.4548790549604516, 'val_accuracy': 0.41960526315789476, 'val_precision': 0.32744362094164103, 'val_recall': 0.36056644880174293, 'val_f1': 0.3179284389031844, 'val_image_accuracy': 0.4605263157894737, 'val_image_precision': 0.3601648351648352, 'val_image_recall': 0.39823529411764713, 'val_image_f1': 0.34910202705955995}
2026-09-13 08:16:31,497 | INFO | src.trainer.trainer | Epoch 12/60 val_f1=0.3179284389031844 val_image_f1=0.34910202705955995
2026-09-13 08:16:31,497 | INFO | src.trainer.trainer | Epoch 13/60 learning rate set to 9.1122e-05
2026-09-13 08:18:29,196 | INFO | src.trainer.trainer | Epoch 13/60 train_loss=1.090444
2026-09-13 08:18:47,142 | INFO | src.trainer.history | Epoch 13 metrics saved at 2026-09-13 08:18:47: {'train_loss': 1.0904435923582727, 'lr': 9.112202370689337e-05, 'val_loss': 1.4389442113094162, 'val_accuracy': 0.4342543859649123, 'val_precision': 0.3468426424826751, 'val_recall': 0.3718549019607843, 'val_f1': 0.3341306842660169, 'val_image_accuracy': 0.47368421052631576, 'val_image_precision': 0.3746833855799373, 'val_image_recall': 0.4064705882352941, 'val_image_f1': 0.3583607941102495}
2026-09-13 08:18:47,142 | INFO | src.trainer.trainer | Epoch 13/60 val_f1=0.3341306842660169 val_image_f1=0.3583607941102495
2026-09-13 08:18:47,142 | INFO | src.trainer.trainer | Epoch 14/60 learning rate set to 8.96425e-05
2026-09-13 08:20:46,035 | INFO | src.trainer.trainer | Epoch 14/60 train_loss=1.082390
2026-09-13 08:21:03,951 | INFO | src.trainer.history | Epoch 14 metrics saved at 2026-09-13 08:21:03: {'train_loss': 1.0823903056897317, 'lr': 8.964252925434579e-05, 'val_loss': 1.4758913001574967, 'val_accuracy': 0.4482456140350877, 'val_precision': 0.3613017039411269, 'val_recall': 0.3862803921568628, 'val_f1': 0.338082656620324, 'val_image_accuracy': 0.4605263157894737, 'val_image_precision': 0.37643467643467643, 'val_image_recall': 0.39823529411764713, 'val_image_f1': 0.35150796694675923}
2026-09-13 08:21:03,951 | INFO | src.trainer.trainer | Epoch 14/60 val_f1=0.338082656620324 val_image_f1=0.35150796694675923
2026-09-13 08:21:03,951 | INFO | src.trainer.trainer | Epoch 15/60 learning rate set to 8.80648e-05
2026-09-13 08:23:00,964 | INFO | src.trainer.trainer | Epoch 15/60 train_loss=1.070942
2026-09-13 08:23:18,853 | INFO | src.trainer.history | Epoch 15 metrics saved at 2026-09-13 08:23:18: {'train_loss': 1.0709421229203189, 'lr': 8.806483678883803e-05, 'val_loss': 1.4787702560529374, 'val_accuracy': 0.42355263157894735, 'val_precision': 0.33654058750066995, 'val_recall': 0.3640790849673203, 'val_f1': 0.3245758841343437, 'val_image_accuracy': 0.4473684210526316, 'val_image_precision': 0.32365079365079363, 'val_image_recall': 0.3864705882352941, 'val_image_f1': 0.32223403449790256}
2026-09-13 08:23:18,854 | INFO | src.trainer.trainer | Epoch 15/60 val_f1=0.3245758841343437 val_image_f1=0.32223403449790256
2026-09-13 08:23:18,854 | INFO | src.trainer.trainer | Epoch 16/60 learning rate set to 8.63934e-05
2026-09-13 08:25:15,540 | INFO | src.trainer.trainer | Epoch 16/60 train_loss=1.060365
2026-09-13 08:25:33,449 | INFO | src.trainer.history | Epoch 16 metrics saved at 2026-09-13 08:25:33: {'train_loss': 1.0603654797730309, 'lr': 8.639341845107433e-05, 'val_loss': 1.4974263812889133, 'val_accuracy': 0.42903508771929827, 'val_precision': 0.3326241486856484, 'val_recall': 0.3692605664488018, 'val_f1': 0.32769630372116165, 'val_image_accuracy': 0.4605263157894737, 'val_image_precision': 0.3588571428571429, 'val_image_recall': 0.39823529411764713, 'val_image_f1': 0.35080745341614905}
2026-09-13 08:25:33,449 | INFO | src.trainer.trainer | Epoch 16/60 val_f1=0.32769630372116165 val_image_f1=0.35080745341614905
2026-09-13 08:25:33,449 | INFO | src.trainer.trainer | Epoch 17/60 learning rate set to 8.4633e-05
2026-09-13 08:27:32,784 | INFO | src.trainer.trainer | Epoch 17/60 train_loss=1.049778
2026-09-13 08:27:50,675 | INFO | src.trainer.history | Epoch 17 metrics saved at 2026-09-13 08:27:50: {'train_loss': 1.0497780488735673, 'lr': 8.463301205792675e-05, 'val_loss': 1.545608282873505, 'val_accuracy': 0.42219298245614034, 'val_precision': 0.3324357483686019, 'val_recall': 0.36364074074074076, 'val_f1': 0.3206709193138698, 'val_image_accuracy': 0.4473684210526316, 'val_image_precision': 0.3596825396825397, 'val_image_recall': 0.3864705882352941, 'val_image_f1': 0.3339512062150743}
2026-09-13 08:27:50,675 | INFO | src.trainer.trainer | Epoch 17/60 val_f1=0.3206709193138698 val_image_f1=0.3339512062150743
2026-09-13 08:27:50,675 | INFO | src.trainer.trainer | Epoch 18/60 learning rate set to 8.27886e-05
2026-09-13 08:29:48,699 | INFO | src.trainer.trainer | Epoch 18/60 train_loss=1.039239
2026-09-13 08:30:06,626 | INFO | src.trainer.history | Epoch 18 metrics saved at 2026-09-13 08:30:06: {'train_loss': 1.0392387694328382, 'lr': 8.278860767257865e-05, 'val_loss': 1.5209214217830123, 'val_accuracy': 0.4135964912280702, 'val_precision': 0.3289040465478955, 'val_recall': 0.3542882352941176, 'val_f1': 0.32277156682661184, 'val_image_accuracy': 0.4605263157894737, 'val_image_precision': 0.3566458675424193, 'val_image_recall': 0.39823529411764713, 'val_image_f1': 0.3479369737623589}
2026-09-13 08:30:06,626 | INFO | src.trainer.trainer | Epoch 18/60 val_f1=0.32277156682661184 val_image_f1=0.3479369737623589
2026-09-13 08:30:06,627 | INFO | src.trainer.trainer | Epoch 19/60 learning rate set to 8.08654e-05
2026-09-13 08:32:05,053 | INFO | src.trainer.trainer | Epoch 19/60 train_loss=1.030551
2026-09-13 08:32:22,930 | INFO | src.trainer.history | Epoch 19 metrics saved at 2026-09-13 08:32:22: {'train_loss': 1.0305513033764222, 'lr': 8.086543345964832e-05, 'val_loss': 1.5699854129448272, 'val_accuracy': 0.4179824561403509, 'val_precision': 0.331363754551926, 'val_recall': 0.35862352941176473, 'val_f1': 0.3213737690801522, 'val_image_accuracy': 0.42105263157894735, 'val_image_precision': 0.3096153846153846, 'val_image_recall': 0.3629411764705882, 'val_image_f1': 0.3029749320446995}
2026-09-13 08:32:22,931 | INFO | src.trainer.trainer | Epoch 19/60 val_f1=0.3213737690801522 val_image_f1=0.3029749320446995
2026-09-13 08:32:22,931 | INFO | src.trainer.trainer | Epoch 20/60 learning rate set to 7.88689e-05
2026-09-13 08:34:19,896 | INFO | src.trainer.trainer | Epoch 20/60 train_loss=1.027488
2026-09-13 08:34:37,801 | INFO | src.trainer.history | Epoch 20 metrics saved at 2026-09-13 08:34:37: {'train_loss': 1.0274880497138767, 'lr': 7.886894086538841e-05, 'val_loss': 1.5699807269949662, 'val_accuracy': 0.41412280701754384, 'val_precision': 0.32393622015858897, 'val_recall': 0.3555350762527233, 'val_f1': 0.3178058896655224, 'val_image_accuracy': 0.4473684210526316, 'val_image_precision': 0.33666666666666667, 'val_image_recall': 0.3864705882352941, 'val_image_f1': 0.335602787456446}
2026-09-13 08:34:37,801 | INFO | src.trainer.trainer | Epoch 20/60 val_f1=0.3178058896655224 val_image_f1=0.335602787456446
2026-09-13 08:34:37,801 | INFO | src.trainer.trainer | Epoch 21/60 learning rate set to 7.68048e-05
2026-09-13 08:36:33,657 | INFO | src.trainer.trainer | Epoch 21/60 train_loss=1.014809
2026-09-13 08:36:51,557 | INFO | src.trainer.history | Epoch 21 metrics saved at 2026-09-13 08:36:51: {'train_loss': 1.0148087684189557, 'lr': 7.680478916496926e-05, 'val_loss': 1.5439334850980524, 'val_accuracy': 0.42539473684210527, 'val_precision': 0.33197560312074215, 'val_recall': 0.36503660130718957, 'val_f1': 0.33189864289680415, 'val_image_accuracy': 0.4605263157894737, 'val_image_precision': 0.3566458675424193, 'val_image_recall': 0.39823529411764713, 'val_image_f1': 0.3479369737623589}
2026-09-13 08:36:51,557 | INFO | src.trainer.trainer | Epoch 21/60 val_f1=0.33189864289680415 val_image_f1=0.3479369737623589
2026-09-13 08:36:51,557 | INFO | src.trainer.trainer | Epoch 22/60 learning rate set to 7.46788e-05
2026-09-13 08:38:49,009 | INFO | src.trainer.trainer | Epoch 22/60 train_loss=1.006940
2026-09-13 08:39:06,929 | INFO | src.trainer.history | Epoch 22 metrics saved at 2026-09-13 08:39:06: {'train_loss': 1.0069402408033454, 'lr': 7.46788294206485e-05, 'val_loss': 1.5638542384327503, 'val_accuracy': 0.4387719298245614, 'val_precision': 0.3502122061861391, 'val_recall': 0.37699128540305005, 'val_f1': 0.33651164381931087, 'val_image_accuracy': 0.4605263157894737, 'val_image_precision': 0.3565079365079365, 'val_image_recall': 0.39823529411764713, 'val_image_f1': 0.34753294084664976}
2026-09-13 08:39:06,930 | INFO | src.trainer.trainer | Epoch 22/60 val_f1=0.33651164381931087 val_image_f1=0.34753294084664976
2026-09-13 08:39:06,930 | INFO | src.trainer.trainer | Epoch 23/60 learning rate set to 7.24971e-05
2026-09-13 08:41:06,255 | INFO | src.trainer.trainer | Epoch 23/60 train_loss=1.000260
2026-09-13 08:41:24,170 | INFO | src.trainer.history | Epoch 23 metrics saved at 2026-09-13 08:41:24: {'train_loss': 1.0002601645907916, 'lr': 7.249708789629944e-05, 'val_loss': 1.5734450765032517, 'val_accuracy': 0.4368421052631579, 'val_precision': 0.34463599295555314, 'val_recall': 0.37531307189542484, 'val_f1': 0.3371289691604152, 'val_image_accuracy': 0.4605263157894737, 'val_image_precision': 0.3565079365079365, 'val_image_recall': 0.39823529411764713, 'val_image_f1': 0.34753294084664976}
2026-09-13 08:41:24,170 | INFO | src.trainer.trainer | Epoch 23/60 val_f1=0.3371289691604152 val_image_f1=0.34753294084664976
2026-09-13 08:41:24,170 | INFO | src.trainer.trainer | Epoch 24/60 learning rate set to 7.02657e-05
2026-09-13 08:43:21,112 | INFO | src.trainer.trainer | Epoch 24/60 train_loss=0.998757
2026-09-13 08:43:39,030 | INFO | src.trainer.history | Epoch 24 metrics saved at 2026-09-13 08:43:39: {'train_loss': 0.9987572961147396, 'lr': 7.026574897531136e-05, 'val_loss': 1.6255568990791054, 'val_accuracy': 0.40785087719298246, 'val_precision': 0.3237012406547285, 'val_recall': 0.34997015250544666, 'val_f1': 0.3192798169740265, 'val_image_accuracy': 0.4605263157894737, 'val_image_precision': 0.3588571428571429, 'val_image_recall': 0.39823529411764713, 'val_image_f1': 0.35080745341614905}
2026-09-13 08:43:39,031 | INFO | src.trainer.trainer | Epoch 24/60 val_f1=0.3192798169740265 val_image_f1=0.35080745341614905
2026-09-13 08:43:39,031 | INFO | src.trainer.trainer | Early stopping at epoch 24 (val_f1 did not improve for 20 evals)
2026-09-13 08:43:39,080 | INFO | src.trainer.trainer | Saved final model to logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg_bb/model_final.pt
2026-09-13 08:43:39,081 | INFO | src.trainer.trainer | Best model is from epoch 4 (val_f1=0.3812)
2026-09-13 08:44:09,357 | INFO | src.trainer.trainer | Held-out test of best epoch 4: {'test_loss': 1.0701222690316134, 'test_accuracy': 0.48521963824289405, 'test_precision': 0.48634973420256494, 'test_recall': 0.487698769337136, 'test_f1': 0.45169650954301427, 'test_image_accuracy': 0.4806201550387597, 'test_image_precision': 0.5143495297805643, 'test_image_recall': 0.48122219341457084, 'test_image_f1': 0.4394873323397913}
2026-09-13 08:44:09,361 | INFO | src.trainer.trainer | Run summary: {'selection_metric': 'val_f1', 'best_epoch': 4, 'best_score': 0.381204358190458, 'stopped_epoch': 24, 'eval_test': 'end', 'best_val': {'val_loss': 1.2453769971613298, 'val_accuracy': 0.49179824561403507, 'val_precision': 0.4077743161475687, 'val_recall': 0.42181241830065364, 'val_f1': 0.381204358190458, 'val_image_accuracy': 0.5394736842105263, 'val_image_precision': 0.4666666666666667, 'val_image_recall': 0.4635294117647059, 'val_image_f1': 0.42745197168857435}, 'best_test': {'test_loss': 1.0701222690316134, 'test_accuracy': 0.48521963824289405, 'test_precision': 0.48634973420256494, 'test_recall': 0.487698769337136, 'test_f1': 0.45169650954301427, 'test_image_accuracy': 0.4806201550387597, 'test_image_precision': 0.5143495297805643, 'test_image_recall': 0.48122219341457084, 'test_image_f1': 0.4394873323397913}, 'selected_weights': 'best', 'selected_test': {'test_loss': 1.0701222690316134, 'test_accuracy': 0.48521963824289405, 'test_precision': 0.48634973420256494, 'test_recall': 0.487698769337136, 'test_f1': 0.45169650954301427, 'test_image_accuracy': 0.4806201550387597, 'test_image_precision': 0.5143495297805643, 'test_image_recall': 0.48122219341457084, 'test_image_f1': 0.4394873323397913}, 'test_image_f1': 0.4394873323397913, 'test_f1': 0.45169650954301427, 'val_image_f1': 0.42745197168857435, 'val_f1': 0.381204358190458, 'swa_val_score': None}
2026-09-13 08:44:09,361 | INFO | __main__ | Experiment finished at 2026-09-13 08:44:09
2026-09-13 08:44:09,433 | INFO | __main__ | Starting sweep run geom_frac025_reg_cw
