2026-09-13 08:44:09,435 | INFO | src.trainer.history | File logging initialized: /app/logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg_cw/experiment.log
2026-09-13 08:44:09,438 | INFO | __main__ | Wrote resolved config to logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg_cw/config.yaml
2026-09-13 08:44:09,438 | INFO | __main__ | Experiment started at 2026-09-13 08:44:09 save_dir=logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg_cw
2026-09-13 08:44:09,438 | INFO | __main__ | Starting training device=cuda
2026-09-13 08:44:09,665 | INFO | timm.models._builder | Loading pretrained weights from Hugging Face hub (timm/fastvit_t8.apple_in1k)
2026-09-13 08:44:09,950 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/timm/fastvit_t8.apple_in1k/resolve/main/model.safetensors "HTTP/1.1 302 Found"
2026-09-13 08:44:09,953 | INFO | timm.models._hub | [timm/fastvit_t8.apple_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2026-09-13 08:44:09,977 | INFO | timm.models._builder | Converted input conv stem.0.conv_kxk.0.conv pretrained weights from 3 to 1 channel(s)
2026-09-13 08:44:09,977 | INFO | timm.models._builder | Converted input conv stem.0.conv_scale.conv pretrained weights from 3 to 1 channel(s)
2026-09-13 08:44:09,993 | INFO | timm.models._builder | Missing keys (head.fc.weight, head.fc.bias) discovered while loading pretrained weights. This is expected if model is being adapted.
2026-09-13 08:44:10,009 | INFO | __main__ | Train TexturePatchDataset(images=449, patches=134700, active=33675, patch_size=224, overlap=0.5, downscale=1.0)
2026-09-13 08:44:10,009 | INFO | __main__ | Val TexturePatchDataset(images=76, patches=22800, active=22800, patch_size=224, overlap=0.5, downscale=1.0)
2026-09-13 08:44:10,009 | INFO | __main__ | Test TexturePatchDataset(images=129, patches=38700, active=38700, patch_size=224, overlap=0.5, downscale=1.0)
2026-09-13 08:44:10,009 | INFO | __main__ | Split counts {'train': {'images': 449, 'groups': 51}, 'val': {'images': 76, 'groups': 9}, 'test': {'images': 129, 'groups': 15}} group_by=sample
2026-09-13 08:44:10,010 | INFO | __main__ | Using class distribution {0: 103, 1: 105, 2: 91, 3: 94, 4: 56} with weights [0.8267, 0.811, 0.9358, 0.9059, 1.5206]
2026-09-13 08:44:10,012 | INFO | __main__ | Optimizer groups [{'lr': 0.0001, 'n_params': 3260117}]
2026-09-13 08:44:10,016 | INFO | src.trainer.trainer | Starting training for 60 epochs on cuda (selection=val_f1, eval_test=end)
2026-09-13 08:44:10,016 | INFO | src.trainer.trainer | Epoch 1/60 learning rate set to 0.0001
2026-09-13 08:46:08,873 | INFO | src.trainer.trainer | Epoch 1/60 train_loss=1.391194
2026-09-13 08:46:26,882 | INFO | src.trainer.trainer | Epoch 1: new best val_f1 0.3175, saved logs/sweeps2/ds1_regularize_20260912_220421/geom_frac025_reg_cw/model_best.pt
