2026-09-13 01:45:46,701 | INFO | src.trainer.history | File logging initialized: /app/logs/sweeps2/ds1_regularize_20260912_220421/geom_reg/experiment.log
2026-09-13 01:45:46,704 | INFO | __main__ | Wrote resolved config to logs/sweeps2/ds1_regularize_20260912_220421/geom_reg/config.yaml
2026-09-13 01:45:46,704 | INFO | __main__ | Experiment started at 2026-09-13 01:45:46 save_dir=logs/sweeps2/ds1_regularize_20260912_220421/geom_reg
2026-09-13 01:45:46,704 | INFO | __main__ | Starting training device=cuda
2026-09-13 01:45:46,886 | INFO | timm.models._builder | Loading pretrained weights from Hugging Face hub (timm/fastvit_t8.apple_in1k)
2026-09-13 01:45:47,158 | INFO | httpx | HTTP Request: HEAD https://huggingface.co/timm/fastvit_t8.apple_in1k/resolve/main/model.safetensors "HTTP/1.1 302 Found"
2026-09-13 01:45:47,161 | INFO | timm.models._hub | [timm/fastvit_t8.apple_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2026-09-13 01:45:47,183 | INFO | timm.models._builder | Converted input conv stem.0.conv_kxk.0.conv pretrained weights from 3 to 1 channel(s)
2026-09-13 01:45:47,183 | INFO | timm.models._builder | Converted input conv stem.0.conv_scale.conv pretrained weights from 3 to 1 channel(s)
2026-09-13 01:45:47,196 | INFO | timm.models._builder | Missing keys (head.fc.weight, head.fc.bias) discovered while loading pretrained weights. This is expected if model is being adapted.
2026-09-13 01:45:47,213 | INFO | __main__ | Train TexturePatchDataset(images=449, patches=134700, active=134700, patch_size=224, overlap=0.5, downscale=1.0)
2026-09-13 01:45:47,213 | INFO | __main__ | Val TexturePatchDataset(images=76, patches=22800, active=22800, patch_size=224, overlap=0.5, downscale=1.0)
2026-09-13 01:45:47,213 | INFO | __main__ | Test TexturePatchDataset(images=129, patches=38700, active=38700, patch_size=224, overlap=0.5, downscale=1.0)
2026-09-13 01:45:47,213 | INFO | __main__ | Split counts {'train': {'images': 449, 'groups': 51}, 'val': {'images': 76, 'groups': 9}, 'test': {'images': 129, 'groups': 15}} group_by=sample
2026-09-13 01:45:47,213 | INFO | __main__ | Using class distribution {0: 103, 1: 105, 2: 91, 3: 94, 4: 56} with weights [0.9162, 0.9074, 0.9747, 0.9591, 1.2426]
2026-09-13 01:45:47,215 | INFO | __main__ | Optimizer groups [{'lr': 0.0001, 'n_params': 3260117}]
2026-09-13 01:45:47,220 | INFO | src.trainer.trainer | Starting training for 60 epochs on cuda (selection=val_f1, eval_test=end)
2026-09-13 01:45:47,220 | INFO | src.trainer.trainer | Epoch 1/60 learning rate set to 0.0001
2026-09-13 01:53:24,666 | INFO | src.trainer.trainer | Epoch 1/60 train_loss=1.149372
2026-09-13 01:53:42,604 | INFO | src.trainer.trainer | Epoch 1: new best val_f1 0.3271, saved logs/sweeps2/ds1_regularize_20260912_220421/geom_reg/model_best.pt
2026-09-13 01:53:42,605 | INFO | src.trainer.history | Epoch 1 metrics saved at 2026-09-13 01:53:42: {'train_loss': 1.149371541794265, 'lr': 0.0001, 'val_loss': 1.7234109218915303, 'val_accuracy': 0.4276754385964912, 'val_precision': 0.3561687897800388, 'val_recall': 0.36912091503267974, 'val_f1': 0.3270630000382254, 'val_image_accuracy': 0.4473684210526316, 'val_image_precision': 0.33892436974789913, 'val_image_recall': 0.3877777777777778, 'val_image_f1': 0.3256298587292461}
2026-09-13 01:53:42,605 | INFO | src.trainer.trainer | Epoch 1/60 val_f1=0.3270630000382254 val_image_f1=0.3256298587292461
2026-09-13 01:53:42,605 | INFO | src.trainer.trainer | Epoch 2/60 learning rate set to 9.99362e-05
2026-09-13 02:01:17,061 | INFO | src.trainer.trainer | Epoch 2/60 train_loss=0.910869
2026-09-13 02:01:35,100 | INFO | src.trainer.trainer | Epoch 2: new best val_f1 0.3465, saved logs/sweeps2/ds1_regularize_20260912_220421/geom_reg/model_best.pt
2026-09-13 02:01:35,101 | INFO | src.trainer.history | Epoch 2 metrics saved at 2026-09-13 02:01:35: {'train_loss': 0.9108687500433296, 'lr': 9.993622130545428e-05, 'val_loss': 1.7211540767602753, 'val_accuracy': 0.41096491228070176, 'val_precision': 0.38100365477830467, 'val_recall': 0.3737368191721133, 'val_f1': 0.3464861126635218, 'val_image_accuracy': 0.4342105263157895, 'val_image_precision': 0.42771428571428566, 'val_image_recall': 0.37183006535947716, 'val_image_f1': 0.3482070393374741}
2026-09-13 02:01:35,101 | INFO | src.trainer.trainer | Epoch 2/60 val_f1=0.3464861126635218 val_image_f1=0.3482070393374741
2026-09-13 02:01:35,101 | INFO | src.trainer.trainer | Epoch 3/60 learning rate set to 9.97451e-05
2026-09-13 02:09:09,914 | INFO | src.trainer.trainer | Epoch 3/60 train_loss=0.808326
2026-09-13 02:09:27,884 | INFO | src.trainer.history | Epoch 3 metrics saved at 2026-09-13 02:09:27: {'train_loss': 0.808326429079972, 'lr': 9.974506600945618e-05, 'val_loss': 1.7176285858739886, 'val_accuracy': 0.42407894736842106, 'val_precision': 0.35255146648065566, 'val_recall': 0.3640588235294117, 'val_f1': 0.34007391041784174, 'val_image_accuracy': 0.4342105263157895, 'val_image_precision': 0.35425559947299073, 'val_image_recall': 0.3744444444444444, 'val_image_f1': 0.34017724358437823}
2026-09-13 02:09:27,884 | INFO | src.trainer.trainer | Epoch 3/60 val_f1=0.34007391041784174 val_image_f1=0.34017724358437823
2026-09-13 02:09:27,884 | INFO | src.trainer.trainer | Epoch 4/60 learning rate set to 9.94271e-05
2026-09-13 02:16:59,566 | INFO | src.trainer.trainer | Epoch 4/60 train_loss=0.743421
2026-09-13 02:17:17,645 | INFO | src.trainer.trainer | Epoch 4: new best val_f1 0.3638, saved logs/sweeps2/ds1_regularize_20260912_220421/geom_reg/model_best.pt
2026-09-13 02:17:17,647 | INFO | src.trainer.history | Epoch 4 metrics saved at 2026-09-13 02:17:17: {'train_loss': 0.7434210994602931, 'lr': 9.94270759624605e-05, 'val_loss': 1.7268994164675997, 'val_accuracy': 0.45017543859649123, 'val_precision': 0.3836921117144656, 'val_recall': 0.3954078431372549, 'val_f1': 0.3638000306088721, 'val_image_accuracy': 0.4868421052631579, 'val_image_precision': 0.37534391534391537, 'val_image_recall': 0.4188888888888889, 'val_image_f1': 0.36838383838383837}
2026-09-13 02:17:17,647 | INFO | src.trainer.trainer | Epoch 4/60 val_f1=0.3638000306088721 val_image_f1=0.36838383838383837
2026-09-13 02:17:17,647 | INFO | src.trainer.trainer | Epoch 5/60 learning rate set to 9.89832e-05
2026-09-13 02:24:52,202 | INFO | src.trainer.trainer | Epoch 5/60 train_loss=0.693062
2026-09-13 02:25:10,176 | INFO | src.trainer.history | Epoch 5 metrics saved at 2026-09-13 02:25:10: {'train_loss': 0.69306231078167, 'lr': 9.8983152541804e-05, 'val_loss': 1.801905121249065, 'val_accuracy': 0.4091666666666667, 'val_precision': 0.3604014503305254, 'val_recall': 0.3576799564270153, 'val_f1': 0.34458296679930484, 'val_image_accuracy': 0.4473684210526316, 'val_image_precision': 0.3757575757575758, 'val_image_recall': 0.3831372549019608, 'val_image_f1': 0.34861483746178323}
2026-09-13 02:25:10,176 | INFO | src.trainer.trainer | Epoch 5/60 val_f1=0.34458296679930484 val_image_f1=0.34861483746178323
2026-09-13 02:25:10,176 | INFO | src.trainer.trainer | Epoch 6/60 learning rate set to 9.84146e-05
2026-09-13 02:32:46,314 | INFO | src.trainer.trainer | Epoch 6/60 train_loss=0.658209
2026-09-13 02:33:04,313 | INFO | src.trainer.history | Epoch 6 metrics saved at 2026-09-13 02:33:04: {'train_loss': 0.6582087624258878, 'lr': 9.841455409665323e-05, 'val_loss': 1.7726058101340345, 'val_accuracy': 0.4125, 'val_precision': 0.35751936310654964, 'val_recall': 0.35239346405228755, 'val_f1': 0.3434505389434853, 'val_image_accuracy': 0.4342105263157895, 'val_image_precision': 0.36270353302611363, 'val_image_recall': 0.3733333333333333, 'val_image_f1': 0.34571428571428575}
2026-09-13 02:33:04,313 | INFO | src.trainer.trainer | Epoch 6/60 val_f1=0.3434505389434853 val_image_f1=0.34571428571428575
2026-09-13 02:33:04,313 | INFO | src.trainer.trainer | Epoch 7/60 learning rate set to 9.77229e-05
2026-09-13 02:40:38,624 | INFO | src.trainer.trainer | Epoch 7/60 train_loss=0.631118
