epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,107.939104,1.397810,0.371582,0.313151,0.331314,0.292181,1.316132,0.431593,0.364840,0.381387,0.311096,0.435165,0.385371,0.384484,0.313897,7280,455,1.317806,0.445549,0.335152,0.391696,0.310206,0.458333,0.328848,0.402597,0.318432,8448,96,1
2,0.000100,100.520297,1.300413,0.444777,0.425377,0.401893,0.371827,1.265587,0.476923,0.440724,0.426666,0.377046,0.487912,0.467783,0.434364,0.372448,7280,455,1.296691,0.465436,0.397002,0.414052,0.357330,0.458333,0.276127,0.405195,0.326745,8448,96,1
3,0.000100,100.657357,1.219944,0.498227,0.478041,0.463236,0.454636,1.186475,0.529121,0.528116,0.496023,0.486889,0.534066,0.534523,0.489565,0.469543,7280,455,1.209008,0.482244,0.467856,0.447114,0.433850,0.468750,0.473519,0.440021,0.422786,8448,96,1
4,0.000099,100.527290,1.166553,0.535004,0.516888,0.504323,0.501648,1.199041,0.521016,0.519250,0.498229,0.496061,0.571429,0.591757,0.545792,0.544803,7280,455,1.272519,0.479522,0.462962,0.444983,0.436334,0.500000,0.500706,0.457883,0.445837,8448,96,1
5,0.000098,100.777762,1.114911,0.570410,0.554434,0.541503,0.540836,1.075380,0.602335,0.589916,0.575904,0.576684,0.676923,0.683948,0.650775,0.656094,7280,455,1.191610,0.543087,0.514469,0.506249,0.500705,0.614583,0.583030,0.567794,0.560049,8448,96,1
6,0.000097,100.767122,1.068713,0.603070,0.588850,0.578581,0.579784,1.035871,0.621841,0.614833,0.612748,0.611803,0.701099,0.694955,0.691005,0.691278,7280,455,1.129945,0.582978,0.571042,0.566731,0.567408,0.614583,0.600051,0.597528,0.597783,8448,96,1
7,0.000096,100.569780,1.025174,0.633223,0.621955,0.612199,0.614380,0.996351,0.646154,0.642669,0.636278,0.634037,0.716484,0.721692,0.709051,0.708487,7280,455,1.169433,0.571259,0.559757,0.550493,0.545729,0.656250,0.646471,0.626885,0.624315,8448,96,0
8,0.000094,100.608217,0.990275,0.657722,0.647724,0.639652,0.642030,0.920539,0.690247,0.699012,0.662939,0.665577,0.782418,0.806901,0.752769,0.757973,7280,455,1.137267,0.598248,0.575470,0.563423,0.558613,0.666667,0.653330,0.630838,0.627946,8448,96,0
9,0.000092,100.682898,0.954875,0.681810,0.673290,0.665874,0.668340,0.893032,0.710989,0.716424,0.688166,0.692545,0.780220,0.795644,0.753928,0.759777,7280,455,1.162572,0.567827,0.539682,0.534770,0.531811,0.593750,0.545952,0.548314,0.533826,8448,96,0
10,0.000090,100.732009,0.922465,0.701670,0.693942,0.687266,0.689638,0.862572,0.735302,0.734680,0.718205,0.722731,0.804396,0.815391,0.784965,0.792003,7280,455,1.160583,0.585464,0.557995,0.555552,0.554651,0.614583,0.553938,0.567794,0.554042,8448,96,0
11,0.000087,100.905091,0.897841,0.715824,0.709422,0.702522,0.705088,0.842087,0.747527,0.751877,0.728266,0.734677,0.832967,0.848094,0.809704,0.819180,7280,455,1.157854,0.595289,0.573350,0.563033,0.562784,0.635417,0.614027,0.591114,0.587774,8448,96,0
12,0.000084,100.657662,0.872474,0.733304,0.727102,0.721142,0.723470,0.868220,0.731868,0.728492,0.719829,0.721097,0.835165,0.839992,0.827476,0.830404,7280,455,1.211335,0.573035,0.564204,0.545090,0.544944,0.614583,0.611026,0.579209,0.577306,8448,96,0
13,0.000081,100.659904,0.850735,0.746850,0.741278,0.735310,0.737674,0.802959,0.772253,0.768394,0.768979,0.767560,0.881319,0.884749,0.880143,0.881672,7280,455,1.191705,0.560724,0.548522,0.538198,0.538349,0.572917,0.561926,0.549852,0.550943,8448,96,0
14,0.000078,100.533995,0.833295,0.757766,0.752264,0.746774,0.749017,0.775299,0.789698,0.784688,0.784278,0.784038,0.892308,0.890998,0.890073,0.889974,7280,455,1.198854,0.580492,0.559892,0.552047,0.552631,0.583333,0.569348,0.551367,0.553368,8448,96,0
15,0.000074,100.627208,0.813077,0.770659,0.766039,0.760382,0.762709,0.798036,0.767995,0.763885,0.759514,0.760449,0.881319,0.881729,0.872109,0.875527,7280,455,1.249663,0.580256,0.560938,0.555809,0.555877,0.645833,0.618379,0.612087,0.611605,8448,96,0
16,0.000070,100.538943,0.798264,0.779795,0.775245,0.770042,0.772205,0.731364,0.815934,0.814625,0.811992,0.812633,0.925275,0.927695,0.925945,0.926002,7280,455,1.241409,0.563684,0.541210,0.538256,0.538642,0.614583,0.586311,0.581943,0.581443,8448,96,0
