epoch,lr,epoch_time_sec,train_loss,train_running_patch_accuracy,train_running_patch_precision,train_running_patch_recall,train_running_patch_f1,train_eval_loss,train_eval_patch_accuracy,train_eval_patch_precision,train_eval_patch_recall,train_eval_patch_f1,train_eval_image_accuracy,train_eval_image_precision,train_eval_image_recall,train_eval_image_f1,train_eval_n_patches,train_eval_n_images,val_loss,val_patch_accuracy,val_patch_precision,val_patch_recall,val_patch_f1,val_image_accuracy,val_image_precision,val_image_recall,val_image_f1,val_n_patches,val_n_images,is_best
1,0.000050,318.350940,1.298401,0.455341,0.439302,0.419679,0.406355,1.219906,0.505220,0.488230,0.464945,0.447041,0.540659,0.641826,0.493109,0.463091,7280,455,1.248962,0.493134,0.443523,0.448022,0.424912,0.500000,0.395311,0.447437,0.407642,8448,96,1
2,0.000100,315.290643,1.162143,0.547311,0.529480,0.519302,0.517999,1.399931,0.493956,0.482439,0.448143,0.420839,0.540659,0.683744,0.482174,0.421187,7280,455,1.457544,0.465909,0.430536,0.421790,0.391931,0.510417,0.348120,0.450216,0.371548,8448,96,0
3,0.000100,314.862192,1.068627,0.608388,0.595224,0.583995,0.585283,1.035961,0.642582,0.636713,0.615385,0.618688,0.694505,0.712924,0.659535,0.664640,7280,455,1.199410,0.548414,0.530095,0.514760,0.513146,0.562500,0.558281,0.519868,0.511710,8448,96,1
4,0.000099,313.851358,0.956230,0.682886,0.673248,0.663875,0.666473,0.915139,0.712225,0.710833,0.695191,0.698233,0.795604,0.805481,0.776168,0.782096,7280,455,1.181666,0.578125,0.557568,0.544761,0.542719,0.635417,0.599405,0.585976,0.576085,8448,96,1
5,0.000098,316.280758,0.862102,0.743179,0.736877,0.729401,0.732139,0.916371,0.724451,0.736959,0.709556,0.712893,0.830769,0.847500,0.815175,0.819435,7280,455,1.303830,0.552083,0.537445,0.519127,0.514703,0.614583,0.598214,0.572761,0.557195,8448,96,0
6,0.000097,317.342759,0.791699,0.786520,0.782148,0.775724,0.778312,0.801886,0.791758,0.788393,0.784661,0.784095,0.898901,0.897967,0.892774,0.893622,7280,455,1.116164,0.649858,0.627624,0.628422,0.626844,0.729167,0.710101,0.710709,0.708117,8448,96,1
7,0.000096,312.217770,0.741036,0.816923,0.813235,0.808800,0.810720,0.742187,0.814973,0.819239,0.814522,0.813891,0.912088,0.917794,0.914560,0.914854,7280,455,1.173413,0.625947,0.591242,0.597945,0.590205,0.677083,0.641987,0.646263,0.635631,8448,96,0
8,0.000094,314.277688,0.698607,0.841839,0.838939,0.834890,0.836715,0.783803,0.797390,0.813132,0.780068,0.788676,0.885714,0.903628,0.872768,0.882005,7280,455,1.256459,0.618016,0.582754,0.577086,0.569382,0.687500,0.640896,0.641308,0.632464,8448,96,0
9,0.000092,316.429138,0.667343,0.859744,0.857141,0.853813,0.855336,0.707582,0.839286,0.839333,0.833265,0.835751,0.964835,0.970214,0.958582,0.963425,7280,455,1.301978,0.598130,0.571331,0.572178,0.570803,0.645833,0.610000,0.611085,0.607334,8448,96,0
10,0.000090,319.458070,0.644744,0.872022,0.869556,0.866711,0.868025,0.666560,0.859753,0.863033,0.856769,0.857656,0.956044,0.958474,0.955260,0.955811,7280,455,1.197473,0.633168,0.602078,0.604788,0.601381,0.708333,0.665229,0.672670,0.666506,8448,96,0
11,0.000087,319.265286,0.623210,0.884579,0.882487,0.879704,0.880995,0.626217,0.879808,0.884590,0.876484,0.879385,0.980220,0.982441,0.978400,0.980041,7280,455,1.259400,0.604522,0.577450,0.574791,0.573525,0.645833,0.613704,0.612383,0.609842,8448,96,0
12,0.000084,316.205469,0.600558,0.895780,0.894099,0.891587,0.892775,0.588129,0.905495,0.909595,0.902096,0.904355,0.973626,0.977422,0.971939,0.974259,7280,455,1.198647,0.648793,0.616421,0.618734,0.613193,0.750000,0.729215,0.722317,0.720671,8448,96,0
13,0.000081,317.170435,0.585040,0.904073,0.902369,0.900076,0.901157,0.606889,0.891896,0.891258,0.890012,0.890059,0.989011,0.990051,0.987160,0.988437,7280,455,1.242475,0.621804,0.588422,0.591190,0.588324,0.697917,0.641187,0.652267,0.642605,8448,96,0
14,0.000078,318.765480,0.569419,0.912579,0.910964,0.909216,0.910052,0.619780,0.886676,0.885211,0.887178,0.884558,0.986813,0.985868,0.986666,0.986164,7280,455,1.279184,0.612334,0.593382,0.587744,0.589451,0.718750,0.695493,0.685031,0.688312,8448,96,0
15,0.000074,315.330434,0.557941,0.919048,0.917589,0.916138,0.916828,0.619357,0.892308,0.892942,0.892449,0.891179,0.978022,0.979498,0.978071,0.978315,7280,455,1.283593,0.601326,0.576785,0.571317,0.571706,0.645833,0.617460,0.611517,0.611827,8448,96,0
16,0.000070,319.111869,0.548578,0.924264,0.923005,0.921641,0.922296,0.558472,0.916209,0.913386,0.917938,0.915085,0.997802,0.998131,0.997980,0.998046,7280,455,1.231303,0.627012,0.606212,0.606370,0.605634,0.718750,0.702950,0.693039,0.695385,8448,96,0
